origin,sent_id,method,original_sentence,simplified_sentence
House,68009,MLM,"Pre-procedure EKG was normal, no [syncope].","Pre-procedure EKG was normal, no [murmur]."
House,77776,CHV,"We stick another needle in him, he'll [hemorrhage].","We stick another needle in him, he'll [bleeding]."
wiki_partially,1111,MLM,"[Influenza] spreads around the world in seasonal epidemics, resulting in about three to five million yearly cases of severe illness and about 250,000 to 500,000 yearly deaths, rising to millions in some pandemic years.","[pneumonia] spreads around the world in seasonal epidemics, resulting in about three to five million yearly cases of severe illness and about 250,000 to 500,000 yearly deaths, rising to millions in some pandemic years."
wiki_partially,1106,MLM,"These tests may be especially useful during the [influenza] season (prevalence = 25%) but in the absence of a local outbreak, or peri-influenza season (prevalence = 10%).","These tests may be especially useful during the [virus] season (prevalence = 25%) but in the absence of a local outbreak, or peri-influenza season (prevalence = 10%)."
wiki_partially,748,MLM,"However, Albert Victor died six weeks later, in the worldwide [influenza] pandemic that swept through Britain in the winter of 1891-2.","However, Albert Victor died six weeks later, in the worldwide [flu] pandemic that swept through Britain in the winter of 1891-2."
wiki_partially,104,MLM,Four years later William died in the 1918 [influenza] pandemic.,Four years later William died in the 1918 [virus] pandemic.
wiki_partially,860,MLM,"In March 1918, some of the first recorded American cases of what came to be the worldwide [influenza] epidemic, also known as ""Spanish Flu"", were reported at Camp Funston.","In March 1918, some of the first recorded American cases of what came to be the worldwide [virus] epidemic, also known as ""Spanish Flu"", were reported at Camp Funston."
wiki_partially,1382,CHV,"Dilation and curettage (D&C), the second most common method of surgical abortion, is a standard gynecological procedure performed for a variety of reasons, including examination of the uterine lining for possible [malignancy], investigation of abnormal bleeding, and abortion.","Dilation and curettage (D&C), the second most common method of surgical abortion, is a standard gynecological procedure performed for a variety of reasons, including examination of the uterine lining for possible [cancer], investigation of abnormal bleeding, and abortion."
House,57469,CHV,But nobody knew how to speak [autistic].,But nobody knew how to speak [autism].
House,43907,CHV,Could be [listeria].,Could be [listeriosis].
House,179161,CHV,"He had [dysosmia] for a couple of months, never even came here to get it treated.","He had [cacosmia] for a couple of months, never even came here to get it treated."
House,90735,MLM,"Patient's pregnant, could be [pre-eclampsia].","Patient's pregnant, could be [normal]."
House,97457,MLM,Certainly sounds like a [psych] case.,Certainly sounds like a [medical] case.
House,90735,CHV,"Patient's pregnant, could be [pre-eclampsia].","Patient's pregnant, could be [preeclampsia]."
House,118395,CHV,"You're gonna blow up your career, then six months from now, when you've moved on from Amber to burnt sienna, you're gonna be stuck on a mobile [oncology] truck in Pewaukee, Wisconsin.","You're gonna blow up your career, then six months from now, when you've moved on from Amber to burnt sienna, you're gonna be stuck on a mobile [tumor] truck in Pewaukee, Wisconsin."
House,195050,MLM,Made a [laceration] in the left ventricle about the size of the tip of my index finger.,Made a [wound] in the left ventricle about the size of the tip of my index finger.
House,101821,MLM,Could a leaky space heater cause [vision] problems,Could a leaky space heater cause [eye] problems
wiki_partially,2156,CHV,Blond hair is the result of having little [pigmentation] in the hair strand.,Blond hair is the result of having little [hypopigmentation] in the hair strand.
House,77776,MLM,"We stick another needle in him, he'll [hemorrhage].","We stick another needle in him, he'll [bleeding]."
House,153593,MLM,"Malaria is the simplest, cheapest method of delivering [hyperthermia].","Malaria is the simplest, cheapest method of delivering [heat]."
House,27880,CHV,"The kid was just taking his [AP] calculus exam, when all of a sudden, he got nauseous and disoriented.","The kid was just taking his [angina] calculus exam, when all of a sudden, he got nauseous and disoriented."
wiki_partially,1794,MLM,"One of his arms and both feet became enlarged and at some point during his childhood he fell and damaged his hip, resulting in permanent [lameness].","One of his arms and both feet became enlarged and at some point during his childhood he fell and damaged his hip, resulting in permanent [weakness]."
wiki_auto,1136,CHV,"Often, individuals have had one or more major [depressive] episodes.","Often, individuals have had one or more major [neurosis] episodes."
House,109364,CHV,"E.D., and [insomnia].","E.D., and [sleeplessness]."
