origin;sent_id;sentence;source_term;CHV_selection;CHV_substitution;CHV_sim_score;MLM_selection;MLM_substitution;MLM_sim_score
wiki_fully;93;In her first year of medical studies at the University of Sydney she suffered dermatitis from surgical soap and was told to abandon her dreams of becoming a medical doctor.;dermatitis;['skin inflammation'];skin inflammation;11.0;['irritation', 'pneumonia', 'inflammation', 'infection', 'swelling', 'pain', 'tears', 'injury', 'congestion', 'tear'];pneumonia;40
wiki_fully;101;In 1914 Adams's father died of a stroke.;stroke;['stroke', 'acute stroke'];stroke;100.0;['MI', 'pneumonia', 'cancer', 'seizure', 'bleed', 'fracture', 'tumor', 'murmur', 'CA', 'fall'];cancer;17
wiki_fully;103;The absolute number of tuberculosis cases has been decreasing since 2006, and new cases have decreased since 2002.;tuberculosis;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);88.0;['HIV', 'current', 'AFB', 'total', 'viral', 'infectious', 'pulmonary', 'positive', 'remaining', 'virus'];HIV;14
wiki_fully;104;Tuberculosis typically attacks the lungs, but can also affect other parts of the body.;Tuberculosis;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);88.0;['HIV', 'Drugs', 'AFB', 'MS', 'MG', 'Man', 'Cancer', 'Depression', 'CT', 'DR'];HIV;14
wiki_fully;107;Totally drug-resistant TB is resistant to all currently used drugs.;TB;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);25.0;['organism', 'HIV', 'organisms', 'type', 'line', 'species', 'drug', 'strain', 'bacteria', 'tuberculosis'];HIV;0
wiki_fully;111;"Local government was divided between the three parishes (Holy Trinity Church, Sunderland, St. Michael's, Bishopwearmouth, and St. Peter's, Monkwearmouth) and when cholera broke out in 1831, the ""select vestrymen"", as the church councilmen were called, were unable to cope with the epidemic.";cholera;['cholera'];cholera;100.0;['malaria', 'things', 'people', 'plague', 'tuberculosis', 'cancer', 'prostitution', 'democracy', 'virus', 'Catholicism'];malaria;43
wiki_fully;112;Once at Richmond, Madison began drafting the Report, though he was delayed by a weeklong battle with dysentery.;dysentery;['dysentery', 'infectious diarrhea'];dysentery;100.0;['depression', 'malaria', 'AIDS', 'surgery', 'tuberculosis', 'cancer', 'alcohol', 'food', 'medicine', 'flu'];malaria;25
wiki_fully;114;Disorders causing dwarfism are often classified by proportionality.;dwarfism;['short stature', 'constitutional short stature'];short stature;20.0;['diabetes', 'depression', 'cancer', 'inflammation', 'death', 'infection', 'infections', 'pneumonia', 'fatigue', 'disease'];depression;40
wiki_fully;128;"By 1915, gangrene had set in and her entire right leg was amputated; she was required to use a wheelchair for several months.";gangrene;['gangrene'];gangrene;100.0;['foot', 'skin', 'wound', 'swelling', 'bleeding', 'toes', 'toe', 'groin', 'knee', 'forearm'];foot;0
wiki_fully;130;After graduation, he contracted tuberculosis, causing him to move to the Crimean Peninsula on the northern coast of the Black Sea in 1855.;tuberculosis;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);88.0;['malaria', 'HIV', 'pneumonia', 'cancer', 'diabetes', 'depression', 'AIDS', 'infection', 'flu', 'virus'];pneumonia;40
wiki_fully;140;The term epidemiology is now widely applied to cover the description and causation of not only epidemic disease, but of disease in general, and even many non-disease health-related conditions, such as high blood pressure and obesity.;obesity;['obesity'];obesity;100.0;['diabetes', 'cancer', 'infection', 'depression', 'pneumonia', 'anxiety', 'stroke', 'smoking', 'weight', 'infections'];diabetes;40
wiki_fully;145;Dr. John Snow is famous for his investigations into the causes of the 19th century cholera epidemics, and is also known as the father of (modern) epidemiology.;cholera;['cholera'];cholera;100.0;['flu', 'malaria', 'HIV', 'tuberculosis', 'pulmonary', 'viral', 'liver', 'virus', 'cold', 'plague'];malaria;43
wiki_fully;148;Manasa (Bengali: মনসা, Manasha) also Mansa Devi is a Hindu folk goddess of snakes, worshipped mainly in Bengal and other parts of North and northeastern India, chiefly for the prevention and cure of snakebite and also for fertility and prosperity.;snakebite;['snake bite'];snake bite;56.0;['snakes', 'disease', 'snake', 'Snake', 'diseases', 'serpent', 'bleeding', 'reptiles', 'congestion', 'cancer'];snake;77
wiki_fully;163;In fact, the cause of 50% of preterm births is never determined.;preterm;['premature birth'];premature birth;48.0;['premature', 'twin', 'term', 'infant', 'spontaneous', 'male', 'previous', 'current', 'live', 'normal'];term;73
wiki_fully;169;Neurologist Oliver Sacks states that chimpanzees and other animals show no similar appreciation of rhythm yet posits that human affinity for rhythm is fundamental, so that a person's sense of rhythm can not be lost (e.g. by stroke).;stroke;['stroke', 'acute stroke'];stroke;100.0;['seizure', 'weakness', 'swallowing', 'surgery', 'fatigue', 'infection', 'headache', 'aura', 'trauma', 'neglect'];surgery;46
wiki_fully;170;Fat (or lack of it) is a political issue, some of whom see their overweight condition as a form of self-acceptance.;overweight;['clinical overweight'];clinical overweight;74.0;['fat', 'lean', 'heart', 'abdominal', 'cardiac', 'body', 'lung', 'wasting', 'chronic', 'general'];fat;15
wiki_fully;174;In February 1712, his wife contracted measles and died on February 12.;measles;['Measles disease'];Measles disease;59.0;['pneumonia', 'flu', 'tuberculosis', 'malaria', 'diabetes', 'HIV', 'cough', 'depression', 'AIDS', 'nausea'];pneumonia;29
wiki_fully;181;In January 1925 doctors realized that a potentially deadly diphtheria epidemic was poised to sweep through Nome's young people.;diphtheria;['diphtheria'];diphtheria;100.0;['malaria', 'tuberculosis', 'HIV', 'virus', 'viral', 'bacterial', 'flu', 'drug', 'parasite', 'plague'];tuberculosis;38
wiki_fully;182;Sullivan, still believing his ailment to be yet another complication from a long-standing battle with ulcers, died five weeks later, on October 13, 1974, at New York's Lenox Hill Hospital.;ulcers;['ulcer'];ulcer;100.0;['cancer', 'wounds', 'bleeding', 'stomach', 'scars', 'lesions', 'infection', 'blood', 'skin', 'disease'];wounds;20
wiki_fully;228;This included a large medical bill for treatment of their gonorrhea and $ 21,000 for the accidental destruction of his uninsured car, which they borrowed.;gonorrhea;['gonorrhea', 'gonococcal'];gonorrhea;100.0;['disease', 'symptoms', 'cancer', 'injuries', 'pain', 'illness', 'headache', 'problems', 'condition', 'infection'];disease;27
wiki_fully;250;She died of measles in 1712, followed by her husband a week later.;measles;['Measles disease'];Measles disease;59.0;['MI', 'stroke', 'pneumonia', 'cancer', 'depression', 'diabetes', 'tuberculosis', 'seizure', 'strokes', 'AIDS'];pneumonia;29
wiki_fully;251;In early April 1711, her father-in-law Le Grand Dauphin caught smallpox and died on 14 April at the Château de Meudon.;smallpox;['smallpox disease', 'alastrim'];smallpox disease;70.0;['pneumonia', 'lung', 'disease', 'smoke', 'cancer', 'breath', 'died', 'small', 'minute', 'breathing'];pneumonia;24
wiki_fully;253;It was at Marly that the Dauphin himself died six days later, having caught the measles from his wife.;measles;['Measles disease'];Measles disease;59.0;['flu', 'blood', 'baby', 'dog', 'toes', 'cats', 'infant', 'virus', 'fingers', 'bees'];baby;22
wiki_fully;258;This was despite his worsening colitis,.;colitis;['colitis', 'colon (non-specific) inflammation'];colon (non-specific) inflammation;33.0;['symptoms', 'condition', 'infection', 'disease', 'cough', 'illness', 'bleed', 'MS', 'pneumonia', 'pain'];disease;17
wiki_fully;263;In 1980, Shines' music was brought to a standstill when he suffered a stroke.;stroke;['stroke', 'acute stroke'];stroke;100.0;['seizure', 'pneumonia', 'MI', 'fall', 'headache', 'fracture', 'bleed', 'murmur', 'death', 'attack'];pneumonia;13
wiki_fully;264;Élisabeth Charlotte died of a stroke, on 23 December 1744, one week after her daughter-in-law and grandchild, at the age of sixty-eight.;stroke;['stroke', 'acute stroke'];stroke;100.0;['seizure', 'pneumonia', 'MI', 'headache', 'murmur', 'cancer', 'bleed', 'fall', 'cough', 'brain'];seizure;33
wiki_fully;265;Three of them died within a week in May 1711 due to a smallpox outbreak at the Château de Lunéville, the country seat of the Duke's of Lorraine.;smallpox;['smallpox disease', 'alastrim'];smallpox disease;70.0;['flu', 'viral', 'virus', 'similar', 'cold', 'tuberculosis', 'pneumonia', 'smoke', 'small', 'respiratory'];virus;0
wiki_fully;275;A significant event in the history of epidemiology and public health was Dr. John Snow's study of an 1854 outbreak of cholera in Soho.;cholera;['cholera'];cholera;100.0;['flu', 'pneumonia', 'tuberculosis', 'malaria', 'infection', 'fever', 'virus', 'disease', 'bacteria', 'illness'];disease;31
wiki_fully;276;Science writer Steven Johnson describes the 2006 appearance of places related to the Broad Street Pump cholera outbreak: A replica of the pump, with a memorial plaque and without a handle (to signify John Snow's action to halt the outbreak) was erected near the location of the original pump.;cholera;['cholera'];cholera;100.0;['virus', 'pump', 'disease', 'flare', 'syndrome', 'cycle', 'enzyme', 'infection', 'drug', 'inhibitor'];disease;31
wiki_fully;283;Misora died on June 24, 1989 from pneumonia at the age of 52, at a hospital in Tokyo.;pneumonia;['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;100.0;['cancer', 'MI', 'stroke', 'infection', 'depression', 'diabetes', 'seizure', 'lung', 'tuberculosis', 'cough'];cancer;27
wiki_fully;284;Although lying with serious pneumonia, the prison doctor refused him the necessary medication claiming he was not worthy of it.;pneumonia;['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;100.0;['cough', 'infection', 'illness', 'symptoms', 'disease', 'coughing', 'consolidation', 'lung', 'pain', 'sob'];infection;27
wiki_fully;290;The family was apprehended in 1944 and Anne Frank died of typhus in the Bergen-Belsen concentration camp.;typhus;['typhus', 'typhoid fever', 'epidemic typhus'];typhus;100.0;['flu', 'tuberculosis', 'pneumonia', 'malaria', 'infection', 'fever', 'fish', 'bats', 'cancer', 'illness'];pneumonia;29
wiki_fully;299;"Hypertrophy (from Greek ὑπέρ ""excess"" + τροφή ""nourishment"") is the increase in the volume of an organ or tissue due to the enlargement of its component cells.";Hypertrophy;['enlargement'];enlargement;24.0;['*', 'relaxation', 'inflammation', 'Additionally', 'compensation', 'suppression', 'Background', 'Secondary', 'strengthening', 'Depression'];inflammation;11
wiki_fully;306;He compared the effects of various acidic substances, ranging from vinegar to cider, on groups of afflicted sailors, and found the group who were given oranges and lemons had largely recovered from scurvy after six days.;scurvy;['scurvy'];scurvy;100.0;['suppression', 'infection', 'disease', 'rejection', 'illness', 'bleeding', 'pneumonia', 'depression', 'collapse', 'damage'];infection;17
wiki_fully;316;On 13 March 1798, Weber's mother died of tuberculosis.;tuberculosis;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);88.0;['cancer', 'diabetes', 'pneumonia', 'MI', 'stroke', 'HIV', 'depression', 'AIDS', 'seizure', 'smoking'];cancer;24
wiki_fully;320;Her (younger) twin sister Princess Maria Cristina Amelia died of smallpox in 1783, aged five, a week after their brother Prince Giuseppe died.;smallpox;['smallpox disease', 'alastrim'];smallpox disease;70.0;['pneumonia', 'MI', 'cancer', 'collapse', 'seizure', 'stroke', 'lung', 'breath', 'cough', 'death'];cancer;14
wiki_fully;338;Surgical subspecialties include neurosurgery, ophthalmology, orthopedic surgery, (ENT) and facial plastic surgery, plastic surgery, thoracic surgery, transplantation, Trauma, urology, and vascular surgery.;Trauma;['trauma', 'injuries wounds', 'injury from an external force', 'physical wound'];trauma;100.0;['surgery', 'spine', 'wound', 'injury', 'injuries', 'LP', 'CT', 'liver', 'transplant', 'cardiac'];surgery;15
wiki_fully;346;Menuhin died in Martin Luther Hospital, Berlin, Germany, from complications of bronchitis.;bronchitis;['bronchitis'];bronchitis;100.0;['pneumonia', 'cancer', 'MI', 'infection', 'stroke', 'bleeding', 'diabetes', 'surgery', 'infections', 'smoking'];pneumonia;33
wiki_fully;347;In October 1836, after receiving his M.D. and being appointed by the University of Zurich as a lecturer in anatomy, Büchner relocated to Zurich where he spent his final months writing and teaching until his death from typhus at the age of twenty-three.;typhus;['typhus', 'typhoid fever', 'epidemic typhus'];typhus;100.0;['tuberculosis', 'pneumonia', 'flu', 'fever', 'malaria', 'infection', 'bats', 'cancer', 'fish', 'illness'];tuberculosis;25
wiki_fully;353;Ebsen died of pneumonia at Torrance Memorial Medical Center in Torrance, California, on July 6, 2003, at the age of 95.;pneumonia;['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;100.0;['cancer', 'MI', 'infection', 'stroke', 'depression', 'collapse', 'fever', 'yeast', 'cough', 'consolidation'];infection;27
wiki_fully;355;In many cases the structure is of no direct harm, yet all structures require extra energy in terms of development, maintenance, and weight, and are also a risk in terms of disease (e.g., infection, cancer), providing some selective pressure for the removal of parts that do not contribute to an organism's fitness.;cancer;['cancer', 'primary cancer', 'spindle cell carcinoma', 'carcinoma', 'anaplastic carcinoma', 'carcinomatosis', 'sarcomatoid carcinoma', 'undifferentiated carcinoma'];cancer;100.0;['inflammation', 'tumor', 'death', 'stroke', 'disease', 'age', 'injury', 'diabetes', 'surgery', 'tumors'];tumor;18
wiki_fully;356;Edmund died of measles on 28 February 1900, at the age of five.;measles;['Measles disease'];Measles disease;59.0;['pneumonia', 'MI', 'flu', 'stroke', 'cancer', 'diabetes', 'tuberculosis', 'AIDS', 'seizure', 'depression'];pneumonia;29
wiki_fully;357;Both infants died of diphtheria during the winter of 1886-1887.;diphtheria;['diphtheria'];diphtheria;100.0;['pneumonia', 'MI', 'depression', 'tuberculosis', 'cancer', 'diabetes', 'infection', 'stroke', 'flu', 'seizure'];depression;35
wiki_fully;366;The city suffered from plague outbreaks in 1544, 1589 and 1598.;plague;['plague', 'bubonic plague', 'pneumonic plague'];plague;100.0;['flu', 'malaria', 'similar', 'tuberculosis', 'cold', 'virus', 'viral', 'prior', 'cancer', 'temperature'];virus;22
wiki_fully;368;He died of the plague, the year after his ennoblement on December 13, 1565.;plague;['plague', 'bubonic plague', 'pneumonic plague'];plague;100.0;['flu', 'cold', 'famine', 'cough', 'cancer', 'fire', 'tuberculosis', 'malaria', 'war', 'tsunami'];flu;50
wiki_fully;375;Ricketts retired from the Royal Marines on 1 June 1944 because of ill health and died at his home in Reigate, Surrey, on 15 May 1945, after an operation for cancer.;cancer;['cancer', 'primary cancer', 'spindle cell carcinoma', 'carcinoma', 'anaplastic carcinoma', 'carcinomatosis', 'sarcomatoid carcinoma', 'undifferentiated carcinoma'];cancer;100.0;['tumor', 'lung', 'mass', 'brain', 'liver', 'pneumonia', 'disease', 'breast', 'surgery', 'CA'];tumor;18
wiki_fully;383;A study published in the International Journal of Obesity (11 January 2005) also found that the consumption of low-fat yogurt can promote weight loss, relative to a gelatin placebo.;Obesity;['obesity'];obesity;100.0;['diabetes', 'depression', 'cancer', 'nausea', 'inflammation', 'fatigue', 'pain', 'fat', 'sleep', 'medicine'];diabetes;40
wiki_fully;407;Leishmania currently affects 12 million people in 98 countries.;Leishmania;[];;;['HIV', 'Depression', 'AIDS', 'cocaine', 'tuberculosis', 'malaria', 'Tobacco', 'depression', 'AFB', 'Cancer'];HIV;31
wiki_fully;408;"Their primary hosts are vertebrates; Leishmania commonly infects hyraxes, canids, rodents, and humans.";Leishmania;[];;;['HIV', 'malaria', 'cocaine', 'parasite', 'tuberculosis', 'virus', 'yeast', 'salmon', 'fungus', 'flu'];HIV;31
wiki_fully;432;There were no advanced facilities for treatment in the village, so he was taken to an elderly woman in a nearby village who was known to cure trachoma boils to provide relief.;trachoma;['trachoma'];trachoma;100.0;['skin', 'lung', 'multiple', 'ear', 'respiratory', 'nasal', 'stomach', 'malaria', 'tongue', 'tree'];lung;0
wiki_fully;433;Following a series of small strokes during the last three years of her life, Colbert died in 1996 at her second home in Barbados, where she was employing one housekeeper and two cooks.;strokes;['stroke', 'acute stroke'];stroke;100.0;['falls', 'events', 'infections', 'accidents', 'episodes', 'bruises', 'MI', 'complications', 'brains', 'spells'];infections;17
wiki_fully;435;Porter's mother died in 1952, and his wife died from emphysema in 1954.;emphysema;['abnormal collection of air in tissues', 'lung emphysema'];abnormal collection of air in tissues;12.0;['cancer', 'pneumonia', 'MI', 'diabetes', 'depression', 'tuberculosis', 'stroke', 'smoking', 'seizure', 'AIDS'];cancer;13
wiki_fully;446;Further injections eventually led to gangrene.;gangrene;['gangrene'];gangrene;100.0;['bleeding', 'pain', 'bleed', 'swelling', 'death', 'resolution', 'headache', 'nausea', 'weakness', 'confusion'];bleeding;17
wiki_fully;458;Prince and Princess Alexander of Teck had three children: Princess Alice was one of the carriers of the gene for hemophilia which arose with Queen Victoria.;hemophilia;['hemophilia a', 'hemophilia', 'hemophilia b', 'factor xi deficiency'];hemophilia a;100.0;['malaria', 'bleeding', 'diabetes', 'depression', 'cancer', 'autism', 'iron', 'pneumonia', 'immortality', 'suicide'];diabetes;25
wiki_fully;461;"This risk of devastation had been known for some time; previous studies by FEMA and the Army Corps of Engineers had warned that a direct hurricane strike on New Orleans could lead to massive flooding, which would lead to thousands of drowning deaths, as well as many more suffering from disease and dehydration, as the flood waters slowly receded from the city.";dehydration;['loss of body water'];loss of body water;29.0;['death', 'drowning', 'dying', 'injuries', 'mortality', 'injury', 'die', 'damage', 'casualties', 'suffering'];death;55
wiki_fully;467;Shortly afterward Koch suffered a stroke in 1987 while in office, but was able to continue with his duties.;stroke;['stroke', 'acute stroke'];stroke;100.0;['seizure', 'MI', 'fall', 'headache', 'pneumonia', 'bleed', 'fever', 'fracture', 'weakness', 'attack'];seizure;33
wiki_fully;472;Both girls caught typhus and Jane nearly died.;typhus;['typhus', 'typhoid fever', 'epidemic typhus'];typhus;100.0;['flu', 'bats', 'bites', 'dog', 'bite', 'nose', 'sharks', 'cold', 'life', 'tuberculosis'];flu;25
wiki_fully;473;Unfortunately, his knee problems struck just as he made the NHL on a full-time basis.;NHL;"[""non hodgkin's lymphoma (NHL)"", 'large cell lymphoma', 'lymphosarcoma', 'follicular, centroblastic malignant lymphoma', 'large cell follicular lymphoma', 'low grade lymphoma']";non hodgkin's lymphoma (NHL);21.0;['knee', 'decision', 'nose', 'sq', 'case', 'cuts', 'fall', 'min', 'stairs', 'steps'];knee;29
wiki_fully;483;It was first used to treat malaria in Rome in 1631.;malaria;['malaria', 'malarial fever'];malaria;100.0;['parasite', 'tuberculosis', 'HIV', 'infection', 'fever', 'virus', 'cancer', 'pneumonia', 'anxiety', 'MS'];infection;15
wiki_fully;486;When the Tsar was ill with typhoid, the little girl covered a miniature portrait of him with kisses every night.;typhoid;['typhoid fever'];typhoid fever;70.0;['kisses', 'lips', 'bites', 'depression', 'eyes', 'blankets', 'fists', 'horns', 'cough', 'AIDS'];depression;14
wiki_fully;500;The exact mechanisms of migraine are not known.;migraine;['migraine headache', 'abdominal migraine', 'migraine variant', 'status migrainosus'];migraine headache;64.0;['infection', 'pain', 'seizure', 'depression', 'headache', 'bleeding', 'withdrawal', 'anxiety', 'death', 'inflammation'];pain;55
wiki_fully;505;He died of tuberculosis at Schönbrunn Palace in Vienna on 22 July 1832.;tuberculosis;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);88.0;['cancer', 'pneumonia', 'HIV', 'diabetes', 'stroke', 'MI', 'tumor', 'AIDS', 'depression', 'infection'];pneumonia;40
wiki_fully;514;The study of, and therapeutic interventions in, such disorders is called rheumatology.;rheumatology;['collagen disease'];collagen disease;23.0;['surgery', 'medicine', 'transplant', 'depression', 'genetics', 'treatment', 'HIV', 'malaria', 'therapy', 'medication'];medicine;11
wiki_fully;517;The hair matrix epithelium is one of the fastest growing cell populations in the human body, which is why some forms of chemotherapy or radiotherapy, that kill dividing cells, may lead to temporary hair loss.;hair;['hair diseases'];hair diseases;53.0;['skin', 'nail', 'sweat', 'wool', 'nerve', 'gut', 'sensory', 'air', 'fat', 'liver'];skin;25
wiki_fully;526;On 22 November 2009 he was admitted to the Pichilemu Hospital, and died on 23 November at 14:00 local time, of pneumonia at the age of 88.;pneumonia;['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;100.0;['cancer', 'stroke', 'infection', 'lung', 'death', 'MI', 'depression', 'bleeding', 'consolidation', 'failure'];infection;27
wiki_fully;530;In late 117, while sailing back to Rome, Trajan fell ill and died of a stroke in the city of Selinus.;stroke;['stroke', 'acute stroke'];stroke;100.0;['seizure', 'MI', 'pneumonia', 'bleed', 'fall', 'headache', 'cancer', 'attack', 'cold', 'mass'];pneumonia;13
wiki_fully;531;Juniper berries act as a strong urinary tract disinfectant if consumed, and were used by Navajo people as an herbal remedy for diabetes.;diabetes;['diabetes'];diabetes;100.0;['depression', 'pain', 'cough', 'sleep', 'nausea', 'anxiety', 'headache', 'cancer', 'fatigue', 'pneumonia'];depression;31
wiki_fully;535;At one time he contracted tuberculosis and spent a year in a sanitorium.;tuberculosis;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);88.0;['HIV', 'malaria', 'pneumonia', 'diabetes', 'AIDS', 'cancer', 'depression', 'infection', 'anxiety', 'flu'];HIV;14
wiki_fully;559;A cold usually begins with fatigue, a feeling of being chilled, sneezing and a headache, followed in a couple of days by a runny nose and cough.;headache;['headache', 'one-sided migraine', 'orthostatic headache', 'throbbing headache', 'one sided headache'];headache;100.0;['cough', 'fever', 'throat', 'cold', 'head', 'pain', 'jaw', 'pulse', 'pressure', 'pneumonia'];pain;18
wiki_fully;574;Sleepwalking may last as little as 30 seconds or as long as 30 minutes.;Sleepwalking;['sleepwalking'];sleepwalking;100.0;['Sleep', 'Pain', 'Recovery', 'Driving', 'Rhythm', 'Episode', 'Memory', 'Standing', 'Speech', 'States'];Sleep;71
wiki_fully;608;During this exile, Quezon became ill with tuberculosis, and later he died of it.;tuberculosis;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);88.0;['cancer', 'HIV', 'pneumonia', 'diabetes', 'AIDS', 'cough', 'malaria', 'infection', 'depression', 'tobacco'];HIV;14
wiki_fully;610;A man named Arabanoo was captured, but he, like many other Aboriginal people near the settlement, died in a smallpox epidemic a few months later in May 1789.;smallpox;['smallpox disease', 'alastrim'];smallpox disease;70.0;['viral', 'flu', 'similar', 'pulmonary', 'respiratory', 'lung', 'virus', 'small', 'large', 'tuberculosis'];lung;17
wiki_fully;619;Coleridge-Taylor was 37 when he died of pneumonia a few days after collapsing at West Croydon railway station.;pneumonia;['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;100.0;['cancer', 'stroke', 'infection', 'cough', 'collapse', 'MI', 'lung', 'fever', 'tuberculosis', 'depression'];infection;27
wiki_fully;629;At Snow's request, the handle of the pump was removed, and new cholera cases ceased almost at once.;cholera;['cholera'];cholera;100.0;['flu', 'seizure', 'HIV', 'fever', 'malaria', 'infection', 'pneumonia', 'infectious', 'cocaine', 'MS'];flu;20
wiki_fully;630;Further investigation of the area revealed the Broad Street pump was near a cesspit under the home of the outbreak's first cholera victim.;cholera;['cholera'];cholera;100.0;['flu', 'malaria', 'HIV', 'MS', 'virus', 'AIDS', 'seizure', 'cancer', 'pneumonia', 'ch'];malaria;43
wiki_fully;631;Though disease had been mapped thematically, Snow's cholera map in 1854 is the best known example of using thematic maps for analysis.;cholera;['cholera'];cholera;100.0;['malaria', 'disease', 'virus', 'blood', 'mosaic', 'cancer', 'temperature', 'heat', 'fever', 'heart'];disease;31
wiki_fully;632;Starting with an accurate base map of a London neighborhood which included streets and water pump locations, Snow mapped out the incidents of cholera death.;cholera;['cholera'];cholera;100.0;['sudden', 'heart', 'brain', 'cardiac', 'stomach', 'cancer', 'liver', 'early', 'infant', 'cell'];cancer;46
wiki_fully;642;Hall would eventually succumb to pneumonia, related to his influenza, in a hospital in Seattle, Washington just five days after the Stanley Cup Final series was abandoned.;pneumonia;['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;100.0;['infection', 'fever', 'cancer', 'stroke', 'tuberculosis', 'cough', 'yeast', 'colonization', 'flu', 'infections'];infection;27
wiki_fully;645;Olga Alexandrovna said she believed all four of her nieces bled more than was normal and believed they were carriers of the hemophilia gene, like their mother.;hemophilia;['hemophilia a', 'hemophilia', 'hemophilia b', 'factor xi deficiency'];hemophilia a;100.0;['unknown', 'bleeding', 'HIV', 'blood', 'heart', 'alpha', 'iron', 'diabetes', 'liver', 'malaria'];blood;13
