,sentences
36,"Patients were put in 3 groups: 150 milligrams (mg) of AIN457: If you were in this group, you got 150 mg of AIN457 once a week until Week 4, then every 4 weeks until Week 48."
37,"300 mg of AIN457: If you were in this group, you got 300 mg of AIN457 once a week until Week 4, then every 4 weeks until Week 48."
38,"Placebo: If you were in this group, you got a placebo once a week until Week 4 and then once more at Week 8."
39,"If your symptoms improved after 12 weeks, you kept taking a placebo."
40,"If your symptoms did not improve, the trial staff switched you to 150 mg or 300 mg of AIN457 every week from Week 12 to Week 16, then every 4 weeks until Week 48."
41,Patients in the AIN457 groups also got some placebo injections.
42,This was done to make sure no one knew what treatment they got based on how often they got injections or what the injections looked like.
43,After the Week 52 visit there were 8 weeks of follow-up.
44,"You did not get any injections, but the trial doctors and staff checked your health and looked for signs of psoriasis."
45,Patients who took AIN457 had the option to be in another trial for AIN457 instead of the follow-up part of this trial.
46,4 Clinical Trial RESULTS The chart below shows how long the trial lasted and what treatments patients got in each group.
47,What Happened During the Study?
48,"Follow-up (8 Weeks) 0 12 Weeks 52 Weeks 48 Weeks 60 Weeks Not improved: switched to AIN457 (150 mg or 300 mg) until Week 48 Symptoms improved: kept taking placebo until Week 48 150 mg AIN457 until Week 48 300 mg AIN457 until Week 48 At the 52 week visit, patients who were taking AIN457 had the option to be in another trial for AIN457 instead of the follow-up part of this trial."
49,placebo until Week 12 No injections during the follow-up part of the trial Treatment (52 Weeks) WHAT WERE THE TRIAL RESULTS?
50,Did AIN457 relieve psoriasis symptoms more than a placebo?
52,"In your trial, the 150 mg and 300 mg dose of AIN457 both relieved psoriasis symptoms more than the placebo after 12 weeks of treatment."
53,Researchers used different tests to measure psoriasis symptoms.
54,"One test was called the Psoriasis Area and Severity Index, or PASI."
55,It measures how severe your psoriasis is in 4 body areas.
56,Researchers wanted to learn how many patients had at least 75% less psoriasis and how many had at least 90% less psoriasis in these areas after 12 weeks of treatment.
57,"The other test was called the Investigator Global Assessment, or IGA."
58,"It measures psoriasis from 0 to 4, where 0 means no sign of psoriasis and 1 means almost no signs of it."
59,Researchers wanted to learn how many patients had no or almost no signs of psoriasis after 12 weeks of treatment.
60,5 Clinical Trial RESULTS The table below shows how many patients in each group had these results.
61,Relief of Psoriasis Symptoms after 12 Weeks of Treatment Psoriasis Area and Severity Index (PASI) Test Investigator s Global Assessment (IGA) Test Treatment Group Patients with at least 75% less psoriasis Patients with at least 90% less psoriasis Patients with no or almost no signs of psoriasis 150 mg AIN457 174 of 243 patients (71.6%) 95 of 243 patients (39.1%) 125 of 244 patients (51.2%) 300 mg AIN457 200 of 245 patients (81.6%) 145 of 245 patients (59.2%) 160 of 245 patients (65.3%) Placebo 11 of 246 patients (4.5%) 3 of 246 patients (1.2%) 6 of 246 patients (2.4%) Did getting AIN457 still help patients with psoriasis symptoms after 52 weeks?
63,Most of the patients taking AIN457 still had at least 75% less psoriasis or still had no signs of psoriasis after 52 weeks.
64,The table below shows how many of the patients who had relief of psoriasis symptoms after taking AIN457 for 12 weeks still had these results after 52 weeks.
65,Continued Relief of Psoriasis Symptoms after 52 Weeks of Treatment Psoriasis Area and Severity Index (PASI) Test Investigator s Global Assessment (IGA) Test Treatment Group Patients with at least 75% less psoriasis Patients with no or almost no signs of psoriasis 150 mg AIN457 126 of 174 patients (72.4%) 74 of 125 patients (59.2%) 300 mg AIN457 161 of 200 patients (80.5%) 119 of 160 patients (74.4%) 6 Clinical Trial RESULTS Did AIN457 help in other ways?
67,Patients answered questions about their quality of life and psoriasis symptoms during the trial.
68,"Researchers found: Patients who used electronic diaries and were getting AIN457 reported less itching, pain, and scaling than patients getting placebo at Week 12."
69,"Patients getting AIN457 had less pain, discomfort, anxiety, and depression than patients getting placebo at Week 12 and Week 52."
70,Patients getting AIN457 had fewer skin problems that affected their ability to do things (like working or studying) than patients taking placebo at Week 12 and Week 52.
71,WHAT MEDICAL PROBLEMS DID PATIENTS HAVE?
72,A lot of research is needed to know whether a drug causes a medical problem.
73,"So when new drugs are being studied, researchers keep track of all medical problems that patients have."
74,These medical problems are called adverse events .
75,An adverse event is any sign or symptom occurring during treatment that may or may not be related to the trial drug.
76,How many patients had adverse events during the trial?
77,Some patients had adverse events during the trial and some left the trial because of adverse events.
78,Some patients also had serious adverse events.
79,"An adverse event is considered serious when it is life-threatening, causes lasting problems, or needs hospital care."
80,No patients died during the first 52 weeks of the trial or the 8 week follow-up period.
81,"The table on the next page shows how many patients had adverse events, how many had serious adverse events, and how many left the trial due to adverse events."
82,"It includes all patients who took 150 mg of AIN 457, 300 mg of AIN 457, or a placebo during the first 52 weeks of the trial."
83,7 Clinical Trial RESULTS Adverse Events in the First 52 Weeks of the Trial Patients taking 150 mg of AIN457 (Out of 353 patients) Patients taking 300 mg of AIN457 (Out of 349 patients) Patients taking the placebo (Out of 247 patients) Had adverse events 287 patients (81.3%) 287 patients (82.2%) 124 patients (50.2%) Had serious adverse events 19 patients (5.4%) 19 patients (5.4%) 5 patients (2.0%) Left the trial due to adverse events 18 patients (5.1%) 12 patients (3.4%) 5 patients (2.0%) What were the most common adverse events in this trial?
84,The table below shows the most common adverse events in your trial.
85,Most Common Adverse Events in the First 52 Weeks of the Trial Patients taking 150 mg of AIN457 (Out of 353 patients) Patients taking 300 mg of AIN457 (Out of 349 patients) Patients taking the placebo (Out of 247 patients) Cold 69 patients (19.5%) 57 patients (16.3%) 20 patients (8.1%) Nose and throat infections 36 patients (10.2%) 32 patients (9.2%) 2 patients (0.8%) Headache 24 patients (6.8%) 31 patients (8.9%) 10 patients (4.0%) Increase in blood pressure 21 patients (5.9%) 16 patients (4.6%) 3 patients (1.2%) Itching 15 patients (4.2%) 19 patients (5.4%) 6 patients (2.4%) Flu like illness 17 patients (4.8%) 14 patients (4.0%) 3 patients (1.2%) Joint pain 13 patients (3.7%) 14 patients (4.0%) 8 patients (3.2%) Bronchitis 8 patients (2.3%) 17 patients (4.9%) 2 patients (0.8%) Diarrhea 10 patients (2.8%) 16 patients (4.6%) 4 patients (1.6%) Mouth pain 12 patients (3.4%) 12 patients (3.4%) 3 patients (1.2%) Clinical Trial RESULTS WHERE CAN I LEARN MORE ABOUT THIS TRIAL?
86,A scientific summary of the results is available on the Novartis Clinical Trial Results website (www.novartisclinicaltrials.com).
87,"After agreeing to enter the Novartis website, type CAIN457A2302 into the keyword search box and click Go ."
89,Researchers look at the results of many trials to decide which drugs work best and are safest for patients.
90,It takes volunteers in many trials around the world to advance medical science.
91,"Thank you It is said that the greatest gift is one which is given anonymously, giving when you do not know whether you will get direct personal benefit."
92,This is the gift that you have given by taking part in a clinical trial.
93,"It is a brave and selfless act, one that advances medical knowledge and benefits public health."
94,Thank you for the gift of your participation in clinical research.
95,The Center for Information & Study on Clinical Research Participation (CISCRP) is a non-profit organization focused on educating and informing the public about clinical research participation.
96,"CISCRP is not involved in recruiting patients for clinical trials, nor is it involved in conducting clinical trials."
97,"CISCRP 56 Commercial Wharf East, Boston, MA 02110 1-877-MED-HERO www.ciscrp.org"
99,"Thank you for taking part in the clinical trial for the study drug LJN452, also called tropifexor."
100,"You and all of the participants helped researchers learn more about how LJN452 works in people with primary bile acid diarrhea, also called PBAD."
101,Novartis sponsored this trial and believes it is important to share the results of the trial with you and the public.
103,We hope it helps you understand your important role in medical research.
104,"If you participated in the trial and have questions about the results, please speak with the doctor or staff at your trial site."
105,What has happened since the trial ended?
106,You were in this trial for up to about 3 months.
107,The entire trial lasted about 1 year and 9 months.
108,This is because participants started and stopped at different times.
109,The trial started in April 2016 and ended in January 2018.
110,The researchers planned to include 30 participants in the trial.
111,"But, after reviewing the initial results, they found that LJN452 did not lower PBAD symptoms as much as the researchers expected."
112,It was also challenging for the researchers to find enough participants with PBAD suitable to join the trial.
113,"So, the researchers decided to stop the trial early."
114,The trial included 20 participants from 4 trial sites in the United Kingdom and the United States.
115,"After the trial ended, the sponsor reviewed the data and created a report of the results."
117,Research Sponsor: Novartis Drug Studied: LJN452 (tropifexor) Protocol Number: CLJN452X2202 Clinical Trial Results 1 2 Clinical Trial Results Why was the research needed?
118,Researchers are looking for a better way to treat participants with PBAD.
119,"Before a drug can be approved for participants to take, researchers perform clinical trials to find out how safe it is and how well it works."
120,The information collected from many clinical trials is needed to find out if LJN452 improves the health of participants with PBAD.
121,The liver makes a substance called bile acid that helps people digest their food.
122,"Usually, the bile acid is taken up in the small intestine during digestion."
123,"But in people with PBAD, not all the bile acid gets taken up by the small intestine."
124,"So, the bile acid ends up in the large intestine."
125,This causes diarrhea.
126,LJN452 helps reduce the amount of bile acid that is produced by the liver.
127,"Researchers think that by reducing the amount of bile produced by the liver, less bile should reach the large intestine."
128,The researchers think this may help lessen diarrhea in participants with PBAD.
129,"In this trial, the researchers wanted to find out if LJN452 works in a small number of participants with PBAD."
130,They also wanted to find out about the safety of LJN452 in participants with PBAD.
131,"To do this, the researchers compared LJN452 with a placebo."
132,A placebo looks like the trial drug but does not have any medicine in it.
133,Using a placebo helps researchers to understand the actual effect of a trial drug better.
134,The main questions the researchers wanted to answer in this trial were: Did LJN452 change how often the participants had bowel movements?
135,Did LJN452 change the form of the participants stools?
136,How much LJN452 got into the participants blood?
137,Did LJN452 change how much rescue medicine the participants used?
138,What medical problems did the participants have?
139,3 Clinical Trial Results What kind of trial was this?
140,"To answer the questions in this trial, the researchers asked for the help of men and women with PBAD."
141,The participants in this trial were 30 to 75 years old.
143,This means none of the participants or trial staff performing the tests knew what treatment each participants took.
144,Some trials are done this way because knowing what treatment the participants are taking can affect the results of the trial.
145,Doing a trial this way helps make sure the results are looked at fairly.
146,A computer program was used to randomly assign the treatment each participant took.
147,Researchers do this so that comparing the results of each treatment is done as fairly as possible.
148,"When the trial ended, the research sponsor created a report of the trial results."
149,The sponsor staff did not know the identity of any of the participants.
150,What happened during the trial?
151,This trial was done in 2 parts.
152,"In each part, each participant took LJN452 or the placebo."
153,"By the end of the trial, each participant had taken both treatments."
154,"Before treatment started, the trial doctors did tests and checked the health of the participants to make sure they could take part in the trial."
155,"The participants could take rescue medicine during this time, if needed."
156,This is medicine participants could take to treat their PBAD symptoms right away.
157,"Before treatment started, the trial doctors gave the participants a diary to keep track of their bowel movements and when they took the rescue medicine."
158,"During treatment, the trial doctors took blood, urine, and stool samples."
159,They also checked the participants diaries and asked questions about the participants PBAD symptoms.
160,"In both parts of the trial, the participants took a single dose of either the trial drug or the placebo once a day for 14 days."
161,The participants took both the trial drug and the placebo in pill form by mouth.
162,"Participants used their diary to keep track of their bowel movements, when they took rescue medicine, and when they took the treatment."
163,4 Clinical Trial Results There were 1 to 4 weeks between Part 1 and Part 2.
164,"During this time, the participants did not take any treatment."
165,This was done to make sure any effects the researchers saw during each part were due to the treatment taken in that part.
166,The graphic below shows how the participants took their treatment during this study.
167,"Part 1 of the trial Part 2 of the trial 10 participants took LJN452 10 participants took the placebo 10 participants took LJN452 10 participants took the placebo No trial treatment for 1 to 4 weeks between Part 1 and Part 2 Washout period After treatment, the trial doctors took blood, urine, and stool samples."
168,They also collected the participants diaries and asked questions about the participants PBAD symptoms.
169,The chart below shows how the trial was done.
170,Before treatment Trial doctors checked that participants could join the trial The participants stopped taking their PBAD medicine before trial treatment started During treatment Part 1 20 participants took either LJN452 or the placebo for 14 days Part 2 20 participants took either LJN452 or the placebo for 14 days After treatment The participants visited their trial site 1 time Up to 4 weeks About 1 week after last doseAbout 14 days About 14 days No trial treatment between Part 1 and Part 2 1 to 4 weeks 5 Clinical Trial Results What were the results of the trial?
171,"This is a summary of the overall results of your trial, not your individual results."
172,The results presented here are for a single trial.
173,Other trials may provide new information or different results.
174,You should not make medical decisions based on the results of a single trial.
175,Always talk to a doctor before making any changes to your medications or treatment plans.
176,All 20 participants took at least 1 dose of LJN452.
177,"But, 3 participants stopped taking the trial drug, so not all of their results are included below."
178,"For more information about the questions researchers wanted to answer, please check the websites listed at the end of this summary."
179,"If a full report of the study results is available, it can be found on those websites."
180,Did LJN452 change how often participants had bowel movements?
181,"After 2 weeks of trial treatment, the difference between the trial drug and the placebo was too small to know if LJN452 changed how often the participants had bowel movements."
182,"To answer this question, the researchers used the participants diaries to count how many times the participants had bowel movements."
183,They counted the participants bowel movements before they started treatment and during the 2 weeks of trial treatment.
184,The researchers learned that the participants had an average of: 18.8 bowel movements per week after taking LJN452 compared to an average of 18.0 bowel movements per week before taking LJN452.
185,17.5 bowel movements per week after taking the placebo compared to an average of 15.9 bowel movements per week before taking the placebo.
186,6 Clinical Trial Results The chart below shows these results.
187,Average number of bowel movements per week Before treatment 0 7 14 21 28 35 42 Av er ag e nu m be r o f bo w el m ov em en ts PlaceboLJN452 15.918.0 Second week of treatment 17.5 18.8 Did LJN452 change the form of participants stools?
188,The number of participants in each treatment group was too small for the researchers to know if LJN452 changed the form of the participants stools.
189,"To answer this question, the researchers asked the participants to keep track of the form of their stools in their diaries."
190,"Every time the participants had a bowel movement, they scored the form of their stools using the Bristol Stool Chart, also called the BSC."
191,The BSC scores ranged from 1 to 7.
192,"A low score meant the stools were hard, lumpy, and were difficult to pass."
193,A high score of a 6 or 7 meant the stools were mushy with ragged edges or no solid pieces.
194,The graphic below shows the BSC.
195,"1 4 7 Hard, lumpy and di cult to pass Mushy ragged edges, no solid pieces 7 Clinical Trial Results The researchers counted the participants average BSC scores before they started treatment and during the 2 weeks of trial treatment."
196,They learned that: The participants had an average BSC score of 4.9 after taking LJN452 compared to 5.5 before taking LJN452.
197,The participants had an average BSC score of 5.1 both before and after taking the placebo.
198,The chart below shows these results.
199,Average BSC scores of the participants stools Before treatment 0 2 4 6 8 Av er ag e B SC s co re PlaceboLJN452 5.15.5 Second week of treatment 5.14.9 How much LJN452 got into the participants blood?
200,"To answer this question, the trial doctors measured how much LJN452 got into the participants blood during the 2 weeks of treatment with LJN452."
201,They measured how much LJN452 was in the blood over the course of 24 hours after the first dose.
202,They also measured how much LJN452 was in the blood 8 hours after the last dose.
203,8 Clinical Trial Results This helped the researchers to find: The average highest level of LJN452 that got into the participants blood.
204,"This is measured in nanograms per milliliter, also called ng/mL."
205,The average amount of time it took LJN452 to reach the highest level in the participants blood.
206,This is measured in hours.
207,The average total amount of LJN452 measured in the participants blood from the first dose to the last dose.
208,"This is measured in hours multiplied by nanograms per milliliter, also called hr ng/mL."
209,The graphs below show an example of how the amount of a trial drug in the blood can change over time.
210,They do not show actual results from this trial.
211,Total amount of trial drug in the blood Time of dose A m ou nt o f tr ia l d ru g Total level of trial drug in the blood Time (hours) Highest level of trial drug in the blood Time of dose A m ou nt o f tr ia l d ru g highest level of trial drug in the blood Time (hours) amount of time to reach the highest level The researchers found that: The average highest level of LJN452 that got into the participants blood was 1.6 ng/mL after the first dose and 1.8 ng/mL after the last dose.
212,The average amount of time it took LJN452 to reach its highest level in the blood was 5.0 hours after the first and last dose.
213,The average total amount of LJN452 that got into the participants blood was 23.6 hr ng/mL after the first dose and 22.1 hr ng/mL after the last dose.
214,Did LJN452 change how much rescue medicine participants used?
216,LJN452 did not change how much rescue medicine the participants used.
217,"To answer this question, the researchers used the participants diaries to count how many participants took rescue medicine during each trial treatment."
218,"But, the difference between the treatment groups was too small for the researchers to know if LJN452 changed how much rescue medicine the participants used."
219,9 Clinical Trial Results What medical problems did the participants have?
220,Medical problems that happen in clinical trials are called adverse events .
221,An adverse event is any unwanted sign or symptom that participants have during a trial.
222,"An adverse event is considered serious when it is life-threatening, causes lasting problems, or the participant needs hospital care."
223,These problems may or may not be caused by the trial drug.
224,A lot of research is needed to know whether a drug causes an adverse event.
225,"During a trial, all adverse events are reported and written down, whether or not they are caused by the trial drug."
226,"So when new drugs are being studied, researchers keep track of all adverse events that participants have."
227,This section is a summary of the adverse events that happened during this trial.
228,All 20 participants are included in these results because they all took at least 1 dose of trial drug.
229,How many participants had adverse events?
230,Fewer participants had adverse events while taking LJN452 than while taking the placebo.
231,None of the participants stopped taking treatment because of adverse events.
232,The table below shows how many participants had adverse events during this trial.
233,Adverse events during this trial LJN452 (Out of 17 participants) Placebo (Out of 19 participants) Total (Out of 20 participants) How many participants in this trial had adverse events?
234,52.9% (9) 73.7% (14) 90.0% (18) 10 Clinical Trial Results What were the most common serious adverse events?
235,None of the participants had serious adverse events during this trial.
236,None of the participants died during this trial.
237,What were the most common adverse events?
238,The most common adverse event that happened in participants during this trial was headache.
239,This adverse event happened in a similar number of participants in both treatment groups.
240,The table below shows the most common adverse events that happened in 2 or more total participants.
241,"There were other adverse events, but these happened in fewer participants."
242,"Most common adverse events during this trial Adverse event LJN452 (Out of 17 participants) Placebo (Out of 19 participants) Total (Out of 20 participants) Headache 11.8% (2) 21.1% (4) 30.0% (6) Abdominal pain 5.9% (1) 5.3% (1) 10.0% (2) Chest pain not related to the heart 11.8% (2) 0.0% (0) 10.0% (2) Congestion in the nose 5.9% (1) 5.3% (1) 10.0% (2) For more information about the adverse events in this trial, please see the scientific summary that can be found on the websites noted at the end of this summary."
243,11 Clinical Trial Results How has this trial helped patients and researchers?
244,The results of this trial helped researchers better understand if LJN452 works in patients with PBAD.
245,The results from many trials are needed to find out which treatments can be used for patients with PBAD.
246,This summary shows only the main results from this 1 trial.
247,This trial was done in a small number of participants with a short treatment period.
249,"If other trials with LJN452 in participants with PBAD are planned, you will be able to find them on the websites listed below."
250,12 Clinical Trial Results Thank you!
252,You helped researchers answer important health questions and test new medical treatments.
253,Novartis is a global healthcare company based in Switzerland that provides solutions to address the evolving needs of participants worldwide.
254,1-888-669-6682 (US); +41613241111 (EU) The Center for Information & Study on Clinical Research Participation (CISCRP) is a non-profit organization focused on educating and informing the public about clinical research participation.
255,"CISCRP One Liberty Square, Suite 1100 Boston, MA 02109 1-877-MED-HERO www.ciscrp.org Where can I learn more about this trial?"
256,More information about the results of this trial can be found in the scientific results summary available on the Novartis Clinical Trial Results website (www.novctrd.com).
257,"Once on the site, click READ MORE under Clinical trial results at the bottom of the page."
258,"After agreeing to enter the Novartis website, type CLJN452X2202 into the keyword search box and click Search ."
259,"If you have questions about the results, please speak with the trial doctor or trial staff at your trial site."
260,You can find more information about this trial on the website listed below: www.clinicaltrials.gov.
261,"Once you are on the website, type NCT02713243 into the Other terms search box and click Search ."
262,www.clinicaltrialsregister.eu.
263,"Once you are on the website, click Home and Search , then type 2015-003192-30 in the search box and click Search ."
264,"If more clinical trials are planned, they will be listed on the above public websites or www.novartisclinicaltrials.com."
265,Search for LJN452 .
266,"Full trial title: A double blind, randomized placebo controlled crossover multiple dose study of LJN452 to assess safety, tolerability and efficacy in participants with primary bile acid diarrhea (pBAD) ."
272,"As a clinical trial patient, you belong to a large community of patients around the world."
273,You helped researchers answer important health questions and discover new medical treatments.
274,Thank you for taking part in the clinical trial for the drug CJM112.
275,You helped researchers learn more about how CJM112 works in people with chronic plaque-type psoriasis.
276,This trial started in June 2013 and ended in October 2015.
280,"If you have questions about the results, please speak with the doctor, research nurse, or other team member at your trial site."
281,"Clinical Trial Results Research Sponsor: Novartis Location of Headquarters: Basel, Switzerland Drug Studied: CJM112 Protocol #: CCJM112X2101 Full Trial Title: A randomized, double-blind, placebo and positive controlled, single and multiple dose escalation study to assess the safety, tolerability, pharmacokinetics and pharmacodynamics of CJM112 in chronic plaque-type psoriasis patients Full Scientific Summary: www.novctrd.com Trial Date: June 2013 to October 2015 2 Clinical Trial Results What s happened since the trial ended?"
282,"You were in this trial for up to about 16 weeks, but the trial took close to 2 years to complete."
283,The trial included 96 patients from 18 sites in the United States.
284,"When the trial ended in October 2015, the sponsor reviewed the data and created a report of the results."
286,Why was the research needed?
287,Researchers were looking for a better way to treat chronic plaque-type psoriasis.
288,"This is the most common type of psoriasis, a long-lasting disease that affects mainly the skin."
290,The plaques may be covered with silvery-white build-up called scales that might itch or feel sore.
291,Researchers have found that people with plaque-type psoriasis have higher activity of an immune system protein called interleukin-17 (IL-17).
292,"The trial drug, CJM112, is a type of antibody that blocks IL-17."
293,Antibodies are normally made by the body s immune system to fight off infection.
294,"However, researchers are now able to use antibodies as medications to treat a variety of conditions, including chronic plaque-type psoriasis."
295,Researchers wanted to see if CJM112 was safe to use and if it helped decrease psoriasis.
296,Researchers compared CJM112 with secukinumab (AIN457) and a placebo.
297,Secukinumab is a different type of antibody that is already available as a treatment option for psoriasis.
298,"A placebo looks like medicine, but does not have any real medicine in it."
299,The main questions researchers asked in the trial were: What medical problems did patients have during the trial?
300,How much CJM112 got into the blood?
301,"Did CJM112 help treat psoriasis better than secukinumab, a placebo, or both?"
302,Did patients immune systems have a reaction to CJM112?
303,"To answer these questions, researchers asked for the help of men and women like you."
304,The patients in this trial were 20 to 65 years old and had chronic plaque-type psoriasis.
305,What kind of trial was this?
306,This trial was double-blind .
307,"This means that none of the patients, trial doctors, or staff knew what treatment each patient received."
308,"Patients in this trial took either CJM112, secukinumab, or placebo."
309,Some trials are done this way because knowing what treatment each patient is getting can affect the results of the trial.
310,"This way, it ensures that the results are looked at fairly."
311,"When the trial ended, the research sponsor found out which treatment patients received so they could create a report of the trial results."
312,3 Clinical Trial Results What happened during the trial?
313,This trial had 2 parts.
314,"Patients were enrolled in either Part 1, Part 2, or both."
315,The figure below shows how the trial was done.
316,Double-Blind Treatment: 96 Patients 44.1% Up to 16 weeks Part 1 Single Doses: 42 Patients Part 2 Multiple Doses: 54 Patients 16 weeks CJM112 5 mg CJM112 15 mg CJM112 50 mg CJM112 150 mg CJM112 450 mg Placebo CJM112 75 mg CJM112 250 mg CJM112 750 mg CJM112 1350 mg Secukinumab 1050 mg Placebo 4 11 11 6 6 10 10 4 4 4 14 12 Trial doctors did a full checkup of all patients to make sure they could join the trial.
317,"Patients were randomly assigned, like flipping a coin, to take either CJM112 or placebo (Part 1) or CJM112, secukinumab, or placebo (Part 2)."
318,"Throughout the trial, doctors took blood samples from the patients as well as checked their weight, temperature, blood pressure, and pulse rate."
319,Part 1 lasted up to 16 weeks.
320,"Patients got 1 injection of either 5 milligrams (mg), 15 mg, 50 mg, 150 mg, or 450 mg CJM112 or placebo."
321,"At Week 4, patients returned to the doctor s office to record if their symptoms of chronic plaque-type psoriasis had lessened or not."
322,"About 1 month later, patients returned to the doctor s office again for a final visit."
323,Part 2 lasted 16 weeks.
324,Patients got 9 different injections over a 12 week period.
325,"Some received CJM112, some received secukinumab, and some received placebo."
326,"The total doses over the 12-week period for the 4 groups of CJM112 were 75 mg, 250 mg, 750 mg, and 1350 mg."
327,"The total dose of secukinumab was 1050 mg. At Week 12, patients returned to the doctor s office to record if their symptoms of chronic plaque-type psoriasis had improved or not improved."
329,4 Clinical Trial Results What were the results of the trial?
332,Researchers look at the results of many studies to decide which drugs work best and are safest for patients.
334,You should not make changes to your treatment based on the results of a single trial without first talking to your doctor.
337,"So, when new drugs are being studied, researchers keep track of all medical problems that patients have."
339,An adverse event is any sign or symptom during the trial that may or may not be caused by the trial drug.
341,The tables below show how many patients had adverse events during this trial.
342,"The tables include all patients who took CJM112, no matter which dose they got, as well as all patients who took the placebo."
343,Adverse Events in Part 1 CJM112 Total Out of 28 patients Placebo Out of 14 patients Total Out of 42 patients How many patients had adverse events?
344,13 (46.4%) 8 (57.1%) 21 (50.0%) How many patients had serious adverse events?
345,1 (3.5%) 1 (7.1%) 2 (4.8%) How many patients stopped taking the trial drug because of adverse events?
346,0 (0%) 0 (0%) 0 (0%) Adverse Events in Part 2 CJM112 Total Out of 42 patients Secukinumab Out of 6 patients Placebo Out of 6 patients Total Out of 54 patients How many patients had adverse events?
347,23 (54.8%) 2 (33.3%) 5 (83.3%) 30 (55.6%) How many patients had serious adverse events?
348,1 (2.4%) 0 (0%) 0 (0%) 1 (1.9%) How many patients stopped taking the trial drug because of adverse events?
349,2 (4.8%) 0 (0%) 0 (0%) 2 (3.7%) Did any patients have serious adverse events?
350,"An adverse event is called serious when it is life-threatening, causes lasting problems, or leads to hospitalization."
351,No patients died during the trial.
352,"However, some patients experienced serious adverse events."
353,"In Part 1, 2 patients experienced a serious adverse event - 1 patient in the 150 mg CJM112 group and 1 patient in the placebo group."
354,The serious adverse events were high blood pressure and back pain.
355,Trial doctors did not think that any of the serious adverse events were related to the trial drug.
356,"5 Clinical Trial Results In Part 2, 1 patient experienced 2 serious adverse events."
357,The patient was in the 1350 mg CJM112 group and experienced breathing problems and kidney failure after surgery for another health problem.
358,The trial doctors did not consider either of these serious adverse events to be related to the trial drug.
359,What were the most common non-serious adverse events?
360,The tables below show the most common non-serious adverse events (in at least 2 patients) in this trial.
