,sentences
199,12.4World map Fotolia by Maeliss Boehringer Ingelheim International GmbH for1 year &4 monthson averageThe results show that thechances of having a strokewere similar for bothtreatments.
200,1dabigatran aspirin13%19%dabigatran aspirin6.6% 7.7%63% men37% women05 March 2019 BI 1160.189 Page 2 of 6RESPECT ESUS: A study to compare dabigatran and aspirin for preventing further strokes in patients who have had a stroke of unknown originThis is a summary of a clinical study in patients with a risk of stroke.
201,It describes how researchers did the study and what the results were.
202,We have written this summary for the general public.
204,You helped to answer important questions about dabigatran and the treatment of stroke.
206,This study included patients who had a type of stroke called embolic stroke of undetermined source (ESUS).
207,Researchers compared 2 different treatments for preventing further strokes.
208,They wanted to find out whether a medicine called dabigatran is more effective than aspirin.
209,Why was this study needed?
210,Patients who have had a stroke have an increased risk of another stroke.
211,Some strokes are caused by a blood clot.
212,Patients with this type of stroke take different medicines against blood clotting.
213,The type of medicine that works the best for these patients usually depends on how the blood clot formed in the bloodstream.
214,Some blood clots form around fatty deposits in the vessels.
215,"For some strokes, doctors do not know what causes the blood clot to form."
216,This type of stroke is called ESUS.
217,Patients with ESUS often take aspirin to help prevent further strokes.
218,But doctors do not know what the most effective treatment for ESUS is.
219,This study was done to find out if dabigatran was more effective than aspirin at preventing another stroke.
221,Researchers studied the anti-blood-clotting medicine called dabigatran.
222,Dabigatran slows down blood clotting.
223,It reduces the amount of certain proteins needed to form clots.
224,Dabigatran is taken as a capsule by mouth.
225,05 March 2019 BI 1160.189 Page 3 of 6Researchers compared dabigatran to another anti-blood-clotting medicine known as aspirin.
226,Aspirin works by preventing small blood cells called platelets from forming clumps that are needed to form clots.
227,Aspirin is taken as a tablet by mouth.
229,Patients could take part in this study if they had a type of stroke called ESUS within the previous 3 to 6 months.
230,"Overall, 5390 patients took part in the study."
231,3403 were men and 1987 were women.
232,"Onaverage, patients were 64 years old."
233,The youngest patient was 18 years old and the oldest patient was 94 years old.
234,The table below shows the number of patients by geographical region and country.
235,"Geographical Region Countries Number of PatientsWestern Europe Austria, Belgium, France, Germany, Greece, Italy, Portugal, Spain, Sweden, Switzerland2464 patientsAsia China, Hong Kong, India, Japan, Korea, Malaysia, Singapore, Taiwan, Thailand1198 patientsCentral Europe Croatia, Czech Republic, Estonia, Hungary,Poland, Russia, Serbia, Slovakia, Slovenia, Turkey, Ukraine704 patientsNorth America Canada, United States 594 patientsLatin America Argentina, Brazil, Chile, Colombia, Mexico, Peru225 patientsOther Australia, Israel, New Zealand, South Africa 205 patientsHow was this study done?"
236,The patients were divided into 2 groups.
237,One group of patients received dabigatran and the other group received aspirin.
238,Every patient had an equal chance of being in the dabigatrangroup or in the aspirin group.
239,Patients were to take the treatment for between 6 months and 3.5 years.
240,The patients did not know which treatment they were taking.
241,The doctors did not know either.
242,Patients in the dabigatran group took either 220 milligrams (mg) or 300 mg every day.
243,Theytook dabigatran as 1 capsule twice per day.
244,Patients in the aspirin group took 1 tablet of 100 mg aspirin once daily.
245,05 March 2019 BI 1160.189 Page 4 of 6Patients visited their doctors regularly.
246,"During the visits, the doctors collected information on each patient s health."
247,"During the study, researchers compared how many patients had strokes in the dabigatran group and the aspirin group."
248,Researchers also checked whether patients had major bleeding problems during the study.
249,A bleeding problem was major if at least 1 of the following occurred: The patient needed a transfusion of blood.
250,The bleeding occurred in an important place in the body (such as in the brain).
251,The bleeding led to the death of the patient.
253,The chances of having a stroke during the study were about the same for patients who took dabigatran and for patients who took aspirin.
254,"For this analysis, all participants in the study were included."
255,"In the dabigatran group, 177 out of 2695 patients (6.6%) had a stroke."
256,"In the aspirin group, 207 out of 2695 patients (7.7%) had a stroke."
257,Researchers did statistical tests on the results.
258,They found that it was likely that the difference between the treatment groups came about by chance.
259,The chances of having a major bleeding problem during the study were also similar for each treatment.
260,"For this analysis, all participants who received any study treatment were included."
261,"In the dabigatran group, 65 out of 2676 patients (2.4%) had a major bleeding problem."
262,"In the aspirin group, 48 out of 2674 patients (1.8%) had a major bleeding problem."
264,Unwanted effects are any health problems that the doctors thought were caused by the study medicines.
265,"In this study, 503 out of 2676 patients (19%) in the dabigatran group had unwanted effects."
266,344 out of 2674 patients (13%) in the aspirin group had unwanted effects.
267,The most common unwanted effects seen in at least 25 patients taking either dabigatran or aspirin are shown in the table below.
268,"05 March 2019 BI 1160.189 Page 5 of 6Dabigatran220 mg or 300 mg(2676 patients)Aspirin100 mg(2674 patients)Upset stomach (dyspepsia) 44 patients (2%)25 patients(less than 1%)Blood in the urine(haematuria)39 patients (2%)12 patients(less than 1%)Nosebleed (epistaxis) 33 patients (1%) 39 patients (2%)Stomach pain (abdominal pain upper)33 patients (1%)19 patients(less than 1%)Some unwanted effects were serious because they required a visit to hospital or a longer stay in hospital, were life-threatening or fatal."
269,"Unwanted effects were also serious if they led to disability, or a birth defect, or the doctor thought they were serious for any other reason."
270,"In this study, 93 patients (4%) in the dabigatran group had serious unwanted effects."
271,56 patients (2%) in the aspirin group had serious unwanted effects.
273,"If researchers do additional clinical studies with dabigatran, you will find them on the websites listed in the next section."
274,"To search for these studies, use the following names: dabigatran or dabigatran etexilate."
277,Go to http://www.trials.boehringer-ingelheim.com/ and search for the study number1160.189.
279,Go to www.clinicaltrialsregister.eu/ctr-search and search for the EudraCT number 2013-003444-24.
281,Go to www.clinicaltrials.gov and search for the NCT number NCT02239120.
283,"http://www.trials.boehringer-ingelheim.com/http://www.clinicaltrialsregister.eu/ctr-searchhttp://www.clinicaltrials.gov05 March 2019 BI 1160.189 Page 6 of 6The full title of the study is: Randomized, double-blind, Evaluation in secondary Stroke Prevention comparing the EfficaCy and safety of the oral Thrombin inhibitor dabigatran etexilate (110 mg or 150 mg, oral b.i.d.)"
284,versus acetylsalicylic acid (100 mg oral q.d.)
285,in patients with Embolic Stroke of Undetermined Source (RESPECT ESUS) .
286,This was a Phase 3 study.
287,This study started in December 2014 and finished in August 2018.
294,Boehringer Ingelheim International GmbH.
305,1199-0227-lay-summary_englishThis study was to find out:How does nintedanibinfluence the amount of a proteincalled CRPM in the blood?
306,IPF is a disease that causes scarring in the lungs.
307,This makes it difficult to breathe.
308,Nintedanib is a medicine that can slow down the progression of IPF.
309,"Each participant took twice a dayA study in patients with idiopathic pulmonary fibrosis (IPF)to better understand how nintedanib slowsdisease progression (1199.227)or346 patients from 13 countries from Europe, Asia, Australia and North America took part."
310,Study participants had IPF57% of participants who tooknintedanib and 28% of participantswho took placebo had unwantedeffects.
311,"12.4 2019 Boehringer Ingelheim International GmbHAfter 12 weeks, the change in CRPM was not different in participants taking nintedaniband participants taking placebo."
312,nintedanib placebo28%57%RESULTS77% of the participants had unwanted effects.
313,76%men24%womenAfter 12 weeks all participantstook nintedanib.
314,nintedanib77%This study had 2 parts:1 2week 1-12 week 13-52121150 mg nintedanib1placebowhich didn tcontainany medicinePart 1Part 21150 mg nintedanibPart 1Part 2Part 2Part 130 September 2019 BI 1199.227 Page 2 of 6A study in patients with idiopathic pulmonary fibrosis (IPF) to better understand how nintedanib slows disease progressionThis is a summary from one clinical study.
315,We thank all study participants.
316,You helped to answer important questions about nintedaniband the treatment of IPF.
318,Idiopathic pulmonary fibrosis (IPF) is a rare disease that causes scarring of the tissue inside the lungs.
319,The lungs become thick and stiff (fibrotic).
320,This makes breathing difficult.
321,The word 'idiopathic' means that doctors do not know the cause of the lung scarring.
322,"Common symptoms of IPF are shortness of breath, persistent dry cough, and enlargement (clubbing) of fingertips."
323,Nintedanib is a medicine that is used to slow down the progression of IPF.
324,The purpose of the study was to measure how nintedanib affects a certain protein in the blood called CRPM.
325,CRPM has been shown in other clinical studies to increase as IPF worsens.
326,"We expected that if nintedanib had an effect on CRPM, it could provide more information about how nintedanib works."
328,All participants in this study had IPF.
329,"Overall, 346 participants took part in the study."
330,This included 262 men and 84 women.
331,The average age was 70 years.
332,The youngest participant was 49 years old and the oldest participant was 91 years old.
333,"30 September 2019 BI 1199.227 Page 3 of 6This study was done in Europe, Asia, Oceania, and North America."
334,The table below shows the countries that the study was done in.
335,"Region Countries Number of ParticipantsEurope Belgium, Czech Republic, Finland, France, Germany, Hungary, Poland, Spain, United Kingdom213Asia Japan, Korea 102Oceania Australia 20North America United States 11How was this study done?"
336,This study had 2 parts.
337,The first part lasted for 12 weeks and the second part lasted for 40 weeks.
338,"In the first part of the study, the participants were divided into 2 groups."
339,It was decided by chance which participants were in each group.
340,The groups were: Nintedanib group: participants took 1 tablet of 150 mg nintedanib twice per day Placebo group: participants took 1 placebo tablet twice per dayPlacebo tablets looked like nintedanib but did not contain any medicine.
341,116 participants were in the nintedanib group and 230 participants were in the placebo group.
342,The participants and doctors did not know whether the participants were in the nintedanib group or in the placebo group.
343,We wanted to know if there was a difference in the amount of CRPM in the blood after taking nintedanib for 12 weeks.
344,We compared the amount of CRPM in participants who took nintedanib with the amount of CRPM in participants who took placebo.
345,"In the second part of the study, all participants took 1 tablet of 150 mg nintedanib twice per day for 40 weeks."
346,All participants knew that they were now taking nintedanib.
347,Participants who were taking nintedanib in part 1 continued to take nintedanib.
348,Participants who weretaking placebo in part 1 switched to nintedanib in part 2.
349,We wanted to know if there was adifference between treatments.
350,We measured how well the lungs worked at the end of the study compared to the beginning of the study.
351,We also wanted to know if there was a difference in the number of participants who died.
352,Participants visited the doctors regularly.
353,"During these visits, the doctors collected information about the participant s health."
354,30 September 2019 BI 1199.227 Page 4 of 6What were the results of this study?
355,"After 12 weeks, the average change in the amount of CRPM in the blood was not differentbetween groups."
356,The groups were participants taking nintedanib compared to participants taking placebo.
357,"By the end of the study, similar percentages of participants in both treatment groups had decreased lung function or had died."
358,29 out of 116 participants (25%) who took nintedanibthroughout the whole study had decreased lung function or had died.
359,70 out of 230 participants (30%) who took placebo during the first 12 weeks had decreased lung function or had died.
360,Did participants have any unwanted effects?
361,"Yes, participants in both groups had unwanted effects."
362,Unwanted effects are health problems that the doctors think were caused by the study medicines.
363,"During the first part of the study, 66 out of 116 participants (57%) in the nintedanib group had unwanted effects."
364,64 out of 230 participants (28%) in the placebo group had unwanted effects.
365,The table below shows the 6 most common unwanted effects in either treatment group.
366,"Unwanted effectNintedanib 150 mgtwice daily(116 participants)Placebo(230 participants)Diarrhoea 47 participants (41%) 34 participants (15%)Nausea 16 participants (14%) 10 participants (4%)Decreased appetite 11 participants (10%) 7 participants (3%)Decreased weight 6 participants (5%)1 participant(less than 1%)Vomiting 5 participants (4%) 5 participants (2%)Abdominal discomfort 5 participants (4%)1 participant(less than 1%)30 September 2019 BI 1199.227 Page 5 of 6Some unwanted effects were serious because they required a visit to hospital or a longer stay in hospital, or were life-threatening."
368,"During the first part of the study, 1 participant out of 116 participants (less than 1%) in the nintedanib group had serious unwanted effects."
369,2 participants out of 230 participants (less than 1%) in the placebo group had serious unwanted effects.
370,All participants took nintedanib during the second part of the study.
371,"During this period, 256 participants out of 333 participants (77%) had unwanted effects."
372,The most common unwanted effects were the same as in the first part of the study.
373,13 participants out of 333 participants (4%) had serious unwanted effects during the second part of the study.
375,You can find further information about the study at these websites:1.
376,Go to http://www.trials.boehringer-ingelheim.com/ and search for the study number1199.227.
378,Go to www.clinicaltrialsregister.eu/ctr-search and search for the EudraCT number 2015-003148-38.
380,Go to www.clinicaltrials.gov and search for the NCT number NCT02788474.
382,"The full title of the study is: A 12-week, double-blind, randomised, placebo-controlled, parallel-group trial followed by a single active arm phase of 40 weeks evaluating the effect of oral nintedanib 150 mg twice daily on change in biomarkers of extracellular matrix (ECM)turnover in patients with idiopathic pulmonary fibrosis (IPF) and limited forced vital capacity (FVC) impairment ."
383,This was a Phase 4 study.
384,This study started in June 2016 and finished in June 2018.
386,"If we do more clinical studies with nintedanib, you will find them on the websites listed above."
387,"To search for these studies, use the words nintedanib and BIBF 1120.http://www.trials.boehringer-ingelheim.com/http://www.clinicaltrialsregister.eu/ctr-searchhttp://www.clinicaltrials.gov30 September 2019 BI 1199.227 Page 6 of 6Important noticeThis summary shows only the results from one study and may not represent all of the knowledge about the medicine studied."
402,Lay summary 1199.214Scleroderma (also called systemic sclerosis) is a rare disease.
403,Scleroderma can affect the skin and other organs.
404,"In some people with scleroderma, the disease causes lung fibrosis."
405,This study wanted to find out:Does a medicine callednintedanib help patientswho have lung fibrosis due toscleroderma?
406,"placebowhich didn t contain anymedicineEach patient tooktwice a dayA study to compare nintedanib with placebo for patients with scleroderma-related lung fibrosis (SENSCIS study, 1199.214)150 mg nintedaniborPatients taking part hadscleroderma with lung fibrosis183% of patients who took nintedaniband 43% of patients who took placebo had unwanted effects."
407,"nintedanib placebo83% 43% Boehringer Ingelheim International GmbHYearly decrease in FVC (in mL)On average, after 1 year of treatment, nintedanib slowed down the loss of lung function by 44%."
408,Diarrhoea was the most common unwanted effect: 68% of patients taking nintedanib and 20% of patients taking placebo had diarrhoea.
409,"-100-80-60-40-200nintedanib placebo576 patients from 31 countries in Europe, Canada and USA, Asia and other regions took part."
410,RESULTS1-52 mL-93 mL41 mLLoss of lung function25% men 75% women 14 May 2019 BI 1199.214 Page 2 of 8 SENSCIS A study to compare nintedanib with placebo for patients with scleroderma-related lung fibrosis This is a summary of a clinical study about scleroderma (also called systemic sclerosis).
413,You helped researchers answer important questions about nintedanib and the treatment of scleroderma-related lung fibrosis.
415,"This study was done to find out whether a medicine called nintedanib helps patients with scleroderma, who have lung fibrosis due to their disease."
416,Scleroderma is a rare disease that can cause thickening and hardening (fibrosis) of the skin and other organs.
417,"In many people with scleroderma, the disease causes lung fibrosis (also called interstitial lung disease)."
418,Lung fibrosis means that the lungs become stiffer and thicker.
419,This can make breathing difficult.
420,Lung fibrosis often worsens over time.
422,There are not many treatment options for patients with scleroderma who have lung fibrosis due to their disease.
423,New treatments are needed.
425,We studied the medicine nintedanib.
426,Researchers think that nintedanib can block biological signals that take place in the process of tissue hardening (fibrosis).
427,"Nintedanib is used to treat a disease called idiopathic pulmonary fibrosis, which is another type of lung fibrosis."
428,"In idiopathic pulmonary fibrosis, lung function worsens as the disease progresses."
429,Nintedanib can help to slow down worsening of lung function.
430,Nintedanib is taken as a capsule that patients swallow.
431,"Half of the patients in this study took nintedanib, and the other half took placebo."
432,"The placebo capsules looked just like the nintedanib capsules, but did not contain any medicine."
433,We compared nintedanib with placebo to find out whether nintedanib works in patients who have scleroderma with lung fibrosis.
434,14 May 2019 BI 1199.214 Page 3 of 8 Who participated in the study?
435,Adult patients with scleroderma who had lung fibrosis due to their disease participated in the study.
436,A total of 576 patients took part in the study.
437,433 patients (75%) were women and 143 patients (25%) were men.
438,The average age was 54 years.
439,The youngest patient was 20 years old and the oldest patient was 79 years old.
440,"This study was done in Europe, Canada and the USA, Asia, and other regions."
441,The table below shows where the study was done.
442,"Region Countries Number of patients Europe Austria, Belgium, Czech Republic, Denmark, Finland, France, Germany, Greece, Ireland, Italy, the Netherlands, Norway, Poland, Portugal, Spain, Sweden, Switzerland, United Kingdom 266 Canada and USA Canada, United States 142 Asia China, India, Japan, Malaysia, Thailand 130 Other regions Argentina, Australia, Brazil, Chile, Israel, Mexico 38 How was this study done?"
444,It was decided by chance who got into which group.
445,"One group of patients took nintedanib, and the other group of patients took placebo."
446,Each patient had an equal chance of being in the nintedanib group or in the placebo group.
447,Patients did not know if they were taking nintedanib or placebo.
449,Patients took the nintedanib capsules or the placebo capsules twice a day.
450,All patients started on the dose of 150 milligrams (mg) twice a day.
451,"If patients had unwanted effects, the doctors could lower the dose to 100 mg twice a day."
452,Patients could also stop taking the capsules for a while.
