origin;sent_id;sentence;source_term;CHV_selection;CHV_substitution;CHV_sim_score;MLM_selection;MLM_substitution;MLM_sim_score
House;1490;So, if you do find a tumor, what do you do?;tumor;['tumor'];tumor;100.0;['kidney', 'cancer', 'mass', 'liver', 'stroke', 'heart', 'lung', 'seizure', 'virus', 'stomach'];kidney;0
House;1491;We treat the underlying malignancy.;malignancy;['cancer', 'primary cancer'];cancer;33.0;['infection', 'mass', 'cancer', 'tumor', 'disease', 'pneumonia', 'process', 'inflammation', 'condition', 'bleeding'];infection;33
House;1492;Once there's no tumor to attack, there's nothing for the antibodies to get confused about.;tumor;['tumor'];tumor;100.0;['cancer', 'mass', 'tissue', 'brain', 'disease', 'nerve', 'death', 'path', 'time', 'radiation'];cancer;18
House;1493;If the tumor's treatable.;tumor;['tumor'];tumor;100.0;['mass', 'disease', 'patient', 'cancer', 'pain', 'symptoms', 'infection', 'radiation', 'primary', 'area'];disease;0
House;1513;Sometimes it presents with no tumor at all.;tumor;['tumor'];tumor;100.0;['cancer', 'mass', 'radiation', 'growth', 'bleeding', 'disease', 'lesions', 'progression', 'movement', 'treatment'];cancer;18
House;1516;And how do you treat it if there's no tumor?;tumor;['tumor'];tumor;100.0;['cancer', 'disease', 'mass', 'growth', 'infection', 'inflammation', 'radiation', 'treatment', 'bleeding', 'progression'];disease;0
House;1519;They were too busy looking for the tumor-- right till they put the patient in the ground.;tumor;['tumor'];tumor;100.0;['mass', 'liver', 'lung', 'brain', 'stomach', 'cancer', 'heart', 'kidney', 'blood', 'bone'];lung;22
House;1523;So we're just gonna ignore the tumor?;tumor;['tumor'];tumor;100.0;['cancer', 'disease', 'mass', 'infection', 'lung', 'liver', 'brain', 'diagnosis', 'radiation', 'bleeding'];disease;0
House;1649;For a diagnosis of tularemia you need a fourfold increase in serum antibody levels.;tularemia;['tularemia'];tularemia;100.0;['pneumonia', 'infection', 'depression', 'diabetes', 'cancer', 'HIV', 'malaria', 'bleeding', 'tuberculosis', 'stroke'];infection;13
House;1668;Foreman got the gang testing for tularemia?;tularemia;['tularemia'];tularemia;100.0;['seizure', 'headache', 'stroke', 'anxiety', 'depression', 'diabetes', 'weakness', 'pain', 'confusion', 'hearing'];diabetes;27
House;1852;There's only one way a tularemia patient goes into a coma... while on I.V. chloramphenicol.;tularemia;['tularemia'];tularemia;100.0;['time', 'coma', 'seizure', 'day', 'bite', 'toxic', 'half', 'twin', 'transition', 'trigger'];time;31
House;1853;The patient doesn't have tularemia.;tularemia;['tularemia'];tularemia;100.0;['fever', 'HD', 'cough', 'iron', 'diabetes', 'pain', 'bands', 'symptoms', 'CP', 'headache'];fever;14
House;1858;We still have the problem of explaining how a white chick from Jersey... who's never traveled south of D.C. has African sleeping sickness.;sickness;['illness', 'altitude sickness'];illness;29.0;['disease', 'illness', 'syndrome', 'symptoms', 'spells', 'fever', 'problems', 'disorder', 'discomfort', 'pattern'];disease;20
House;1960;Her fever spiked at 104.;fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0;['temperature', 'pain', 'temperatures', 'pulse', 'BP', 'spike', 'sodium', 'glucose', 'blood', 'headache'];temperature;40
House;1961;Echo shows global hyperkinesis.;hyperkinesis;['hyperactive', 'hyperactive behavior', 'attention deficit disorder', 'minimal brain dysfunction', 'attention deficit(hyper) disorder', 'attention deficit hyperactivity disorder (ADHD)'];hyperactive behavior;36.0;['HK', 'MR', 'disease', 'function', 'congestion', 'failure', 'relaxation', 'improvement', 'PR', 'AI'];disease;35
House;2004;A tumor sitting directly on top of the brain stem... that three E.R. Doctors, two neurologists and a radiologist missed?;tumor;['tumor'];tumor;100.0;['mass', 'cancer', 'brain', 'lump', 'node', 'region', 'focus', 'specimen', 'lung', 'Tu'];brain;20
House;2016;A glioma not presenting on a contrast M.R.I. Would have to be smaller than a grain of sand, which does not a gravely ill person make.;glioma;['glioma', 'malignant glioma', 'mixed glioma'];glioma;100.0;['mass', 'tumor', 'cancer', 'brain', 'lump', 'stomach', 'kidney', 'patient', 'mole', 'node'];brain;18
House;2021;She's my best rotisseur.;rotisseur;[];;;['hearing', 'ear', 'eye', 'gag', 'pupil', 'hand', 'memory', 'cough', 'finger', 'back'];eye;17
House;2114;A tumor sitting directly on top of the brain stem.;tumor;['tumor'];tumor;100.0;['mass', 'cancer', 'brain', 'lump', 'skull', 'stomach', 'body', 'bullet', 'node', 'kidney'];brain;20
House;2131;Some tumors are almost impossible to see unless we know exactly where to look.;tumors;['tumor'];tumor;100.0;['lesions', 'glands', 'things', 'nodes', 'organs', 'areas', 'cells', 'vessels', 'people', 'bones'];lesions;18
House;2134;If it is a tumor, there are a variety of treatment options, but there are variables other than just size.;tumor;['tumor'];tumor;100.0;['cancer', 'mass', 'child', 'pneumonia', 'disease', 'liver', 'stroke', 'kidney', 'bleed', 'virus'];cancer;18
House;2165;A glioma not presenting on a contrast MRI would have to be smaller than a grain of sand, which does not a gravely ill person make.;glioma;['glioma', 'malignant glioma', 'mixed glioma'];glioma;100.0;['mass', 'tumor', 'cancer', 'brain', 'lump', 'stomach', 'kidney', 'focus', 'node', 'liver'];cancer;17
House;2172;So if you do find the tumor, what do you do?;tumor;['tumor'];tumor;100.0;['mass', 'liver', 'brain', 'lung', 'cancer', 'blood', 'kidney', 'heart', 'skin', 'bone'];liver;20
House;2184;They were too busy looking for the tumor, right till they put the patient in the ground.;tumor;['tumor'];tumor;100.0;['mass', 'cancer', 'brain', 'lung', 'liver', 'patient', 'stomach', 'heart', 'blood', 'bone'];cancer;18
House;2186;So we're just going to ignore the tumor?;tumor;['tumor'];tumor;100.0;['cancer', 'disease', 'mass', 'liver', 'lung', 'infection', 'brain', 'radiation', 'bleeding', 'blood'];disease;0
House;2242;For a diagnosis of Tularemia you need a four-fold increase in serum antibody levels.;Tularemia;['tularemia'];tularemia;100.0;['pneumonia', 'infection', 'depression', 'diabetes', 'cancer', 'HIV', 'malaria', 'tuberculosis', 'bleeding', 'stroke'];infection;13
House;2254;Foreman got the gang testing for Tularemia?;Tularemia;['tularemia'];tularemia;100.0;['seizure', 'headache', 'stroke', 'anxiety', 'depression', 'diabetes', 'weakness', 'pain', 'confusion', 'hearing'];anxiety;38
House;2263;It's her first time in an oncology unit and she's having a tough time, emotionally.;oncology;['tumor'];tumor;17.0;['psychiatric', 'anxiety', 'HD', 'medical', 'acute', 'radiation', 'addiction', 'immune', 'insulin', 'cancer'];medical;17
House;2335;The patient doesn't have Tularemia.;Tularemia;['tularemia'];tularemia;100.0;['fever', 'HD', 'cough', 'iron', 'diabetes', 'pain', 'bands', 'symptoms', 'CP', 'headache'];fever;14
House;2343;Your wife has human African Trypanosomiasis.;Trypanosomiasis;['trypanosomiasis'];trypanosomiasis;100.0;['virus', 'infection', 'disease', 'malaria', 'infections', 'parasite', 'exposure', 'diabetes', 'syndrome', 'tuberculosis'];disease;30
House;2344;You mean its not Tularemia.;Tularemia;['tularemia'];tularemia;100.0;['bleeding', 'blood', 'severe', 'toxic', 'improving', 'clear', 'acute', 'sodium', 'chronic', 'high'];severe;14
House;2390;Fever spiked at 104.;Fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0;['temperature', 'BP', 'repeat', 'pain', 'spike', 'nausea', 'subsequently', 'CT', 'chill', 'cough'];temperature;40
House;2428;The mothers aren't sick, so  No toxoplasmosis, no rubella.;toxoplasmosis;['toxoplasmosis'];toxoplasmosis;100.0;['flu', 'malaria', 'tuberculosis', 'HIV', 'pneumonia', 'fever', 'cough', 'infection', 'parasite', 'infections'];HIV;13
House;2445;Let's get M.R.I. 's, check for abscesses or some occult infection.;abscesses;['abscess'];abscess;100.0;['infection', 'yeast', 'pneumonia', 'drainage', 'fever', 'bleeding', 'blood', 'urine', 'fluid', 'inflammation'];infection;15
House;2510;A little lethargic.;lethargic;['lethargy'];lethargy;93.0;['confused', 'agitated', 'depressed', 'sleepy', 'weak', 'anxious', 'improved', 'interactive', 'tired', 'bit'];depressed;29
House;2529;Their baby gets a fever.;fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0;['cold', 'cough', 'murmur', 'chill', 'headache', 'fall', 'seizure', 'temperature', 'pneumonia', 'sweat'];cough;0
House;2549;Fever of unknown origin, 101 degrees, trending upwards.;Fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0;['temperature', 'cold', 'chill', 'Day', 'Pain', 'Heat', 'Month', 'Cold', 'CC', 'headache'];Pain;0
House;2876;You thinking pseudomonas infection?;pseudomonas;[];;;['yeast', 'lung', 'line', 'bacterial', 'pulmonary', 'viral', 'bacteria', 'wound', 'pneumonia', 'tuberculosis'];lung;29
House;2966;There was no sign of lymphocytosis in the blood tests.;lymphocytosis;['lymphocytosis', 'lymphocyte count increased'];lymphocytosis;100.0;['infection', 'bacteria', 'fever', 'bleeding', 'inflammation', 'change', 'blood', 'elevation', 'consolidation', 'increase'];infection;22
House;2991;No toxoplasmosis, no rubella.;toxoplasmosis;['toxoplasmosis'];toxoplasmosis;100.0;['cough', 'MR', 'rub', 'fever', 'pneumonia', 'murmur', 'malaria', 'yeast', 'flu', 'parasite'];cough;12
House;3010;No, the Limpert boy had a bit of jaundice.;jaundice;['jaundice'];jaundice;100.0;['blood', 'stool', 'nausea', 'confusion', 'urine', 'pain', 'fatigue', 'swelling', 'thirst', 'bleeding'];blood;17
House;3015;I'll just tell his parents he can't check out because he has the smallpox.;smallpox;['smallpox disease', 'alastrim'];smallpox disease;70.0;['pneumonia', 'flu', 'cough', 'lung', 'heart', 'cancer', 'stomach', 'murmur', 'lungs', 'liver'];pneumonia;24
House;3139;Yeah, I'm, I'm, a bit of an upset stomach too, and I think I'm running a fever, I'm just... worried I might be contagious.;fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0;['cold', 'temperature', 'flu', 'virus', 'bacteria', 'headache', 'infection', 'pneumonia', 'reaction', 'chill'];cold;0
House;3144;Because I really do, hey, I really do have a cough.;cough;['coughing', 'cough symptom'];coughing;100.0;['cold', 'fever', 'headache', 'pneumonia', 'sob', 'heart', 'seizure', 'stroke', 'throat', 'pulse'];fever;0
House;3181;Treat him for sepsis, broad-spectrum antibiotics and I want a cort-stim test and an echocardiogram.;sepsis;['blood poisoning', 'sepsis', 'pyemia'];blood poisoning;24.0;['pneumonia', 'infection', 'fever', 'colonization', 'MI', 'infections', 'shock', 'stroke', 'seizure', 'se'];infection;18
House;3247;And then there's hypothyroidism, could be parasites.;hypothyroidism;['hypothyroidism', 'secondary hypothyroidism', 'central hypothyroidism', 'primary hypothyroidism'];hypothyroidism;100.0;['depression', 'liver', 'infection', 'fever', 'diabetes', 'HIV', 'inflammation', 'pneumonia', 'confusion', 'blood'];infection;12
House;3336;Patient's negative for hypothyroidism.;hypothyroidism;['hypothyroidism', 'secondary hypothyroidism', 'central hypothyroidism', 'primary hypothyroidism'];hypothyroidism;100.0;['infection', 'diabetes', 'cancer', 'MI', 'depression', 'HIV', 'pneumonia', 'tuberculosis', 'stroke', 'bleeding'];diabetes;12
House;3426;So even if you're right, no gout medication.;gout;['gout'];gout;100.0;['pain', 'diabetes', 'seizure', 'insulin', 'heart', 'cancer', 'cardiac', 'additional', 'inflammatory', 'extra'];pain;0
House;3461;Well, we foolishly ruled out lymphoma because his CT scan showed no adenophathy,;lymphoma;['lymphoma'];lymphoma;100.0;['cancer', 'tumor', 'pneumonia', 'HIV', 'diabetes', 'infection', 'MI', 'MAC', 'tuberculosis', 'mass'];cancer;14
House;3492;You have a little birdie carved on your arm, that tells me you have a high tolerance for humiliation, so I figure it's not hemorrhoids.;hemorrhoids;['hemorrhoid (pile)'];hemorrhoid (pile);80.0;['bleeding', 'blood', 'infected', 'toxic', 'heart', 'bloody', 'dangerous', 'bleed', 'normal', 'healthy'];blood;40
House;3515;First of all, there's a pain in the abdomen, the rash, the fever... isn't that what you got first?;pain;['pain', 'burning pain', 'ache', 'radiating pain'];pain;100.0;['pressure', 'temperature', 'cold', 'headache', 'sensation', 'change', 'fever', 'sore', 'discomfort', 'heat'];pressure;18
House;3517;Then it screws up your bone marrow, and then...neuropathy.;neuropathy;['neuropathy'];neuropathy;100.0;['weakness', 'stroke', 'pain', 'diabetes', 'headache', 'infection', 'depression', 'fracture', 'seizure', 'confusion'];pain;43
House;3536;The gout medicine OD?;gout;['gout'];gout;100.0;['pain', 'liver', 'cardiac', 'heart', 'seizure', 'diabetes', 'cancer', 'kidney', 'sleep', 'anxiety'];pain;0
House;3560;Yeah, um-um, I have a bit of an upset stomach too, and I think I'm running a fever.;fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0;['cold', 'flu', 'temperature', 'virus', 'infection', 'pneumonia', 'headache', 'reaction', 'cough', 'bacteria'];infection;36
House;3597;L-I really do have a cough.;cough;['coughing', 'cough symptom'];coughing;100.0;['fever', 'cold', 'headache', 'sob', 'gag', 'pulse', 'CP', 'congestion', 'murmur', 'pneumonia'];fever;0
House;3655;The fact that I know it's a gout medicine O.D. Would indicate the case is already solved.;gout;['gout'];gout;100.0;['kidney', 'liver', 'heart', 'diabetes', 'cardiac', 'cancer', 'lung', 'stroke', 'stomach', 'seizure'];kidney;0
House;3661;Yeah, I'm, I've a bit of an upset stomach too, and I think I'm running a fever, I'm just... worried I might be contagious.;fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0;['cold', 'temperature', 'flu', 'virus', 'headache', 'pneumonia', 'infection', 'cough', 'bacteria', 'viral'];cold;0
House;3678;I-I really do have a cough.;cough;['coughing', 'cough symptom'];coughing;100.0;['cold', 'fever', 'headache', 'sob', 'gag', 'pulse', 'congestion', 'CP', 'rub', 'murmur'];fever;0
House;3681;I really do have a cough.;cough;['coughing', 'cough symptom'];coughing;100.0;['cold', 'fever', 'headache', 'sob', 'gag', 'pulse', 'CP', 'congestion', 'fall', 'pneumonia'];fever;0
House;3682;You also have a little rash.;rash;['rash'];rash;100.0;['nausea', 'cough', 'headache', 'swelling', 'fatigue', 'pain', 'blood', 'fever', 'bleeding', 'weakness'];fever;22
House;3716;What about arthritis?;arthritis;['arthritis', 'polyarthritis', 'polyarticular arthritis'];arthritis;100.0;['depression', 'diabetes', 'pain', 'cancer', 'stroke', 'falls', 'cough', 'pneumonia', 'anxiety', 'fatigue'];diabetes;29
House;3731;Treat him for sepsis, broad-spectrum antibiotics, and I want a Cort-stim test and an echocardiogram.;sepsis;['blood poisoning', 'sepsis', 'pyemia'];blood poisoning;24.0;['pneumonia', 'infection', 'fever', 'colonization', 'MI', 'infections', 'shock', 'seizure', 'stroke', 'surgery'];infection;18
House;3759;And, no, I do not have a pain management problem.;pain;['pain', 'burning pain', 'ache', 'radiating pain'];pain;100.0;['medication', 'fluid', 'glucose', 'medical', 'drug', 'pressure', 'diabetes', 'seizure', 'fever', 'wound'];pressure;18
House;3760;I have a pain problem.;pain;['pain', 'burning pain', 'ache', 'radiating pain'];pain;100.0;['kidney', 'bleeding', 'hearing', 'swallowing', 'stomach', 'liver', 'heart', 'memory', 'skin', 'sleep'];kidney;40
House;3839;Well, anything can cause a rash.;rash;['rash'];rash;100.0;['headache', 'fever', 'cold', 'cough', 'burn', 'seizure', 'sore', 'temperature', 'reaction', 'chill'];fever;22
House;3927;I'm Dr. Cuddy.;Cuddy;[];;;['dir', 'sat', 'sob', 'sq', 'cat', 'ed', 'vent', 'cough', 'sun', 'vol'];sat;0
House;3987;Still have the cough.;cough;['coughing', 'cough symptom'];coughing;100.0;['pain', 'headache', 'fever', 'blood', 'sob', 'congestion', 'breath', 'nausea', 'gag', 'pulse'];fever;0
House;3989;His fever is gone.;fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0;['pain', 'cough', 'headache', 'nausea', 'weakness', 'stool', 'swelling', 'drainage', 'confusion', 'discharge'];pain;0
House;3998;The patient's negative for hypothyroidism.;hypothyroidism;['hypothyroidism', 'secondary hypothyroidism', 'central hypothyroidism', 'primary hypothyroidism'];hypothyroidism;100.0;['infection', 'diabetes', 'cancer', 'pneumonia', 'tuberculosis', 'MI', 'depression', 'HIV', 'bleeding', 'stones'];diabetes;12
House;4065;Maybe we find some fibrosis.;fibrosis;['fibrosis'];fibrosis;100.0;['inflammation', 'blood', 'pneumonia', 'bacteria', 'stones', 'fluid', 'infection', 'congestion', 'bleeding', 'fat'];inflammation;14
House;4112;Because he doesn't have gout.;gout;['gout'];gout;100.0;['pain', 'diabetes', 'bleeding', 'cough', 'headache', 'cancer', 'CP', 'symptoms', 'weakness', 'surgery'];pain;0
House;4116;But he doesn't have gout.;gout;['gout'];gout;100.0;['pain', 'diabetes', 'headache', 'CP', 'symptoms', 'cough', 'weakness', 'bleeding', 'cancer', 'surgery'];pain;0
House;4117;Why would he have gout medication?;gout;['gout'];gout;100.0;['pain', 'seizure', 'diabetes', 'HIV', 'current', 'sleep', 'iron', 'psychiatric', 'insulin', 'similar'];pain;0
House;4126;The pharmacist gave him gout medicine instead of cough medicine.;gout;['gout'];gout;100.0;['pain', 'heart', 'cold', 'fish', 'swallow', 'headache', 'fever', 'cough', 'seizure', 'anxiety'];pain;0
House;4131;So even if you're right, no more gout medication.;gout;['gout'];gout;100.0;['pain', 'diabetes', 'heart', 'inflammatory', 'seizure', 'kidney', 'headache', 'eye', 'insulin', 'cardiac'];pain;0
House;4170;If the prescription said cough medicine, that's what I dispensed.;cough;['coughing', 'cough symptom'];coughing;100.0;['swallow', 'pain', 'sleep', 'stool', 'fever', 'throat', 'cold', 'crush', 'crack', 'ache'];fever;0
House;4187;Hey, I'm just a pharmacist, but I know what cough medicine looks like, Doctor.;cough;['coughing', 'cough symptom'];coughing;100.0;['swallow', 'pain', 'throat', 'lung', 'sleep', 'chest', 'lungs', 'respiratory', 'neck', 'pulmonary'];lung;44
House;4243;So I figure it's not hemorrhoids.;hemorrhoids;['hemorrhoid (pile)'];hemorrhoid (pile);80.0;['bleeding', 'blood', 'infected', 'bleed', 'bloody', 'black', 'stomach', 'solid', 'liver', 'clear'];infected;12
House;4280;Then it screws up your bone marrow, and then neuropathy.;neuropathy;['neuropathy'];neuropathy;100.0;['weakness', 'stroke', 'infection', 'swelling', 'nerve', 'inflammation', 'pneumonia', 'pain', 'diabetes', 'death'];infection;38
House;4308;The gout medicine O.D.?;gout;['gout'];gout;100.0;['pain', 'seizure', 'cardiac', 'diabetes', 'liver', 'depression', 'cancer', 'heart', 'sleep', 'stroke'];pain;0
House;4309;The fact that I know it's a gout medicine O.D. would indicate the case is already solved.;gout;['gout'];gout;100.0;['kidney', 'liver', 'heart', 'diabetes', 'cardiac', 'cancer', 'lung', 'stroke', 'stomach', 'seizure'];kidney;0
House;4395;Proves two things, no neurological damage, and your son is never going to be chief fry cook.;neurological;['nervous system disease', 'system disorders of the nervous system'];nervous system disease;29.0;['brain', 'liver', 'kidney', 'organ', 'lung', 'cardiac', 'heart', 'nerve', 'motor', 'cerebral'];brain;15
