origin;sent_id;sentence;entity_count;BERN_extracted_ngram;BERN_entity_type;msh_id;MESHtoCUIs
wiki_fully;4;Schistosomiasis, caused by one genus of trematodes, is the second-most devastating of all human diseases caused by parasites, surpassed only by malaria.;1;Schistosomiasis;disease;D012552;['C0036323']
wiki_fully;4;Schistosomiasis, caused by one genus of trematodes, is the second-most devastating of all human diseases caused by parasites, surpassed only by malaria.;2;malaria;disease;Unknown;[]
wiki_fully;5;In 1921, Buck's mother died of a tropical disease, sprue, and shortly afterward her father moved in.;1;tropical disease;disease;Unknown;[]
wiki_fully;6;In 1920, the Bucks had a daughter, Carol, afflicted with phenylketonuria.;1;phenylketonuria;disease;D010661;['C0031485', 'C0751434', 'C0268465', 'C0751436', 'C0751435']
wiki_fully;9;"Other presenting symptoms include trouble swallowing, cramping, or stiffness of affected muscles; muscle weakness affecting an arm or a leg; and/or slurred and nasal speech.";1;cramping;disease;D009120;['C0026821', 'C0010263']
wiki_fully;9;"Other presenting symptoms include trouble swallowing, cramping, or stiffness of affected muscles; muscle weakness affecting an arm or a leg; and/or slurred and nasal speech.";2;stiffness of affected muscles;disease;D009123;['C0026825', 'C0026827', 'C0427202', 'C0427201', 'C2267233', 'C0751330']
wiki_fully;9;"Other presenting symptoms include trouble swallowing, cramping, or stiffness of affected muscles; muscle weakness affecting an arm or a leg; and/or slurred and nasal speech.";3;muscle weakness;disease;D018908;['C0151786']
wiki_fully;10;The disorder causes muscle weakness and atrophy throughout the body due to the degeneration of the upper and lower motor neurons.;1;muscle weakness;disease;D018908;['C0151786']
wiki_fully;10;The disorder causes muscle weakness and atrophy throughout the body due to the degeneration of the upper and lower motor neurons.;2;atrophy throughout the body;disease;D055093;['C2350270', 'C2350271']
wiki_fully;10;The disorder causes muscle weakness and atrophy throughout the body due to the degeneration of the upper and lower motor neurons.;3;degeneration of the upper and lower motor neurons;disease;C563476;['C1833662']
wiki_fully;11;Unable to function, the muscles weaken and exhibit atrophy.;1;atrophy;disease;D055093;['C2350270', 'C2350271']
wiki_fully;12;About 75% of people contracting the disease experience ''limb onset'' ALS, i.e., first symptoms in the arms or legs.;1;ALS;disease;D000690;['C0002736', 'C0543859', 'C0393554']
wiki_fully;15;Susceptible animals include cattle, water buffalo, sheep, goats, pigs, antelope, deer, and bison.;1;cattle;species;Unknown;[]
wiki_fully;15;Susceptible animals include cattle, water buffalo, sheep, goats, pigs, antelope, deer, and bison.;2;water buffalo;species;Unknown;[]
wiki_fully;15;Susceptible animals include cattle, water buffalo, sheep, goats, pigs, antelope, deer, and bison.;3;sheep;species;Unknown;[]
wiki_fully;15;Susceptible animals include cattle, water buffalo, sheep, goats, pigs, antelope, deer, and bison.;4;goats;species;Unknown;[]
wiki_fully;15;Susceptible animals include cattle, water buffalo, sheep, goats, pigs, antelope, deer, and bison.;5;pigs;species;Unknown;[]
wiki_fully;15;Susceptible animals include cattle, water buffalo, sheep, goats, pigs, antelope, deer, and bison.;6;deer;species;Unknown;[]
wiki_fully;15;Susceptible animals include cattle, water buffalo, sheep, goats, pigs, antelope, deer, and bison.;7;bison;species;Unknown;[]
wiki_fully;16;North America and Australia have been free of FMD for many years.;1;FMD;disease;D005352;['C0016052']
wiki_fully;19;There is an increased risk of STI transmission if the receiving partner has wounds on his genitals, or if the giving partner has wounds or open sores on or in his or her mouth, or bleeding gums.;1;STI;disease;Unknown;[]
wiki_fully;21;Chlamydia, human papillomavirus (HPV), gonorrhea, herpes, hepatitis (multiple strains), and other sexually transmitted infections (STIs/STDs), can be transmitted through oral sex.;1;Chlamydia;disease;Unknown;[]
wiki_fully;21;Chlamydia, human papillomavirus (HPV), gonorrhea, herpes, hepatitis (multiple strains), and other sexually transmitted infections (STIs/STDs), can be transmitted through oral sex.;2;human papillomavirus;disease;Unknown;[]
wiki_fully;21;Chlamydia, human papillomavirus (HPV), gonorrhea, herpes, hepatitis (multiple strains), and other sexually transmitted infections (STIs/STDs), can be transmitted through oral sex.;3;HPV;disease;Unknown;[]
wiki_fully;21;Chlamydia, human papillomavirus (HPV), gonorrhea, herpes, hepatitis (multiple strains), and other sexually transmitted infections (STIs/STDs), can be transmitted through oral sex.;4;gonorrhea;disease;D006069;['C0018081']
wiki_fully;21;Chlamydia, human papillomavirus (HPV), gonorrhea, herpes, hepatitis (multiple strains), and other sexually transmitted infections (STIs/STDs), can be transmitted through oral sex.;5;herpes;disease;Unknown;[]
wiki_fully;21;Chlamydia, human papillomavirus (HPV), gonorrhea, herpes, hepatitis (multiple strains), and other sexually transmitted infections (STIs/STDs), can be transmitted through oral sex.;6;hepatitis;disease;D008107;['C0023895', 'C0086565']
wiki_fully;21;Chlamydia, human papillomavirus (HPV), gonorrhea, herpes, hepatitis (multiple strains), and other sexually transmitted infections (STIs/STDs), can be transmitted through oral sex.;7;sexually transmitted infections;disease;Unknown;[]
wiki_fully;21;Chlamydia, human papillomavirus (HPV), gonorrhea, herpes, hepatitis (multiple strains), and other sexually transmitted infections (STIs/STDs), can be transmitted through oral sex.;8;STIs;disease;Unknown;[]
wiki_fully;21;Chlamydia, human papillomavirus (HPV), gonorrhea, herpes, hepatitis (multiple strains), and other sexually transmitted infections (STIs/STDs), can be transmitted through oral sex.;9;STDs;disease;D012749;['C0036916']
wiki_fully;23;Any sexual exchange of bodily fluids with a person infected with HIV, the virus that causes AIDS, poses a risk of infection.;1;HIV;species;Unknown;[]
wiki_fully;23;Any sexual exchange of bodily fluids with a person infected with HIV, the virus that causes AIDS, poses a risk of infection.;2;AIDS;disease;D000163;['C0001175']
wiki_fully;24;Risk of STI infection, however, is generally considered significantly lower for oral sex than for vaginal or anal sex, with HIV transmission considered the lowest risk with regard to oral sex.;1;STI infection;disease;D007239;['C3714514']
wiki_fully;24;Risk of STI infection, however, is generally considered significantly lower for oral sex than for vaginal or anal sex, with HIV transmission considered the lowest risk with regard to oral sex.;2;HIV;species;Unknown;[]
wiki_fully;30;Hyssop is also used, usually in combination with other herbs such as liquorice, in herbal remedies, especially for lung conditions.;1;lung conditions;disease;D008171;['C0024115']
wiki_fully;31;Skin allergy testing (such as patch testing) is available for certain foods and venoms.;1;Skin allergy;disease;Unknown;[]
wiki_fully;32;It typically causes a number of symptoms including an itchy rash, throat swelling, and low blood pressure.;1;itchy rash;disease;D005076;['C0015230']
wiki_fully;32;It typically causes a number of symptoms including an itchy rash, throat swelling, and low blood pressure.;2;throat swelling;disease;Unknown;[]
wiki_fully;33;Gastrointestinal symptoms may include crampy abdominal pain, diarrhea, and vomiting.;1;crampy abdominal pain;disease;D015746;['C0000737', 'C3888418']
wiki_fully;33;Gastrointestinal symptoms may include crampy abdominal pain, diarrhea, and vomiting.;2;diarrhea;disease;C565627;['C1857276']
wiki_fully;33;Gastrointestinal symptoms may include crampy abdominal pain, diarrhea, and vomiting.;3;vomiting;disease;D014839;['C0042963']
wiki_fully;34;Rarely very low blood pressure may be the only sign of anaphylaxis.;1;anaphylaxis;disease;D000707;['C0002792']
wiki_fully;35;Methylene blue has been used in those not responsive to other measures due to its presumed effect of relaxing smooth muscle.;1;Methylene blue;drug;Unknown;[]
wiki_fully;36;People with atopic diseases such as asthma, eczema, or allergic rhinitis are at high risk of anaphylaxis from food, latex, and radiocontrast but not from injectable medications or stings.;1;atopic diseases;disease;D004194;['C0012634']
wiki_fully;36;People with atopic diseases such as asthma, eczema, or allergic rhinitis are at high risk of anaphylaxis from food, latex, and radiocontrast but not from injectable medications or stings.;2;asthma;disease;D001249;['C0004096']
wiki_fully;36;People with atopic diseases such as asthma, eczema, or allergic rhinitis are at high risk of anaphylaxis from food, latex, and radiocontrast but not from injectable medications or stings.;3;eczema;disease;D004485;['C0013595']
wiki_fully;36;People with atopic diseases such as asthma, eczema, or allergic rhinitis are at high risk of anaphylaxis from food, latex, and radiocontrast but not from injectable medications or stings.;4;allergic rhinitis;disease;Unknown;[]
wiki_fully;37;Anaphylaxis is a serious allergic reaction that is rapid in onset and may cause death.;1;Anaphylaxis;disease;D000707;['C0002792']
wiki_fully;37;Anaphylaxis is a serious allergic reaction that is rapid in onset and may cause death.;2;allergic reaction;disease;D006967;['C0020517', 'C1527304']
wiki_fully;38;One study in children found that 60% had a history of previous atopic diseases, and of those who die from anaphylaxis more than 90% have asthma.;1;atopic diseases;disease;D004194;['C0012634']
wiki_fully;38;One study in children found that 60% had a history of previous atopic diseases, and of those who die from anaphylaxis more than 90% have asthma.;2;anaphylaxis;disease;D000707;['C0002792']
wiki_fully;38;One study in children found that 60% had a history of previous atopic diseases, and of those who die from anaphylaxis more than 90% have asthma.;3;asthma;disease;D001249;['C0004096']
wiki_fully;39;Worldwide, 0.05-2% of the population is estimated to have anaphylaxis at some point in life, and rates appear to be increasing.;1;anaphylaxis;disease;D000707;['C0002792']
wiki_fully;40;Other features may include a runny nose and swelling of the conjunctiva.;1;runny nose;disease;Unknown;[]
wiki_fully;40;Other features may include a runny nose and swelling of the conjunctiva.;2;swelling of the conjunctiva;disease;D003229;['C0009759']
wiki_fully;41;Skin testing is available to confirm penicillin allergies, but is not available for other medications.;1;penicillin allergies;disease;Unknown;[]
wiki_fully;41;Skin testing is available to confirm penicillin allergies, but is not available for other medications.;2;penicillin;drug;Unknown;[]
wiki_fully;43;Pseudoanaphylaxis or anaphylactoid reactions are a type of anaphylaxis that does not involve an allergic reaction but is due to direct mast cell degranulation.;1;Pseudoanaphylaxis;disease;Unknown;[]
wiki_fully;43;Pseudoanaphylaxis or anaphylactoid reactions are a type of anaphylaxis that does not involve an allergic reaction but is due to direct mast cell degranulation.;2;anaphylactoid reactions;disease;Unknown;[]
wiki_fully;43;Pseudoanaphylaxis or anaphylactoid reactions are a type of anaphylaxis that does not involve an allergic reaction but is due to direct mast cell degranulation.;3;anaphylaxis;disease;D000707;['C0002792']
wiki_fully;45;Anaphylactic shock is associated with systemic vasodilation that causes low blood pressure which is by definition 30% lower than the person's baseline or below standard values.;1;Anaphylactic shock;disease;D000707;['C0002792']
wiki_fully;46;Intravenous epinephrine however has been associated both with dysrhythmia and myocardial infarction.;1;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
wiki_fully;46;Intravenous epinephrine however has been associated both with dysrhythmia and myocardial infarction.;2;dysrhythmia;disease;D001145;['C0003811']
wiki_fully;46;Intravenous epinephrine however has been associated both with dysrhythmia and myocardial infarction.;3;myocardial infarction;disease;D009203;['C0027051']
wiki_fully;47;It can sometimes be difficult to distinguish anaphylaxis from asthma, syncopy, and panic attacks.;1;anaphylaxis;disease;D000707;['C0002792']
wiki_fully;47;It can sometimes be difficult to distinguish anaphylaxis from asthma, syncopy, and panic attacks.;2;asthma;disease;D001249;['C0004096']
wiki_fully;47;It can sometimes be difficult to distinguish anaphylaxis from asthma, syncopy, and panic attacks.;3;syncopy;disease;Unknown;[]
wiki_fully;47;It can sometimes be difficult to distinguish anaphylaxis from asthma, syncopy, and panic attacks.;4;panic attacks;disease;D016584;['C0086769', 'C0030319']
wiki_fully;48;In the immunologic mechanism, immunoglobulin E (IgE) binds to the antigen (the foreign material that provokes the allergic reaction).;1;immunoglobulin E;gene;Unknown;[]
wiki_fully;48;In the immunologic mechanism, immunoglobulin E (IgE) binds to the antigen (the foreign material that provokes the allergic reaction).;2;IgE;gene;Unknown;[]
wiki_fully;48;In the immunologic mechanism, immunoglobulin E (IgE) binds to the antigen (the foreign material that provokes the allergic reaction).;3;allergic;disease;D006967;['C0020517', 'C1527304']
wiki_fully;51;Those with underlying coronary disease are at greater risk of cardiac effects from anaphylaxis.;1;coronary disease;disease;D003327;['C0010068']
wiki_fully;52;The wheezing is typically caused by spasms of the bronchial muscles while stridor is related to upper airway obstruction secondary to swelling.;1;wheezing;disease;D012135;['C0034642', 'C0032230', 'C0035234', 'C0035508', 'C0038450', 'C0043144']
wiki_fully;52;The wheezing is typically caused by spasms of the bronchial muscles while stridor is related to upper airway obstruction secondary to swelling.;2;spasms of the bronchial muscles;disease;D001986;['C0006266']
wiki_fully;52;The wheezing is typically caused by spasms of the bronchial muscles while stridor is related to upper airway obstruction secondary to swelling.;3;stridor;disease;D012135;['C0034642', 'C0032230', 'C0035234', 'C0035508', 'C0038450', 'C0043144']
wiki_fully;52;The wheezing is typically caused by spasms of the bronchial muscles while stridor is related to upper airway obstruction secondary to swelling.;4;upper airway obstruction;disease;D000402;['C0001883', 'C0008301']
wiki_fully;52;The wheezing is typically caused by spasms of the bronchial muscles while stridor is related to upper airway obstruction secondary to swelling.;5;swelling;disease;Unknown;[]
wiki_fully;53;On a mechanistic level, anaphylaxis is caused by the release of mediators from certain types of white blood cells triggered either by immunologic or non-immunologic mechanisms.;1;anaphylaxis;disease;D000707;['C0002792']
wiki_fully;55;The cause of primary spontaneous pneumothorax is unknown, but established risk factors include male sex, smoking, and a family history of pneumothorax.;1;pneumothorax;disease;C538279;['C0340007']
wiki_fully;55;The cause of primary spontaneous pneumothorax is unknown, but established risk factors include male sex, smoking, and a family history of pneumothorax.;2;pneumothorax;disease;C538279;['C0340007']
wiki_fully;56;This condition is a medical emergency that can cause steadily worsening oxygen shortage and low blood pressure.;1;oxygen shortage;disease;D000860;['C0242184', 'C0700292', 'C0003129', 'C0003130']
wiki_fully;56;This condition is a medical emergency that can cause steadily worsening oxygen shortage and low blood pressure.;2;oxygen;drug;Unknown;[]
wiki_fully;57;Thomas died of food poisoning while working at Penny's Pleasure Inn in Detroit, Michigan.;1;food poisoning;disease;D005517;['C0016479', 'C0679360']
wiki_fully;58;Squamous cell cancer arises from the cells that line the upper part of the esophagus.;1;Squamous cell cancer;disease;D002294;['C0007137']
wiki_fully;59;Adenocarcinoma arises from glandular cells that are present at the junction of the esophagus and stomach.;1;Adenocarcinoma;disease;D000230;['C0001418', 'C0205641', 'C0205644', 'C0205642', 'C0205645', 'C0205643']
wiki_fully;60;Esophageal cancer (or oesophageal cancer) is malignancy of the esophagus.;1;Esophageal cancer;disease;D004938;['C0014859', 'C0546837']
wiki_fully;60;Esophageal cancer (or oesophageal cancer) is malignancy of the esophagus.;2;oesophageal cancer;disease;D004938;['C0014859', 'C0546837']
wiki_fully;60;Esophageal cancer (or oesophageal cancer) is malignancy of the esophagus.;3;malignancy of the esophagus;disease;Unknown;[]
wiki_fully;62;Itch (Latin: pruritus) is a sensation that causes the desire or reflex to scratch.;1;Itch;disease;D011537;['C0033774']
wiki_fully;62;Itch (Latin: pruritus) is a sensation that causes the desire or reflex to scratch.;2;pruritus;disease;D011537;['C0033774']
wiki_fully;63;In larger towns and cities, such as London, common diseases arising from lack of sanitation included smallpox, measles, malaria, typhus, diphtheria, Scarlet fever, and chickenpox.;1;smallpox;disease;D012899;['C0037354', 'C0001906']
wiki_fully;63;In larger towns and cities, such as London, common diseases arising from lack of sanitation included smallpox, measles, malaria, typhus, diphtheria, Scarlet fever, and chickenpox.;2;measles;disease;D008457;['C0025007']
wiki_fully;63;In larger towns and cities, such as London, common diseases arising from lack of sanitation included smallpox, measles, malaria, typhus, diphtheria, Scarlet fever, and chickenpox.;3;malaria;disease;Unknown;[]
wiki_fully;63;In larger towns and cities, such as London, common diseases arising from lack of sanitation included smallpox, measles, malaria, typhus, diphtheria, Scarlet fever, and chickenpox.;4;typhus;disease;D014438;['C0006181', 'C0041473', 'C0041471']
wiki_fully;63;In larger towns and cities, such as London, common diseases arising from lack of sanitation included smallpox, measles, malaria, typhus, diphtheria, Scarlet fever, and chickenpox.;5;diphtheria;disease;Unknown;[]
wiki_fully;63;In larger towns and cities, such as London, common diseases arising from lack of sanitation included smallpox, measles, malaria, typhus, diphtheria, Scarlet fever, and chickenpox.;6;Scarlet fever;disease;D012541;['C0036285']
wiki_fully;63;In larger towns and cities, such as London, common diseases arising from lack of sanitation included smallpox, measles, malaria, typhus, diphtheria, Scarlet fever, and chickenpox.;7;chickenpox;disease;D002644;['C0008049']
wiki_fully;65;The reason for the speedy spread of the disease was the increase of rats infected by fleas carrying the disease.;1;rats;species;Unknown;[]
wiki_fully;69;She attained a scholarship to the Italia Conti Academy, but after an early eating disorder, she gave up acting at 13 and attended Hampstead School.;1;eating disorder;disease;D001068;['C0003621', 'C4042784', 'C0013473', 'C0854145']
wiki_fully;70;Haemophilia B (factor IX deficiency) occurs in around 1 in about 20,000-34,000 male births.;1;Haemophilia B;disease;D002836;['C0008533']
wiki_fully;70;Haemophilia B (factor IX deficiency) occurs in around 1 in about 20,000-34,000 male births.;2;factor IX deficiency;disease;D002836;['C0008533']
wiki_fully;70;Haemophilia B (factor IX deficiency) occurs in around 1 in about 20,000-34,000 male births.;3;factor IX;gene;Unknown;[]
wiki_fully;71;Haemophilia A (clotting factor VIII deficiency) is the most common form of the disorder, present in about 1 in 5,000-10,000 male births.;1;Haemophilia A;disease;D006467;['C0019069', 'C3494186', 'C3494187']
wiki_fully;71;Haemophilia A (clotting factor VIII deficiency) is the most common form of the disorder, present in about 1 in 5,000-10,000 male births.;2;clotting factor VIII deficiency;disease;D006467;['C0019069', 'C3494186', 'C3494187']
wiki_fully;71;Haemophilia A (clotting factor VIII deficiency) is the most common form of the disorder, present in about 1 in 5,000-10,000 male births.;3;clotting factor VIII;gene;Unknown;[]
wiki_fully;72;A hemophiliac does not bleed more intensely than a person without it, but can bleed for a much longer time.;1;hemophiliac;disease;Unknown;[]
wiki_fully;73;Eisenstein's health was also failing: he was struck by a heart attack during the making of this picture, and soon died of another at the age of 50.;1;heart attack;disease;D009203;['C0027051']
wiki_fully;74;However, in infants, HIV/AIDS patients, and others with weakened immunity, infection can cause serious and occasionally fatal illness (toxoplasmosis).;1;HIV/AIDS;disease;Unknown;[]
wiki_fully;74;However, in infants, HIV/AIDS patients, and others with weakened immunity, infection can cause serious and occasionally fatal illness (toxoplasmosis).;2;HIV;species;Unknown;[]
wiki_fully;74;However, in infants, HIV/AIDS patients, and others with weakened immunity, infection can cause serious and occasionally fatal illness (toxoplasmosis).;3;toxoplasmosis;disease;D014123;['C0040558']
wiki_fully;75;Although mild, flu-like symptoms occasionally occur during the first few weeks following exposure, infection with T. gondii generally produces no symptoms in healthy human adults.;1;flu;disease;D007251;['C0021400']
wiki_fully;75;Although mild, flu-like symptoms occasionally occur during the first few weeks following exposure, infection with T. gondii generally produces no symptoms in healthy human adults.;2;T. gondii;species;Unknown;[]
wiki_fully;76;Infection in humans and other warm-blooded animals can occur Although T. gondii can infect, be transmitted by, and asexually reproduce within humans and virtually all other warm-blooded animals, the parasite can sexually reproduce only within the intestines of members of the cat family (felids).;1;T. gondii;species;Unknown;[]
wiki_fully;76;Infection in humans and other warm-blooded animals can occur Although T. gondii can infect, be transmitted by, and asexually reproduce within humans and virtually all other warm-blooded animals, the parasite can sexually reproduce only within the intestines of members of the cat family (felids).;2;cat;species;Unknown;[]
wiki_fully;77;"In humans, it is one of the most common parasites; serological studies estimate that up to a third of the global population has been exposed to and may be chronically infected with T. gondii, although infection rates differ significantly from country to country.";1;T. gondii;species;Unknown;[]
wiki_fully;78;Based on evidence of osteoarthritis in the lumbar vertebrae, eburnation, and severe wear on the teeth with pulp exposure, it seems likely that LM3 was quite old (around 50 years old) when he died.;1;osteoarthritis;disease;D010003;['C0029408', 'C0086743']
wiki_fully;79;Special dishes are also served on recovery from serious illness for example when someone makes a full recovery from Chicken Pox, it is common to make an offering and make ''mitho lolo'', a sweet griddle-roasted flatbread: the dough is wheat flour mixed with oil (or ghee) and sugar syrup flavored with ground cardamom.;1;Chicken;species;Unknown;[]
wiki_fully;79;Special dishes are also served on recovery from serious illness for example when someone makes a full recovery from Chicken Pox, it is common to make an offering and make ''mitho lolo'', a sweet griddle-roasted flatbread: the dough is wheat flour mixed with oil (or ghee) and sugar syrup flavored with ground cardamom.;2;wheat;species;Unknown;[]
wiki_fully;79;Special dishes are also served on recovery from serious illness for example when someone makes a full recovery from Chicken Pox, it is common to make an offering and make ''mitho lolo'', a sweet griddle-roasted flatbread: the dough is wheat flour mixed with oil (or ghee) and sugar syrup flavored with ground cardamom.;3;sugar;drug;Unknown;[]
wiki_fully;82;From the beginnings of human civilization, it was recognized that polluted water and lack of proper waste disposal spread communicable diseases (theory of miasma).;1;communicable diseases;disease;D003141;['C0009450']
wiki_fully;82;From the beginnings of human civilization, it was recognized that polluted water and lack of proper waste disposal spread communicable diseases (theory of miasma).;2;miasma;disease;Unknown;[]
wiki_fully;83;The ancient Chinese medical doctors developed the practice of variolation following a smallpox epidemic around 1000 BC.;1;smallpox;disease;D012899;['C0037354', 'C0001906']
wiki_fully;87;The development of quarantine in the medieval period helped mitigate the effects of other infectious diseases.;1;infectious diseases;disease;D003141;['C0009450']
wiki_fully;88;In other cases, treating a disease or controlling a pathogen can be vital to preventing its spread to others, such as during an outbreak of infectious disease, or contamination of food or water supplies.;1;infectious disease;disease;D003141;['C0009450']
wiki_fully;89;"Dramatic increases in average life span in the late 19th century and 20th century, is widely credited to public health achievements, such as vaccination programs and control of many infectious diseases including polio, diphtheria, yellow fever and smallpox; effective health and safety policies such as road traffic safety and occupational safety; improved family planning; tobacco control measures; and programs designed to decrease non-communicable diseases by acting on known risk factors such as a person's background, lifestyle and environment.";1;infectious diseases;disease;D003141;['C0009450']
wiki_fully;89;"Dramatic increases in average life span in the late 19th century and 20th century, is widely credited to public health achievements, such as vaccination programs and control of many infectious diseases including polio, diphtheria, yellow fever and smallpox; effective health and safety policies such as road traffic safety and occupational safety; improved family planning; tobacco control measures; and programs designed to decrease non-communicable diseases by acting on known risk factors such as a person's background, lifestyle and environment.";2;polio;disease;D011051;['C0032371', 'C1527258', 'C0751445', 'C0751446', 'C0751447']
wiki_fully;89;"Dramatic increases in average life span in the late 19th century and 20th century, is widely credited to public health achievements, such as vaccination programs and control of many infectious diseases including polio, diphtheria, yellow fever and smallpox; effective health and safety policies such as road traffic safety and occupational safety; improved family planning; tobacco control measures; and programs designed to decrease non-communicable diseases by acting on known risk factors such as a person's background, lifestyle and environment.";3;diphtheria;disease;Unknown;[]
wiki_fully;89;"Dramatic increases in average life span in the late 19th century and 20th century, is widely credited to public health achievements, such as vaccination programs and control of many infectious diseases including polio, diphtheria, yellow fever and smallpox; effective health and safety policies such as road traffic safety and occupational safety; improved family planning; tobacco control measures; and programs designed to decrease non-communicable diseases by acting on known risk factors such as a person's background, lifestyle and environment.";4;yellow fever;disease;D015004;['C0043395']
wiki_fully;89;"Dramatic increases in average life span in the late 19th century and 20th century, is widely credited to public health achievements, such as vaccination programs and control of many infectious diseases including polio, diphtheria, yellow fever and smallpox; effective health and safety policies such as road traffic safety and occupational safety; improved family planning; tobacco control measures; and programs designed to decrease non-communicable diseases by acting on known risk factors such as a person's background, lifestyle and environment.";5;smallpox;disease;D012899;['C0037354', 'C0001906']
wiki_fully;89;"Dramatic increases in average life span in the late 19th century and 20th century, is widely credited to public health achievements, such as vaccination programs and control of many infectious diseases including polio, diphtheria, yellow fever and smallpox; effective health and safety policies such as road traffic safety and occupational safety; improved family planning; tobacco control measures; and programs designed to decrease non-communicable diseases by acting on known risk factors such as a person's background, lifestyle and environment.";6;non-communicable diseases;disease;D004194;['C0012634']
wiki_fully;92;Sudden infant death syndrome (SIDS) also known as cot death or crib death is the sudden death of an infant that is not predicted by medical history and remains unexplained after a thorough forensic autopsy and detailed death scene investigation.;1;Sudden infant death syndrome;disease;D013398;['C0038644']
wiki_fully;92;Sudden infant death syndrome (SIDS) also known as cot death or crib death is the sudden death of an infant that is not predicted by medical history and remains unexplained after a thorough forensic autopsy and detailed death scene investigation.;2;SIDS;disease;D013398;['C0038644']
wiki_fully;92;Sudden infant death syndrome (SIDS) also known as cot death or crib death is the sudden death of an infant that is not predicted by medical history and remains unexplained after a thorough forensic autopsy and detailed death scene investigation.;3;cot death;disease;D013398;['C0038644']
wiki_fully;92;Sudden infant death syndrome (SIDS) also known as cot death or crib death is the sudden death of an infant that is not predicted by medical history and remains unexplained after a thorough forensic autopsy and detailed death scene investigation.;4;crib death;disease;D013398;['C0038644']
wiki_fully;92;Sudden infant death syndrome (SIDS) also known as cot death or crib death is the sudden death of an infant that is not predicted by medical history and remains unexplained after a thorough forensic autopsy and detailed death scene investigation.;5;sudden death;disease;D003645;['C0011071']
wiki_fully;93;In her first year of medical studies at the University of Sydney she suffered dermatitis from surgical soap and was told to abandon her dreams of becoming a medical doctor.;1;dermatitis;disease;D003872;['C0011603']
wiki_fully;94;Toll-like receptors are now counted among the key molecules that alert the immune system to the presence of microbial infections.;1;Toll-like receptors;gene;Unknown;[]
wiki_fully;94;Toll-like receptors are now counted among the key molecules that alert the immune system to the presence of microbial infections.;2;microbial infections;disease;D007239;['C3714514']
wiki_fully;95;In 1996, Toll was found by Jules A. Hoffmann and his colleagues to have an essential role in the fly's immunity to fungal infection, which it achieved by activating the synthesis of antimicrobial peptides.;1;Toll;gene;Unknown;[]
wiki_fully;95;In 1996, Toll was found by Jules A. Hoffmann and his colleagues to have an essential role in the fly's immunity to fungal infection, which it achieved by activating the synthesis of antimicrobial peptides.;2;fungal infection;disease;D009181;['C0026946']
wiki_fully;96;Toll-like receptors (TLRs) are a class of proteins that play a key role in the innate immune system as well as the digestive system.;1;Toll-like receptors;gene;Unknown;[]
wiki_fully;96;Toll-like receptors (TLRs) are a class of proteins that play a key role in the innate immune system as well as the digestive system.;2;TLRs;gene;Unknown;[]
wiki_fully;101;In 1914 Adams's father died of a stroke.;1;stroke;disease;D020521;['C0038454', 'C0751956']
