origin;sent_id;sentence;entity_count;BERN_extracted_ngram;BERN_entity_type;msh_id;MESHtoCUIs;BERN_CUI_semtypes;BERN_CUI_to_CHV_ID;BERN_CHV_terms;BERN_CHV_freq_scores;exact_match_CUIs;exact_match_CUI_semtypes;exact_match_CUI_to_CHV_ID;exact_match_CHV_terms;exact_match_CHV_freq_scores;qumls_CUIs;qumls_extracted_ngrams;qumls_matched_terms;qumls_CUI_semtypes;qumls_CUI_to_CHV_ID;qumls_CHV_terms;qumls_CHV_freq_scores
wiki_fully;45;Anaphylactic shock is associated with systemic vasodilation that causes low blood pressure which is by definition 30% lower than the person's baseline or below standard values.;1;Anaphylactic shock;disease;D000707;['C0002792'];[{'T047': 'Disease or Syndrome'}];[[]];[[]];[[]];['C4316895', 'C0002792'];[{'T046': 'Pathologic Function'}, {'T047': 'Disease or Syndrome'}];[['0000001091'], []];[['allergic shock'], []];[[-1.0], []];['C0002792', 'C4316895'];['Anaphylactic shock', 'Anaphylactic shock'];['Anaphylactic shock', 'Anaphylactic shock'];[{'T047': 'Disease or Syndrome'}, {'T046': 'Pathologic Function'}];[[], ['0000001091']];[[], ['allergic shock']];[[], [-1.0]]
wiki_fully;51;Those with underlying coronary disease are at greater risk of cardiac effects from anaphylaxis.;1;coronary disease;disease;D003327;['C0010068'];[{'T047': 'Disease or Syndrome'}];[['0000003369']];[['coronary heart disease']];[[0.846367081]];['C0010068', 'C1956346'];[{'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}];[['0000003369'], []];[['coronary heart disease'], []];[[0.846367081], []];['C0010068', 'C0010068', 'C1956346'];['coronary disease', 'coronary disease', 'coronary disease'];['coronary disease', 'coronary diseases', 'Coronary disease'];[{'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}];[['0000003369'], ['0000003369'], []];[['coronary heart disease'], ['coronary heart disease'], []];[[0.846367081], [0.846367081], []]
wiki_fully;53;On a mechanistic level, anaphylaxis is caused by the release of mediators from certain types of white blood cells triggered either by immunologic or non-immunologic mechanisms.;1;anaphylaxis;disease;D000707;['C0002792'];[{'T047': 'Disease or Syndrome'}];[[]];[[]];[[]];['C0002792', 'C4316895'];[{'T047': 'Disease or Syndrome'}, {'T046': 'Pathologic Function'}];[[], ['0000001091']];[[], ['allergic shock']];[[], [-1.0]];['C0002792', 'C4316895', 'C0002792', 'C4316895'];['anaphylaxis', 'anaphylaxis', 'anaphylaxis', 'anaphylaxis'];['anaphylaxis', 'anaphylaxis', 'Anaphylaxis', 'Anaphylaxis'];[{'T047': 'Disease or Syndrome'}, {'T046': 'Pathologic Function'}, {'T047': 'Disease or Syndrome'}, {'T046': 'Pathologic Function'}];[[], ['0000001091'], [], ['0000001091']];[[], ['allergic shock'], [], ['allergic shock']];[[], [-1.0], [], [-1.0]]
wiki_fully;57;Thomas died of food poisoning while working at Penny's Pleasure Inn in Detroit, Michigan.;1;food poisoning;disease;D005517;['C0016479', 'C0679360'];[{'T037': 'Injury or Poisoning'}, {'T037': 'Injury or Poisoning'}];[['0000005173'], ['0000043057']];[['food poisoning'], ['food borne disease']];[[0.901352514], [-1.0]];['C0016479'];[{'T037': 'Injury or Poisoning'}];[['0000005173']];[['food poisoning']];[[0.901352514]];['C0016479', 'C0597426'];['food poisoning', 'food poisoning'];['food poisoning', 'seafood poisoning'];[{'T037': 'Injury or Poisoning'}, {'T047': 'Disease or Syndrome'}];[['0000005173'], ['0000041733']];[['food poisoning'], ['seafood poisoning']];[[0.901352514], [-1.0]]
wiki_fully;58;Squamous cell cancer arises from the cells that line the upper part of the esophagus.;1;Squamous cell cancer;disease;D002294;['C0007137'];[{'T191': 'Neoplastic Process'}];[['0000002437']];[['squamous cell carcinoma']];[[0.670836856]];['C0007137', 'C0751688'];[{'T191': 'Neoplastic Process'}, {'T191': 'Neoplastic Process'}];[['0000002437'], ['0000048477']];[['squamous cell carcinoma'], ['squamous cell cancer']];[[0.670836856], [0.708931433]];['C0751688'];['Squamous cell cancer'];['Squamous cell cancer'];[{'T191': 'Neoplastic Process'}];[['0000048477']];[['squamous cell cancer']];[[0.708931433]]
wiki_fully;59;Adenocarcinoma arises from glandular cells that are present at the junction of the esophagus and stomach.;1;Adenocarcinoma;disease;D000230;['C0001418', 'C0205641', 'C0205644', 'C0205642', 'C0205645', 'C0205643'];[{'T191': 'Neoplastic Process'}, {'T191': 'Neoplastic Process'}, {'T191': 'Neoplastic Process'}, {'T191': 'Neoplastic Process'}, {'T191': 'Neoplastic Process'}, {'T191': 'Neoplastic Process'}];[['0000000709'], ['0000020662'], [], ['0000020663'], ['0000020665'], ['0000020664']];[['adenocarcinoma'], ['basal cell adenocarcinoma'], [], ['hurthle cell carcinoma'], ['tubular carcinoma'], ['cribriform carcinoma']];[[0.410417547], [-1.0], [], [0.520701562], [-1.0], [-1.0]];['C0001418'];[{'T191': 'Neoplastic Process'}];[['0000000709']];[['adenocarcinoma']];[[0.410417547]];['C0001418'];['Adenocarcinoma'];['Adenocarcinoma'];[{'T191': 'Neoplastic Process'}];[['0000000709']];[['adenocarcinoma']];[[0.410417547]]
wiki_fully;69;She attained a scholarship to the Italia Conti Academy, but after an early eating disorder, she gave up acting at 13 and attended Hampstead School.;1;eating disorder;disease;D001068;['C0003621', 'C4042784', 'C0013473', 'C0854145'];[{'T048': 'Mental or Behavioral Dysfunction'}, {'T048': 'Mental or Behavioral Dysfunction'}, {'T048': 'Mental or Behavioral Dysfunction'}, {'T047': 'Disease or Syndrome'}];[[], [], ['0000004237'], ['0000050230']];[[], [], ['eating disorder'], ['feeding disorder']];[[], [], [0.788711481], [-1.0]];['C0013473'];[{'T048': 'Mental or Behavioral Dysfunction'}];[['0000004237']];[['eating disorder']];[[0.788711481]];['C0013473'];['eating disorder'];['eating disorder'];[{'T048': 'Mental or Behavioral Dysfunction'}];[['0000004237']];[['eating disorder']];[[0.788711481]]
wiki_fully;72;A hemophiliac does not bleed more intensely than a person without it, but can bleed for a much longer time.;1;hemophiliac;disease;Unknown;[];[];[];[];[];['C0259931'];[{'T101': 'Patient or Disabled Group'}];[];[];[];['C0684275'];['hemophiliac'];['hemophilia'];[{'T047': 'Disease or Syndrome'}];[['0000043976']];[['hemophilia']];[[0.336636833]]
wiki_fully;73;Eisenstein's health was also failing: he was struck by a heart attack during the making of this picture, and soon died of another at the age of 50.;1;heart attack;disease;D009203;['C0027051'];[{'T047': 'Disease or Syndrome'}];[['0000008423']];[['heart attack']];[[0.927278218]];['C0027051'];[{'T047': 'Disease or Syndrome'}];[['0000008423']];[['heart attack']];[[0.927278218]];['C0027051'];['heart attack'];['heart attack'];[{'T047': 'Disease or Syndrome'}];[['0000008423']];[['heart attack']];[[0.927278218]]
wiki_fully;78;Based on evidence of osteoarthritis in the lumbar vertebrae, eburnation, and severe wear on the teeth with pulp exposure, it seems likely that LM3 was quite old (around 50 years old) when he died.;1;osteoarthritis;disease;D010003;['C0029408', 'C0086743'];[{'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}];[['0000009068'], ['0000015996']];[['osteoarthritis'], ['kaschin-beck disease']];[[0.317244935], [-1.0]];['C0029408'];[{'T047': 'Disease or Syndrome'}];[['0000009068']];[['osteoarthritis']];[[0.317244935]];['C0029408'];['osteoarthritis'];['osteoarthritis'];[{'T047': 'Disease or Syndrome'}];[['0000009068']];[['osteoarthritis']];[[0.317244935]]
wiki_fully;83;The ancient Chinese medical doctors developed the practice of variolation following a smallpox epidemic around 1000 BC.;1;smallpox;disease;D012899;['C0037354', 'C0001906'];[{'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}];[['0000011422'], ['0000000854']];[['smallpox disease'], ['alastrim']];[[-1.0], [-1.0]];['C0037354', 'C0037356', 'C0037355'];[{'T047': 'Disease or Syndrome'}, {'T005': 'Virus'}, {'T121': 'Pharmacologic Substance', 'T129': 'Immunologic Factor'}];[['0000011422']];[['smallpox disease']];[[-1.0]];['C0037354', 'C0037355'];['smallpox', 'smallpox'];['smallpox', 'smallpox'];[{'T047': 'Disease or Syndrome'}, {'T129': 'Immunologic Factor', 'T121': 'Pharmacologic Substance'}];[['0000011422']];[['smallpox disease']];[[-1.0]]
wiki_fully;87;The development of quarantine in the medieval period helped mitigate the effects of other infectious diseases.;1;infectious diseases;disease;D003141;['C0009450'];[{'T047': 'Disease or Syndrome'}];[['0000003202']];[['infectious disease']];[[0.8807686]];['C0009450'];[{'T047': 'Disease or Syndrome'}];[['0000003202']];[['infectious disease']];[[0.8807686]];['C0009450'];['infectious diseases'];['infectious diseases'];[{'T047': 'Disease or Syndrome'}];[['0000003202']];[['infectious disease']];[[0.8807686]]
wiki_fully;88;In other cases, treating a disease or controlling a pathogen can be vital to preventing its spread to others, such as during an outbreak of infectious disease, or contamination of food or water supplies.;1;infectious disease;disease;D003141;['C0009450'];[{'T047': 'Disease or Syndrome'}];[['0000003202']];[['infectious disease']];[[0.8807686]];['C0009450', 'C3714515'];[{'T047': 'Disease or Syndrome'}, {'T169': 'Functional Concept'}];[['0000003202']];[['infectious disease']];[[0.8807686]];['C0009450'];['infectious disease'];['infectious disease'];[{'T047': 'Disease or Syndrome'}];[['0000003202']];[['infectious disease']];[[0.8807686]]
wiki_fully;93;In her first year of medical studies at the University of Sydney she suffered dermatitis from surgical soap and was told to abandon her dreams of becoming a medical doctor.;1;dermatitis;disease;D003872;['C0011603'];[{'T047': 'Disease or Syndrome'}];[['0000003790']];[['skin inflammation']];[[0.540019521]];['C0011603'];[{'T047': 'Disease or Syndrome'}];[['0000003790']];[['skin inflammation']];[[0.540019521]];['C0011603'];['dermatitis'];['dermatitis'];[{'T047': 'Disease or Syndrome'}];[['0000003790']];[['skin inflammation']];[[0.540019521]]
wiki_fully;101;In 1914 Adams's father died of a stroke.;1;stroke;disease;D020521;['C0038454', 'C0751956'];[{'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}];[['0000011781'], ['0000048516']];[['stroke'], ['acute stroke']];[[0.799621631], [0.612045288]];['C0038454'];[{'T047': 'Disease or Syndrome'}];[['0000011781']];[['stroke']];[[0.799621631]];['C0038454'];['stroke'];['stroke'];[{'T047': 'Disease or Syndrome'}];[['0000011781']];[['stroke']];[[0.799621631]]
wiki_fully;103;The absolute number of tuberculosis cases has been decreasing since 2006, and new cases have decreased since 2002.;1;tuberculosis;disease;D014376;['C0041296'];[{'T047': 'Disease or Syndrome'}];[['0000012630', '0000035326']];[['tuberculosis (TB)', 'tuberculous']];[[-1.0, 0.118189908]];['C0041296'];[{'T047': 'Disease or Syndrome'}];[['0000012630', '0000035326']];[['tuberculosis (TB)', 'tuberculous']];[[-1.0, 0.118189908]];['C0041296'];['tuberculosis'];['tuberculosis'];[{'T047': 'Disease or Syndrome'}];[['0000012630', '0000035326']];[['tuberculosis (TB)', 'tuberculous']];[[-1.0, 0.118189908]]
wiki_fully;104;Tuberculosis typically attacks the lungs, but can also affect other parts of the body.;1;Tuberculosis;disease;D014376;['C0041296'];[{'T047': 'Disease or Syndrome'}];[['0000012630', '0000035326']];[['tuberculosis (TB)', 'tuberculous']];[[-1.0, 0.118189908]];['C0041296'];[{'T047': 'Disease or Syndrome'}];[['0000012630', '0000035326']];[['tuberculosis (TB)', 'tuberculous']];[[-1.0, 0.118189908]];['C0041296'];['Tuberculosis'];['Tuberculosis'];[{'T047': 'Disease or Syndrome'}];[['0000012630', '0000035326']];[['tuberculosis (TB)', 'tuberculous']];[[-1.0, 0.118189908]]
wiki_fully;107;Totally drug-resistant TB is resistant to all currently used drugs.;1;TB;disease;D014376;['C0041296'];[{'T047': 'Disease or Syndrome'}];[['0000012630', '0000035326']];[['tuberculosis (TB)', 'tuberculous']];[[-1.0, 0.118189908]];['C0077025', 'C0041296', 'C1704474', 'C0332289', 'C0152378'];[{'T109': 'Organic Chemical', 'T121': 'Pharmacologic Substance'}, {'T047': 'Disease or Syndrome'}, {'T081': 'Quantitative Concept'}, {'T169': 'Functional Concept'}, {'T023': 'Body Part, Organ, or Organ Component'}];[['0000012630', '0000035326']];[['tuberculosis (TB)', 'tuberculous']];[[-1.0, 0.118189908]];[];[];[];[];[];[];[]
wiki_fully;110;Sunderland, a main trading port at the time, was the first British town to be struck with the 'Indian cholera' epidemic.;1;cholera;disease;D002771;['C0008354'];[{'T047': 'Disease or Syndrome'}];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359'];[{'T047': 'Disease or Syndrome'}, {'T121': 'Pharmacologic Substance', 'T129': 'Immunologic Factor'}];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359', 'C0008354'];['cholera', 'cholera', 'cholera'];['cholera', 'cholera', 'choleras'];[{'T047': 'Disease or Syndrome'}, {'T129': 'Immunologic Factor', 'T121': 'Pharmacologic Substance'}, {'T047': 'Disease or Syndrome'}];[['0000002874'], ['0000002874']];[['cholera'], ['cholera']];[[0.480259653], [0.480259653]]
wiki_fully;111;"Local government was divided between the three parishes (Holy Trinity Church, Sunderland, St. Michael's, Bishopwearmouth, and St. Peter's, Monkwearmouth) and when cholera broke out in 1831, the ""select vestrymen"", as the church councilmen were called, were unable to cope with the epidemic.";1;cholera;disease;D002771;['C0008354'];[{'T047': 'Disease or Syndrome'}];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359'];[{'T047': 'Disease or Syndrome'}, {'T121': 'Pharmacologic Substance', 'T129': 'Immunologic Factor'}];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359', 'C0008354'];['cholera', 'cholera', 'cholera'];['cholera', 'cholera', 'choleras'];[{'T047': 'Disease or Syndrome'}, {'T129': 'Immunologic Factor', 'T121': 'Pharmacologic Substance'}, {'T047': 'Disease or Syndrome'}];[['0000002874'], ['0000002874']];[['cholera'], ['cholera']];[[0.480259653], [0.480259653]]
wiki_fully;112;Once at Richmond, Madison began drafting the Report, though he was delayed by a weeklong battle with dysentery.;1;dysentery;disease;D004403;['C0013369'];[{'T047': 'Disease or Syndrome'}];[['0000004203', '0000017297']];[['dysentery', 'infectious diarrhea']];[[0.379107132, 0.376283653]];['C0013369'];[{'T047': 'Disease or Syndrome'}];[['0000004203', '0000017297']];[['dysentery', 'infectious diarrhea']];[[0.379107132, 0.376283653]];['C0013369'];['dysentery'];['dysentery'];[{'T047': 'Disease or Syndrome'}];[['0000004203', '0000017297']];[['dysentery', 'infectious diarrhea']];[[0.379107132, 0.376283653]]
wiki_fully;114;Disorders causing dwarfism are often classified by proportionality.;1;dwarfism;disease;D004392;['C0013336'];[{'T019': 'Congenital Abnormality'}];[['0000004192', '0000037167']];[['short stature', 'constitutional short stature']];[[0.596827102, -1.0]];['C0013336'];[{'T019': 'Congenital Abnormality'}];[['0000004192', '0000037167']];[['short stature', 'constitutional short stature']];[[0.596827102, -1.0]];[];[];[];[];[];[];[]
wiki_fully;128;"By 1915, gangrene had set in and her entire right leg was amputated; she was required to use a wheelchair for several months.";1;gangrene;disease;D005734;['C0017086'];[{'T047': 'Disease or Syndrome'}];[['0000005347']];[['gangrene']];[[0.330844899]];['C0017086'];[{'T047': 'Disease or Syndrome'}];[['0000005347']];[['gangrene']];[[0.330844899]];['C0017086'];['gangrene'];['gangrene'];[{'T047': 'Disease or Syndrome'}];[['0000005347']];[['gangrene']];[[0.330844899]]
wiki_fully;130;After graduation, he contracted tuberculosis, causing him to move to the Crimean Peninsula on the northern coast of the Black Sea in 1855.;1;tuberculosis;disease;D014376;['C0041296'];[{'T047': 'Disease or Syndrome'}];[['0000012630', '0000035326']];[['tuberculosis (TB)', 'tuberculous']];[[-1.0, 0.118189908]];['C0041296'];[{'T047': 'Disease or Syndrome'}];[['0000012630', '0000035326']];[['tuberculosis (TB)', 'tuberculous']];[[-1.0, 0.118189908]];['C0041296'];['tuberculosis'];['tuberculosis'];[{'T047': 'Disease or Syndrome'}];[['0000012630', '0000035326']];[['tuberculosis (TB)', 'tuberculous']];[[-1.0, 0.118189908]]
wiki_fully;131;He died of a heart attack in 1968 and was honored with a memorial service at Westminster Abbey, London.;1;heart attack;disease;D009203;['C0027051'];[{'T047': 'Disease or Syndrome'}];[['0000008423']];[['heart attack']];[[0.927278218]];['C0027051'];[{'T047': 'Disease or Syndrome'}];[['0000008423']];[['heart attack']];[[0.927278218]];['C0027051'];['heart attack'];['heart attack'];[{'T047': 'Disease or Syndrome'}];[['0000008423']];[['heart attack']];[[0.927278218]]
wiki_fully;140;The term epidemiology is now widely applied to cover the description and causation of not only epidemic disease, but of disease in general, and even many non-disease health-related conditions, such as high blood pressure and obesity.;1;obesity;disease;D009765;['C0028754'];[{'T047': 'Disease or Syndrome'}];[['0000008861']];[['obesity']];[[0.712399558]];['C0028754', 'C1963185'];[{'T047': 'Disease or Syndrome'}, {'T033': 'Finding'}];[['0000008861'], []];[['obesity'], []];[[0.712399558], []];['C0028754'];['obesity'];['obesity'];[{'T047': 'Disease or Syndrome'}];[['0000008861']];[['obesity']];[[0.712399558]]
wiki_fully;145;Dr. John Snow is famous for his investigations into the causes of the 19th century cholera epidemics, and is also known as the father of (modern) epidemiology.;1;cholera;disease;D002771;['C0008354'];[{'T047': 'Disease or Syndrome'}];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359'];[{'T047': 'Disease or Syndrome'}, {'T121': 'Pharmacologic Substance', 'T129': 'Immunologic Factor'}];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359', 'C0008354'];['cholera', 'cholera', 'cholera'];['cholera', 'cholera', 'choleras'];[{'T047': 'Disease or Syndrome'}, {'T129': 'Immunologic Factor', 'T121': 'Pharmacologic Substance'}, {'T047': 'Disease or Syndrome'}];[['0000002874'], ['0000002874']];[['cholera'], ['cholera']];[[0.480259653], [0.480259653]]
wiki_fully;148;Manasa (Bengali: মনসা, Manasha) also Mansa Devi is a Hindu folk goddess of snakes, worshipped mainly in Bengal and other parts of North and northeastern India, chiefly for the prevention and cure of snakebite and also for fertility and prosperity.;1;snakebite;disease;D012909;['C0037379'];[{'T037': 'Injury or Poisoning'}];[['0000011436']];[['snake bite']];[[0.520637622]];['C0037379'];[{'T037': 'Injury or Poisoning'}];[['0000011436']];[['snake bite']];[[0.520637622]];[];[];[];[];[];[];[]
wiki_fully;151;Finally, doctors discovered that Vergeer had an Vascular myelopathy around her spinal cord.;1;Vascular myelopathy;disease;Unknown;[];[];[];[];[];['C0154685'];[{'T047': 'Disease or Syndrome'}];[[]];[[]];[[]];['C0154685'];['Vascular myelopathy'];['Vascular myelopathy'];[{'T047': 'Disease or Syndrome'}];[[]];[[]];[[]]
wiki_fully;152;At the age of ten, he was hospitalized with a gastrointestinal condition and had to remain at the hospital for a prolonged time.;1;gastrointestinal condition;disease;D005767;['C0017178', 'C0559031', 'C1565321'];[{'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}];[['0000005384', '0000057374'], [], []];[['gastrointestinal disorders', 'disease of gastrointestinal tract'], [], []];[[0.499252404, -1.0], [], []];[];[];[];[];[];['C2707256', 'C0809794', 'C0012634'];['gastrointestinal', 'gastrointestinal', 'condition'];['Gastrointestinal', 'gastrointestine', 'condition'];[{'T201': 'Clinical Attribute'}, {'T029': 'Body Location or Region'}, {'T047': 'Disease or Syndrome'}];[['0000004014']];[['disease']];[[1.0]]
wiki_fully;155;In 1904, at the age of 24, Keller graduated from Radcliffe, becoming the first deaf blind person to earn a Bachelor of Arts degree.;1;deaf blind;disease;D054062;['C1955603', 'C1955859', 'C1955858'];[{'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}];[[], [], []];[[], [], []];[[], [], []];['C0870387'];[{'T047': 'Disease or Syndrome'}];[['0000051093']];[['deaf blind']];[[-1.0]];['C0870387'];['deaf blind'];['deaf blind'];[{'T047': 'Disease or Syndrome'}];[['0000051093']];[['deaf blind']];[[-1.0]]
