origin;sent_id;sentence;source_term;CHV_selection;CHV_substitution;sim_scores
wiki_fully;69;She attained a scholarship to the Italia Conti Academy, but after an early eating disorder, she gave up acting at 13 and attended Hampstead School.;eating disorder;['eating disorder', 'feeding disorder'];eating disorder;100.0
wiki_fully;72;A hemophiliac does not bleed more intensely than a person without it, but can bleed for a much longer time.;hemophiliac;['hemophilia'];hemophilia;95.0
wiki_fully;73;Eisenstein's health was also failing: he was struck by a heart attack during the making of this picture, and soon died of another at the age of 50.;heart attack;['heart attack'];heart attack;100.0
wiki_fully;78;Based on evidence of osteoarthritis in the lumbar vertebrae, eburnation, and severe wear on the teeth with pulp exposure, it seems likely that LM3 was quite old (around 50 years old) when he died.;osteoarthritis;['osteoarthritis', 'kaschin-beck disease'];osteoarthritis;100.0
wiki_fully;83;The ancient Chinese medical doctors developed the practice of variolation following a smallpox epidemic around 1000 BC.;smallpox;['smallpox disease', 'alastrim'];smallpox disease;70.0
wiki_fully;87;The development of quarantine in the medieval period helped mitigate the effects of other infectious diseases.;infectious diseases;['infectious disease'];infectious disease;100.0
wiki_fully;88;In other cases, treating a disease or controlling a pathogen can be vital to preventing its spread to others, such as during an outbreak of infectious disease, or contamination of food or water supplies.;infectious disease;['infectious disease'];infectious disease;100.0
wiki_fully;93;In her first year of medical studies at the University of Sydney she suffered dermatitis from surgical soap and was told to abandon her dreams of becoming a medical doctor.;dermatitis;['skin inflammation'];skin inflammation;11.0
wiki_fully;101;In 1914 Adams's father died of a stroke.;stroke;['stroke', 'acute stroke'];stroke;100.0
wiki_fully;103;The absolute number of tuberculosis cases has been decreasing since 2006, and new cases have decreased since 2002.;tuberculosis;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);88.0
wiki_fully;104;Tuberculosis typically attacks the lungs, but can also affect other parts of the body.;Tuberculosis;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);88.0
wiki_fully;107;Totally drug-resistant TB is resistant to all currently used drugs.;TB;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);25.0
wiki_fully;110;Sunderland, a main trading port at the time, was the first British town to be struck with the 'Indian cholera' epidemic.;cholera;['cholera'];cholera;100.0
wiki_fully;111;"Local government was divided between the three parishes (Holy Trinity Church, Sunderland, St. Michael's, Bishopwearmouth, and St. Peter's, Monkwearmouth) and when cholera broke out in 1831, the ""select vestrymen"", as the church councilmen were called, were unable to cope with the epidemic.";cholera;['cholera'];cholera;100.0
wiki_fully;112;Once at Richmond, Madison began drafting the Report, though he was delayed by a weeklong battle with dysentery.;dysentery;['dysentery', 'infectious diarrhea'];dysentery;100.0
wiki_fully;114;Disorders causing dwarfism are often classified by proportionality.;dwarfism;['short stature', 'constitutional short stature'];short stature;20.0
wiki_fully;128;"By 1915, gangrene had set in and her entire right leg was amputated; she was required to use a wheelchair for several months.";gangrene;['gangrene'];gangrene;100.0
wiki_fully;130;After graduation, he contracted tuberculosis, causing him to move to the Crimean Peninsula on the northern coast of the Black Sea in 1855.;tuberculosis;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);88.0
wiki_fully;131;He died of a heart attack in 1968 and was honored with a memorial service at Westminster Abbey, London.;heart attack;['heart attack'];heart attack;100.0
wiki_fully;140;The term epidemiology is now widely applied to cover the description and causation of not only epidemic disease, but of disease in general, and even many non-disease health-related conditions, such as high blood pressure and obesity.;obesity;['obesity'];obesity;100.0
wiki_fully;145;Dr. John Snow is famous for his investigations into the causes of the 19th century cholera epidemics, and is also known as the father of (modern) epidemiology.;cholera;['cholera'];cholera;100.0
wiki_fully;148;Manasa (Bengali: মনসা, Manasha) also Mansa Devi is a Hindu folk goddess of snakes, worshipped mainly in Bengal and other parts of North and northeastern India, chiefly for the prevention and cure of snakebite and also for fertility and prosperity.;snakebite;['snake bite'];snake bite;56.0
wiki_fully;151;Finally, doctors discovered that Vergeer had an Vascular myelopathy around her spinal cord.;Vascular myelopathy;[];;
wiki_fully;152;At the age of ten, he was hospitalized with a gastrointestinal condition and had to remain at the hospital for a prolonged time.;gastrointestinal condition;['disease', 'gastrointestinal disorders', 'disease of gastrointestinal tract'];disease;37.0
wiki_fully;155;In 1904, at the age of 24, Keller graduated from Radcliffe, becoming the first deaf blind person to earn a Bachelor of Arts degree.;deaf blind;['deaf blind'];deaf blind;100.0
wiki_fully;162;As a result, the affected area of the brain can not function normally, which might result in an inability to move one or more limbs on one side of the body, failure to understand or formulate speech, or a vision impairment of one side of the visual field.;vision impairment of one side of the visual field;['blindness', 'cannot see properly', 'vision problem', 'visual defect', 'vision disorders', 'metamorphopsia', 'hemeralopia', 'macropsia', 'micropsia'];blindness;20.0
wiki_fully;163;In fact, the cause of 50% of preterm births is never determined.;preterm;['premature birth'];premature birth;48.0
wiki_fully;164;On April 30, 1983 Muddy Waters died in his sleep from heart failure, at his home in Westmont, Illinois.;heart failure;['heart failure', 'cardiac insufficiency', 'congestive heart failure (CHF)'];heart failure;100.0
wiki_fully;167;Even as clinical psychology was growing, working with issues of serious mental distress remained the domain of psychiatrists and neurologists.;mental distress;[];;
wiki_fully;169;Neurologist Oliver Sacks states that chimpanzees and other animals show no similar appreciation of rhythm yet posits that human affinity for rhythm is fundamental, so that a person's sense of rhythm can not be lost (e.g. by stroke).;stroke;['stroke', 'acute stroke'];stroke;100.0
wiki_fully;170;Fat (or lack of it) is a political issue, some of whom see their overweight condition as a form of self-acceptance.;overweight;['clinical overweight'];clinical overweight;74.0
wiki_fully;174;In February 1712, his wife contracted measles and died on February 12.;measles;['Measles disease'];Measles disease;59.0
wiki_fully;179;People with circadian rhythm sleep disorders are unable to sleep and wake at the times required for normal work, school, and social needs.;circadian rhythm sleep disorders;['circadian rhythm sleep disorder', 'delayed sleep phase syndrome', 'shift work sleep disorder'];circadian rhythm sleep disorder;100.0
wiki_fully;181;In January 1925 doctors realized that a potentially deadly diphtheria epidemic was poised to sweep through Nome's young people.;diphtheria;['diphtheria'];diphtheria;100.0
wiki_fully;182;Sullivan, still believing his ailment to be yet another complication from a long-standing battle with ulcers, died five weeks later, on October 13, 1974, at New York's Lenox Hill Hospital.;ulcers;['ulcer'];ulcer;100.0
wiki_fully;184;Type 2 diabetes is the most common type.;Type 2 diabetes;['type 2 diabetes mellitus'];type 2 diabetes mellitus;76.0
wiki_fully;203;"After a heart attack in 2001, Burnside's doctor advised him to stop drinking; Burnside did, but he reported that change left him unable to play.";heart attack;['heart attack'];heart attack;100.0
wiki_fully;206;Immune responses can also be produced by vaccines, which confer an artificially acquired immunity to the specific viral infection.;viral infection;['viral infection'];viral infection;100.0
wiki_fully;207;Viral infections in animals provoke an immune response that usually eliminates the infecting virus.;Viral infections;['viral infection'];viral infection;100.0
wiki_fully;208;Not all virus infections produce a protective immune response in this way.;virus infections;['viral infection'];viral infection;87.0
wiki_fully;214;Examples of the second type are the Hepadnaviridae, which includes Hepatitis B virus.;Hepatitis B virus;['hepatitis B', 'viral hepatitis b', 'hepatitis d', 'hepatitis a', 'infectious hepatitis', 'hepatitis viral', 'hepatitis C', 'hepatitis non-a non-b', 'hepatitis e', 'hepatitis g', 'hepatitis h'];hepatitis B;74.0
wiki_fully;223;Although the benefits of preventing suffering and death from serious infectious diseases greatly outweigh the risks of rare adverse effects following immunization, disputes have arisen over the morality, ethics, effectiveness, and safety of vaccination.;infectious diseases;['infectious disease'];infectious disease;100.0
wiki_fully;228;This included a large medical bill for treatment of their gonorrhea and $ 21,000 for the accidental destruction of his uninsured car, which they borrowed.;gonorrhea;['gonorrhea', 'gonococcal'];gonorrhea;100.0
wiki_fully;229;During this period, however, Kiedis and Slovak had both developed serious drug addictions, often abandoning the band, each other, and their significant others for days on end.;drug addictions;['substance addiction', 'drug abuse', 'prescription drug abuse', 'chemical dependency', 'recreational drug use', 'drug and alcohol abuse', 'alcohol or drug abuse', 'substance use disorder', 'habituation'];substance addiction;62.0
wiki_fully;234;Kevin is diagnosed with Morquio syndrome.;Morquio syndrome;['morquio syndrome', 'spondyloepiphyseal dysplasia', 'melnick-needles syndrome', 'schwartz-jampel syndrome', 'dyschondroplasia', 'mps iv'];morquio syndrome;100.0
wiki_fully;235;Until he was partially disabled by a cerebral infarction, he was Director of the National Institute for Medical Research at Mill Hill.;cerebral infarction;['cerebral infarction', 'subcortical infarction'];cerebral infarction;100.0
wiki_fully;238;For skiers with visual impairments, guides are used to assist the skier down the course.;visual impairments;['blindness', 'cannot see properly', 'vision problem', 'visual defect', 'vision disorders', 'metamorphopsia', 'hemeralopia', 'macropsia', 'micropsia', 'dim vision'];blindness;11.0
wiki_fully;239;By the 1980s, classification existed for skiers with cerebral palsy.;cerebral palsy;['cerebral palsy'];cerebral palsy;100.0
wiki_fully;245;McCubbin died in 1917 from a heart attack.;heart attack;['heart attack'];heart attack;100.0
wiki_fully;249;Beyond the optic chiasm, with crossed and uncrossed fibers, the optic nerves become optic tracts.;optic chiasm;[];;
wiki_fully;250;She died of measles in 1712, followed by her husband a week later.;measles;['Measles disease'];Measles disease;59.0
wiki_fully;251;In early April 1711, her father-in-law Le Grand Dauphin caught smallpox and died on 14 April at the Château de Meudon.;smallpox;['smallpox disease', 'alastrim'];smallpox disease;70.0
wiki_fully;253;It was at Marly that the Dauphin himself died six days later, having caught the measles from his wife.;measles;['Measles disease'];Measles disease;59.0
wiki_fully;258;This was despite his worsening colitis,.;colitis;['colitis', 'colon (non-specific) inflammation'];colon (non-specific) inflammation;33.0
wiki_fully;260;"McCarty was the youngest and longest surviving member of the research team responsible for this feat (known as the Avery-MacLeod-McCarty experiment), which also included Oswald T. Avery and Colin MacLeod; he died on January 2, 2005, from congestive heart failure.";congestive heart failure;['congestive heart failure (CHF)', 'heart failure', 'right heart failure', 'left ventricular failure', 'cardiac insufficiency'];congestive heart failure (CHF);91.0
wiki_fully;262;Maclyn McCarty, who devoted his life as a physician-scientist to studying infectious disease organisms, was best known for his part in the monumental discovery that DNA, rather than protein, constituted the chemical nature of a gene.;infectious disease;['infectious disease'];infectious disease;100.0
wiki_fully;263;In 1980, Shines' music was brought to a standstill when he suffered a stroke.;stroke;['stroke', 'acute stroke'];stroke;100.0
wiki_fully;264;Élisabeth Charlotte died of a stroke, on 23 December 1744, one week after her daughter-in-law and grandchild, at the age of sixty-eight.;stroke;['stroke', 'acute stroke'];stroke;100.0
wiki_fully;265;Three of them died within a week in May 1711 due to a smallpox outbreak at the Château de Lunéville, the country seat of the Duke's of Lorraine.;smallpox;['smallpox disease', 'alastrim'];smallpox disease;70.0
wiki_fully;269;In 1965, Jackson died of heart failure in her sleep, at her home in North Bennington, at the age of 48.;heart failure;['heart failure', 'cardiac insufficiency', 'congestive heart failure (CHF)'];heart failure;100.0
wiki_fully;270;He died at age 82 in Washington, Sussex, of heart failure.;heart failure;['heart failure', 'cardiac insufficiency', 'congestive heart failure (CHF)'];heart failure;100.0
wiki_fully;271;Bruno Walter died of a heart attack in his Beverly Hills home in 1962.;heart attack;['heart attack'];heart attack;100.0
wiki_fully;275;A significant event in the history of epidemiology and public health was Dr. John Snow's study of an 1854 outbreak of cholera in Soho.;cholera;['cholera'];cholera;100.0
wiki_fully;276;Science writer Steven Johnson describes the 2006 appearance of places related to the Broad Street Pump cholera outbreak: A replica of the pump, with a memorial plaque and without a handle (to signify John Snow's action to halt the outbreak) was erected near the location of the original pump.;cholera;['cholera'];cholera;100.0
wiki_fully;283;Misora died on June 24, 1989 from pneumonia at the age of 52, at a hospital in Tokyo.;pneumonia;['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;100.0
wiki_fully;284;Although lying with serious pneumonia, the prison doctor refused him the necessary medication claiming he was not worthy of it.;pneumonia;['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;100.0
wiki_fully;290;The family was apprehended in 1944 and Anne Frank died of typhus in the Bergen-Belsen concentration camp.;typhus;['typhus', 'typhoid fever', 'epidemic typhus'];typhus;100.0
wiki_fully;299;"Hypertrophy (from Greek ὑπέρ ""excess"" + τροφή ""nourishment"") is the increase in the volume of an organ or tissue due to the enlargement of its component cells.";Hypertrophy;['enlargement'];enlargement;24.0
wiki_fully;303;"Byrd died of heart disease on July 30, 2013 in Winchester, Virginia at ""Courtfield"".";heart disease;['heart disease'];heart disease;100.0
wiki_fully;306;He compared the effects of various acidic substances, ranging from vinegar to cider, on groups of afflicted sailors, and found the group who were given oranges and lemons had largely recovered from scurvy after six days.;scurvy;['scurvy'];scurvy;100.0
wiki_fully;307;Palmer died in a Paris hotel room from a heart attack on 26 September 2003 at the age of 54.;heart attack;['heart attack'];heart attack;100.0
wiki_fully;309;Other factors that play an important role include social isolation and immigration related to social adversity, racial discrimination, family dysfunction, unemployment, and poor housing conditions.;family dysfunction;['family dysfunction', 'dysfunctional family'];family dysfunction;100.0
wiki_fully;314;In 1900 he started to suffer from Bright's disease and returned to writing piano music.;Bright's disease;['brights disease', 'glomerulonephritis', 'membranous nephropathy'];brights disease;93.0
wiki_fully;315;Albéniz died from his kidney disease on 18 May 1909 at age 48 in Cambo-les-Bains.;kidney disease;['kidney disease'];kidney disease;100.0
wiki_fully;316;On 13 March 1798, Weber's mother died of tuberculosis.;tuberculosis;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);88.0
wiki_fully;318;Tobacco smoking and asbestos have a synergistic effect on the formation of lung cancer.;lung cancer;['lung cancer', 'lung carcinoma', 'lung tumor'];lung cancer;100.0
wiki_fully;320;Her (younger) twin sister Princess Maria Cristina Amelia died of smallpox in 1783, aged five, a week after their brother Prince Giuseppe died.;smallpox;['smallpox disease', 'alastrim'];smallpox disease;70.0
wiki_fully;321;The league's long-time president Frank Calder died due to heart disease.;heart disease;['heart disease'];heart disease;100.0
wiki_fully;324;Stanisław Moniuszko died on 4 June 1872 in Warsaw of a sudden heart attack and was buried in Powązki Cemetery.;sudden heart attack;['heart attack'];heart attack;77.0
wiki_fully;328;Cavendish retained the leader's jersey by sprinting to victory on stage two but finished fifth on stage three, losing the overall lead to Hushovd, and was forced to withdraw from the race before stage four due to a lung infection.;lung infection;['lung infection'];lung infection;100.0
wiki_fully;335;Up to 1% of women have bulimia nervosa.;bulimia nervosa;['bulimia'];bulimia;64.0
wiki_fully;338;Surgical subspecialties include neurosurgery, ophthalmology, orthopedic surgery, (ENT) and facial plastic surgery, plastic surgery, thoracic surgery, transplantation, Trauma, urology, and vascular surgery.;Trauma;['trauma', 'injuries wounds', 'injury from an external force', 'physical wound'];trauma;100.0
wiki_fully;339;genomic medicine, hematology, infectious diseases, nephrology, neurology, obstetrics/gynecology, oncology, pathology, perioperative care, physical medicine and rehabilitation, psychiatry, pulmonology, radiology, rheumatology, and sports medicine.;infectious diseases;['infectious disease'];infectious disease;100.0
wiki_fully;341;It is a major cause of lower respiratory tract infections and hospital visits during infancy and childhood.;lower respiratory tract infections;['chest cold', 'common cold', 'chest infection', 'respiratory tract infection (RTI)'];chest cold;30.0
wiki_fully;344;Morgan died of a heart attack on September 18, 1949, while filming Annie Get Your Gun (replaced by Louis Calhern).;heart attack;['heart attack'];heart attack;100.0
wiki_fully;345;He had been diagnosed with bipolar disorder in 1980.;bipolar disorder;['bipolar disorder', 'bipolar ii disorder'];bipolar disorder;100.0
wiki_fully;346;Menuhin died in Martin Luther Hospital, Berlin, Germany, from complications of bronchitis.;bronchitis;['bronchitis'];bronchitis;100.0
wiki_fully;347;In October 1836, after receiving his M.D. and being appointed by the University of Zurich as a lecturer in anatomy, Büchner relocated to Zurich where he spent his final months writing and teaching until his death from typhus at the age of twenty-three.;typhus;['typhus', 'typhoid fever', 'epidemic typhus'];typhus;100.0
wiki_fully;353;Ebsen died of pneumonia at Torrance Memorial Medical Center in Torrance, California, on July 6, 2003, at the age of 95.;pneumonia;['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;100.0
wiki_fully;355;In many cases the structure is of no direct harm, yet all structures require extra energy in terms of development, maintenance, and weight, and are also a risk in terms of disease (e.g., infection, cancer), providing some selective pressure for the removal of parts that do not contribute to an organism's fitness.;cancer;['cancer', 'primary cancer', 'spindle cell carcinoma', 'carcinoma', 'anaplastic carcinoma', 'carcinomatosis', 'sarcomatoid carcinoma', 'undifferentiated carcinoma'];cancer;100.0
wiki_fully;356;Edmund died of measles on 28 February 1900, at the age of five.;measles;['Measles disease'];Measles disease;59.0
wiki_fully;357;Both infants died of diphtheria during the winter of 1886-1887.;diphtheria;['diphtheria'];diphtheria;100.0
wiki_fully;358;Madge Bellamy died of heart failure in Upland, California, aged 90.;heart failure;['heart failure', 'cardiac insufficiency', 'congestive heart failure (CHF)'];heart failure;100.0
wiki_fully;363;The genetic cause of Down syndrome-an extra copy of chromosome 21-was identified by French researchers in 1959.;Down syndrome;['Down syndrome', 'syndrome'];Down syndrome;100.0
wiki_fully;364;He died from pancreatic cancer on 6 September 2007.;pancreatic cancer;['pancreatic cancer', 'pancreatic carcinoma', 'pancreatic tumor'];pancreatic cancer;100.0
wiki_fully;365;In the beginning, Italian settlements failed, because many Italians died of tropical diseases or left the colonies to find better conditions.;tropical diseases;['disease'];disease;63.0
wiki_fully;366;The city suffered from plague outbreaks in 1544, 1589 and 1598.;plague;['plague', 'bubonic plague', 'pneumonic plague'];plague;100.0
wiki_fully;368;He died of the plague, the year after his ennoblement on December 13, 1565.;plague;['plague', 'bubonic plague', 'pneumonic plague'];plague;100.0
wiki_fully;372;When Robert was one year old, his father died in the flu pandemic of 1918.;flu pandemic;['flu', 'myalgic encephalomyelitis', 'chronic fatigue syndrome (CFS)', 'postviral fatigue'];flu;46.0
wiki_fully;375;Ricketts retired from the Royal Marines on 1 June 1944 because of ill health and died at his home in Reigate, Surrey, on 15 May 1945, after an operation for cancer.;cancer;['cancer', 'primary cancer', 'spindle cell carcinoma', 'carcinoma', 'anaplastic carcinoma', 'carcinomatosis', 'sarcomatoid carcinoma', 'undifferentiated carcinoma'];cancer;100.0
wiki_fully;379;With his army weakened by disease-mostly bubonic plague-and poor supplies, Bonaparte was unable to reduce the fortress of Acre and returned to Egypt in May.;bubonic plague;['bubonic plague', 'plague', 'pneumonic plague'];bubonic plague;100.0
wiki_fully;383;A study published in the International Journal of Obesity (11 January 2005) also found that the consumption of low-fat yogurt can promote weight loss, relative to a gelatin placebo.;Obesity;['obesity'];obesity;100.0
wiki_fully;385;Yogurt containing live cultures has been found effective in a randomized trial at preventing antibiotic-associated diarrhea.;antibiotic-associated diarrhea;['antibiotic associated diarrhea'];antibiotic associated diarrhea;96.0
wiki_fully;387;Like the others, septicemic plague spread from the East through trade routes on the Black Sea and down to the Mediterranean Sea.;septicemic plague;['plague', 'bubonic plague', 'pneumonic plague'];plague;53.0
wiki_fully;399;On 31 December 1877, a day before the first instalment was due, Courbet died, aged 58, in La Tour-de-Peilz, Switzerland, of a liver disease aggravated by heavy drinking.;liver disease;['liver disease', 'abnormal liver function', 'liver dysfunction'];liver disease;100.0
wiki_fully;407;Leishmania currently affects 12 million people in 98 countries.;Leishmania;[];;
wiki_fully;408;"Their primary hosts are vertebrates; Leishmania commonly infects hyraxes, canids, rodents, and humans.";Leishmania;[];;
wiki_fully;415;Patau syndrome affects somewhere between 1 in 10,000 and 1 in 21,700 live births.;Patau syndrome;['trisomy 13'];trisomy 13;35.0
wiki_fully;427;He died on July 14, 1965 in London after suffering a heart attack.;heart attack;['heart attack'];heart attack;100.0
wiki_fully;428;The return of Rivers's father threatens to tear the family apart until Uncle Daddy suffers a near fatal heart attack.;heart attack;['heart attack'];heart attack;100.0
wiki_fully;431;Bygraves died on 31 August 2012, aged 89, at his home in Hope Island, Queensland, Australia, after being diagnosed with Alzheimer's disease.;Alzheimer's disease;"[""Alzheimer's disease"", 'alzheimers dementia', 'presenile dementia', 'presenile alzheimer dementia', 'familial alzheimer disease']";Alzheimer's disease;100.0
wiki_fully;432;There were no advanced facilities for treatment in the village, so he was taken to an elderly woman in a nearby village who was known to cure trachoma boils to provide relief.;trachoma;['trachoma'];trachoma;100.0
wiki_fully;433;Following a series of small strokes during the last three years of her life, Colbert died in 1996 at her second home in Barbados, where she was employing one housekeeper and two cooks.;strokes;['stroke', 'acute stroke'];stroke;100.0
wiki_fully;434;Porter died of kidney failure on October 15, 1964, in Santa Monica, California, at the age of 73.;kidney failure;['kidney failure', 'renal impairment', 'kidney insufficiency'];kidney failure;100.0
wiki_fully;435;Porter's mother died in 1952, and his wife died from emphysema in 1954.;emphysema;['abnormal collection of air in tissues', 'lung emphysema'];abnormal collection of air in tissues;12.0
wiki_fully;446;Further injections eventually led to gangrene.;gangrene;['gangrene'];gangrene;100.0
wiki_fully;458;Prince and Princess Alexander of Teck had three children: Princess Alice was one of the carriers of the gene for hemophilia which arose with Queen Victoria.;hemophilia;['hemophilia a', 'hemophilia', 'hemophilia b', 'factor xi deficiency'];hemophilia a;100.0
wiki_fully;459;The proposal was criticized as an example of trivial and overly intrusive legislation, while Barrios' supporters pointed to concerns over the problem of childhood obesity.;childhood obesity;[];;
wiki_fully;460;When Keenan was 11, his mother suffered a paralyzing cerebral aneurysm, which would later serve as the inspiration for many of his creative works.;paralyzing cerebral aneurysm;['cerebral aneurysm'];cerebral aneurysm;79.0
wiki_fully;461;"This risk of devastation had been known for some time; previous studies by FEMA and the Army Corps of Engineers had warned that a direct hurricane strike on New Orleans could lead to massive flooding, which would lead to thousands of drowning deaths, as well as many more suffering from disease and dehydration, as the flood waters slowly receded from the city.";dehydration;['loss of body water'];loss of body water;29.0
wiki_fully;462;He died of a subsequent heart attack on his family farm of Doornkloof, Irene, near Pretoria, on 11 September 1950.;heart attack;['heart attack'];heart attack;100.0
wiki_fully;467;Shortly afterward Koch suffered a stroke in 1987 while in office, but was able to continue with his duties.;stroke;['stroke', 'acute stroke'];stroke;100.0
wiki_fully;469;In 1926, Schreck returned to the Kammerspiele in Munich and continued to act in films surviving the advent of sound until his death in 1936 of heart failure.;heart failure;['heart failure', 'cardiac insufficiency', 'congestive heart failure (CHF)'];heart failure;100.0
wiki_fully;470;That evening he felt unwell and the doctor sent him to the hospital where he died early the next morning of a heart attack.;heart attack;['heart attack'];heart attack;100.0
wiki_fully;472;Both girls caught typhus and Jane nearly died.;typhus;['typhus', 'typhoid fever', 'epidemic typhus'];typhus;100.0
wiki_fully;473;Unfortunately, his knee problems struck just as he made the NHL on a full-time basis.;NHL;"[""non hodgkin's lymphoma (NHL)"", 'large cell lymphoma', 'lymphosarcoma', 'follicular, centroblastic malignant lymphoma', 'large cell follicular lymphoma', 'low grade lymphoma']";non hodgkin's lymphoma (NHL);21.0
wiki_fully;474;Ekimyan suffered a heart attack and died on April 24, 1982 in Moscow.;heart attack;['heart attack'];heart attack;100.0
wiki_fully;476;Surgery alone or surgery combined with pelvic radiation is typically used to treat vaginal cancer.;vaginal cancer;['vaginal cancer', 'vaginal carcinoma', 'vaginal neoplasms'];vaginal cancer;100.0
wiki_fully;483;It was first used to treat malaria in Rome in 1631.;malaria;['malaria', 'malarial fever'];malaria;100.0
wiki_fully;486;When the Tsar was ill with typhoid, the little girl covered a miniature portrait of him with kisses every night.;typhoid;['typhoid fever'];typhoid fever;70.0
wiki_fully;491;While the resuscitator is being used to save Merrick, Dr. Phillips suffers a heart attack and dies.;heart attack;['heart attack'];heart attack;100.0
wiki_fully;495;In 1927, he accepted a position at the Smith College in Northampton, Massachusetts, where he remained until his death in 1941 from Coronary thrombosis Early in Koffka's life, his uncle, a biologist whose interests were in the fields of Philosophy and Science helped to educate him.;Coronary thrombosis;['coronary thrombosis'];coronary thrombosis;100.0
wiki_fully;500;The exact mechanisms of migraine are not known.;migraine;['migraine headache', 'abdominal migraine', 'migraine variant', 'status migrainosus'];migraine headache;64.0
wiki_fully;503;Abdominal compartment syndrome occurs when the abdomen becomes subject to increased pressure.;Abdominal compartment syndrome;['abdominal compartment syndrome'];abdominal compartment syndrome;100.0
wiki_fully;505;He died of tuberculosis at Schönbrunn Palace in Vienna on 22 July 1832.;tuberculosis;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);88.0
wiki_fully;509;He died of senile dementia in the Fremantle Lunatic Asylum (now the Fremantle Arts Centre building) on 13 August 1900, and was buried in Fremantle Cemetery.;senile dementia;"[""Alzheimer's disease"", 'alzheimers dementia', 'senile dementia', 'presenile dementia', 'presenile alzheimer dementia', 'familial alzheimer disease']";Alzheimer's disease;40.0
wiki_fully;511;Modern medicine, both conventional and alternative, recognizes that the different rheumatic disorders have different causes (and several of them have multiple causes) and require different kinds of treatment.;rheumatic disorders;[];;
wiki_fully;514;The study of, and therapeutic interventions in, such disorders is called rheumatology.;rheumatology;['collagen disease'];collagen disease;23.0
wiki_fully;517;The hair matrix epithelium is one of the fastest growing cell populations in the human body, which is why some forms of chemotherapy or radiotherapy, that kill dividing cells, may lead to temporary hair loss.;hair;['hair diseases'];hair diseases;53.0
