Under conditions of high humidity , the rate of evaporation of sweat from the skin decreases .	With a higher humidity , the rate of evaporation is less .
There is evidence for human behavioral learning prenatally , in which habituation has been observed as early as 32 weeks into gestation , indicating that the central nervous system is sufficiently developed and primed for learning and memory to occur very early on in development .	There is evidence for human behavioral learning prenatally , in which habituation has been observed as early as 32 weeks into gestation , indicating that the central nervous system is sufficiently developed and primed for learning and memory to occur very early on in development .
There may not be enough trained health workers or monetary resources to provide even a basic level of medical care and disease prevention .	In the developing world , there may not be enough trained health workers or monetary resources to provide a basic level of medical care and disease prevention .
From the beginnings of human civilization , it was recognized that polluted water and lack of proper waste disposal spread communicable diseases ( theory of miasma ) .	From the beginning , human civilization recognized that polluted water and lack of proper waste disposal spread communicable diseases .
The ancient Chinese medical doctors developed the practice of variolation following a smallpox epidemic around 1000 BC .	The Chinese developed the practice of variolation following a smallpox epidemic around 1000 BC .
Public health plays an important role in disease prevention efforts in both the developing world and in developed countries , through local health systems and non-governmental organizations .	Public health plays an important role in disease prevention efforts in the developing world and in developed countries , through local health systems and through international non-governmental organizations .
Burning parts of cities resulted in much greater benefit , since it destroyed the rodent infestations .	During the 14th century Black Death in Europe , burning parts of cities resulted in benefit , since it destroyed the rodent infestations .
Many diseases are preventable through simple , non-medical methods .	Many diseases are preventable through simple , non-medical methods .
The development of quarantine in the medieval period helped mitigate the effects of other infectious diseases .	The development of quarantine in the medieval period restricted effects of other infectious diseases .
In other cases , treating a disease or controlling a pathogen can be vital to preventing its spread to others , such as during an outbreak of infectious disease , or contamination of food or water supplies .	In outbreaks of an infectious disease , treating a disease may be vital to preventing it in others .
Dramatic increases in average life span in the late 19th century and 20th century , is widely credited to public health achievements , such as vaccination programs and control of many infectious diseases including polio , diphtheria , yellow fever and smallpox ; effective health and safety policies such as road traffic safety and occupational safety ; improved family planning ; tobacco control measures ; and programs designed to decrease non-communicable diseases by acting on known risk factors such as a person 's background , lifestyle and environment .	The increase in average life span in the 20th century is credited to public health achievements , such as vaccination programs and control of infectious diseases , effective safety policies of motor-vehicle and occupational safety , improved family planning , chlorination of drinking water , smoke-free measures , and programs on decreasing chronic disease such as cancer , heart disease and more physical exercise .
Public health communications programs , vaccination programs , and distribution of condoms are examples of common public health measures .	Public health intervention prevents rather than treats a disease through surveillance of cases and promotes healthy behaviors such as hand washing , vaccination programs and distribution of condoms .
Within weeks , Village residents quickly organized into activist groups to concentrate efforts on establishing places for gays and lesbians to be open about their sexual orientation without fear of being arrested .	Within weeks , Village residents quickly organized into activist groups to concentrate efforts on establishing places for gays and lesbians to be open about their sexual orientation without fear of being arrested .
Sudden infant death syndrome ( SIDS ) also known as cot death or crib death is the sudden death of an infant that is not predicted by medical history and remains unexplained after a thorough forensic autopsy and detailed death scene investigation .	Sudden infant death syndrome ( SIDS ) is the sudden and unexpected death of a human baby which is unexplained even after an autopsy and investigation .
In her first year of medical studies at the University of Sydney she suffered dermatitis from surgical soap and was told to abandon her dreams of becoming a medical doctor .	In her first year of medical studies at the University of Sydney she suffered dermatitis .
Toll-like receptors are now counted among the key molecules that alert the immune system to the presence of microbial infections .	Toll-like receptors are now counted among the key molecules that alert the immune system to the presence of microbial infections .
In 1996 , Toll was found by Jules A. Hoffmann and his colleagues to have an essential role in the fly 's immunity to fungal infection , which it achieved by activating the synthesis of antimicrobial peptides .	In 1996 , Toll was found by Jules A. Hoffmann and his colleagues to have an essential role in the fly 's immunity to fungal infection .
Toll-like receptors ( TLRs ) are a class of proteins that play a key role in the innate immune system as well as the digestive system .	Toll-like receptors ( TLRs ) are proteins which act in the innate immune system and the digestive system .
Carl Ransom Rogers ( January 8 , 1902 - February 4 , 1987 ) was an influential American psychologist and among the founders of the humanistic approach ( or client-centered approach ) to psychology .	Carl Ransom Rogers ( January 8 , 1902 - February 4 , 1987 ) , was a 20th century influential humanistic psychologist .
Breaking with his former beliefs , the Professor admits that any peasant woman could give birth to a genius and that eugenics are therefore a waste of time .	Breaking with his former beliefs , the Professor admits that any peasant woman could give birth to a genius and that eugenics are a waste of time .
However , he is soon terrified to see the Professor bringing home a human brain and removing the pituitary gland ... The novel has been interpreted both as a satire on the Communist attempts to create a New Soviet man and as a criticism of eugenics .	However , he is soon terrified to see the Professor bringing home a human brain and removing the pituitary gland ...
As Bormenthal assists , the Professor trepans Sharik 's skull and gives him a human pituitary gland .	As Bormenthal assists , the Professor gives him a human pituitary gland and human testicles .
In 1914 Adams 's father died of a stroke .	His father died in 1914 and Adams was brought up by his mother .
The scales around the ears , lips , chin , and soles of the feet may have three or more sensory plaques .	The scales around its ears , lips , chin , and bottoms of the feet may have three or more of these connections .
The absolute number of tuberculosis cases has been decreasing since 2006 , and new cases have decreased since 2002 .	The number of tuberculosis cases has been decreasing since 2006 , and new cases have decreased since 2002 .
Tuberculosis typically attacks the lungs , but can also affect other parts of the body .	The disease usually attacks the lungs , but it can also affect other parts of the body .
One third of the world 's population is thought to have been infected with M. tuberculosis , with new infections occurring in about 1 % of the population each year .	Experts believe that one third of the world population is infected with M. tuberculosis .
The rates of tuberculosis in different areas varies across the globe ; about 80 % of the population in many Asian and African countries tests positive in tuberculin tests , while only 5-10 % of the United States population tests positive .	About eighty percent of the population in many Asian and African countries test positive in tuberculin tests , but only five to ten percent of the United States .
Totally drug-resistant TB is resistant to all currently used drugs .	There is a form of tuberculosis that is resistant to all drugs .
Tuberculosis , MTB , or TB ( short for tubercle bacillus ) , in the past also called phthisis , phthisis pulmonalis , or consumption , is a common , and in many cases fatal , infectious disease caused by various strains of mycobacteria , usually Mycobacterium tuberculosis .	TB is caused by several types of mycobacteria , usually Mycobacterium tuberculosis .
Unlike short-lived neutrophils , macrophages survive longer in the body up to a maximum of several months .	Unlike short-lived neutrophils , macrophages survive longer in the body , up to several months .
Sunderland , a main trading port at the time , was the first British town to be struck with the ` Indian cholera ' epidemic .	It was the first British town to be affected by ` Indian cholera ' epidemic .
Local government was divided between the three parishes ( Holy Trinity Church , Sunderland , St. Michael 's , Bishopwearmouth , and St. Peter 's , Monkwearmouth ) and when cholera broke out in 1831 , the `` select vestrymen '' , as the church councilmen were called , were unable to cope with the epidemic .	When cholera broke out in 1831 , the `` select vestrymen '' , as the church councillors were called , did not know what to do about the epidemic .
Once at Richmond , Madison began drafting the Report , though he was delayed by a weeklong battle with dysentery .	Once at Richmond , Madison began drafting the Report , though he was delayed by a weeklong battle with dysentery .
Extreme shortness in humans with proportional body parts usually has a hormonal cause , such as growth-hormone deficiency , once called pituitary dwarfism .	Extreme shortness , but with body parts of normal proportions , may be caused by growth hormone deficiency , once known as pituitary dwarfism .
Disorders causing dwarfism are often classified by proportionality .	There are more than 200 other conditions which may cause dwarfism .
Koalas can be subject to pathogens like Chlamydiaceae bacteria , which can cause keratoconjunctivitis , urinary tract infection and reproductive tract infection .	The disease can cause blindness , pneumonia , urinary tract infections and reproductive tract infections .
Reports circulated for years that Hemingway had had her breasts enlarged to play the role of Stratten , but during a 2007 appearance on the late-night talk and variety show , Fashionably Late with Stacy London , she said she had had the surgery before Star 80 .	During a 2007 appearance on the late-night talk and variety show , Fashionably Late with Stacy London , she said she had the surgery before Star 80 .
Capablanca entered the match with no technical or physical preparation , while Alekhine got himself into good physical condition , and had thoroughly studied Capablanca 's play .	Capablanca entered the match with no technical or physical preparation , while Alekhine got himself into good physical condition , and had thoroughly studied Capablanca 's play .
Capablanca 's high blood pressure was not correctly diagnosed and treated until after the AVRO tournament , and caused him to lose his train of thought towards the end of playing sessions .	Capablanca 's high blood pressure was not correctly diagnosed and treated until after the AVRO tournament , and caused him to lose his train of thought towards the end of playing sessions .
During these triumphs Capablanca began to suffer symptoms of high blood pressure .	During these triumphs Capablanca began to experience debilitating symptoms of hypertension .
The serous membrane covering the heart and lining the mediastinum is referred to as the pericardium , the serous membrane lining the thoracic cavity and surrounding the lungs is referred to as the pleura , and that lining the abdominopelvic cavity and the viscera is referred to as the peritoneum .	The serous membrane covering the heart and lining the mediastinum is called the pericardium , the serous membrane lining the thoracic cavity and surrounding the lungs is called the pleura , and that lining the abdominopelvic cavity and the viscera is called the peritoneum .
Serous membranes line and enclose several body cavities , known as serous cavities , where they secrete a lubricating fluid which reduces friction from muscle movement .	They secrete a lubricating fluid which reduces friction from muscle movement .
Other notable 17th-century outbreaks were the Italian Plague ( 1629-31 ) ; the Great Plague of Seville ( 1647-52 ) ; the Great Plague of London ( 1665-66 ) ; and the Great Plague of Vienna ( 1679 ) .	Later outbreaks include the Italian Plague of 1629-1631 , the Great Plague of London ( 1665-1666 ) , the Great Plague of Vienna ( 1679 ) , the Great Plague of Marseille in 1720-1722 and the 1771 plague in Moscow .
There is some controversy over the identity of the disease , but in its virulent form , after the Great Plague of Marseille in 1720-22 , the Great Plague of 1738 ( which hit Eastern Europe ) , and the Russian plague of 1770-1772 , it seems to have gradually disappeared from Europe .	There is some controversy over the identity of the disease , but in its virulent form seems to have disappeared from Europe in the 18th century .
The 14th-century eruption of the Black Death had a drastic effect on Europe 's population , irrevocably changing the social structure , and resulted in widespread persecution of minorities such as Jews , foreigners , beggars , and lepers ( see Persecutions ) .	It was a serious blow to the Roman Catholic Church and resulted in widespread persecution of minorities such as Jews , Muslims , foreigners , beggars and lepers .
The palate is divided into two parts , the anterior bony hard palate , and the posterior fleshy soft palate ( or velum ) .	The palate is divided into two parts , the anterior bony hard palate , and the posterior fleshy soft palate or velum .
It separates the oral cavity from the nasal cavity .	It separates the oral cavity ( mouth ) from the nasal cavity .
In hair , this results in the hair falling out and being replaced by a new one .	In hair , this causes the hair to fall out and it is replaced by a new one .
By 1915 , gangrene had set in and her entire right leg was amputated ; she was required to use a wheelchair for several months .	By 1915 , gangrene had set in and her entire right leg was amputated , meaning she was in a wheelchair for several months .
Sarah Bernhardt died from uremia following kidney failure in 1923 .	On 26 March 1923 , Bernhardt died of uremia following kidney failure .
After graduation , he contracted tuberculosis , causing him to move to the Crimean Peninsula on the northern coast of the Black Sea in 1855 .	After graduation , tuberculosis caused him to move to the Crimean Peninsula on the northern coast of the Black Sea in 1855 .
He died of a heart attack in 1968 and was honored with a memorial service at Westminster Abbey , London .	He died from a heart attack in 1968 .
The development of a sufficiently powerful microscope by Anton van Leeuwenhoek in 1675 provided visual evidence of living particles consistent with a germ theory of disease .	The development of a sufficiently powerful microscope by Anton van Leeuwenhoek in 1675 provided visual evidence of living particles consistent with a germ theory of disease .
The study subjects should be at risk of the outcome under investigation at the beginning of the cohort study ; this usually means that they should be disease free when the cohort study starts .	The study subjects should be at risk of the outcome under investigation at the beginning of the cohort study ; this usually means that they should be disease free when the cohort study starts .
Disinfection did not become widely practiced until British surgeon Joseph Lister ` discovered ' antiseptics in 1865 in light of the work of Louis Pasteur .	Unfortunately , disinfection did not become widely practiced until British surgeon Joseph Lister ` discovered ' antiseptics in 1865 in light of the work of Louis Pasteur .
In the middle of the 16th century , a doctor from Verona named Girolamo Fracastoro was the first to propose a theory that these very small , unseeable , particles that cause disease were alive .	Italian doctor from Verona named Girolamo Fracastoro was the first to propose a theory that these very small , unseeable , particles that cause disease were alive .
In 1543 he wrote a book De contagione et contagiosis morbis , in which he was the first to promote personal and environmental hygiene to prevent disease .	In 1543 , he in his book De contagione et contagiosis morbis was the first to promote personal and environmental hygiene to prevent disease .
Snow used chlorine in an attempt to clean the water and removed the handle ; this ended the outbreak .	He used chlorine in an attempt to clean the water and had the handle removed , thus ending the outbreak .
The distinction between `` epidemic '' and `` endemic '' was first drawn by Hippocrates , to distinguish between diseases that are `` visited upon '' a population ( epidemic ) from those that `` reside within '' a population ( endemic ) .	He has also drawn the distinction between ` epidemic ' and ` endemic ' to distinguish between diseases that are ` visited upon ' a population ( epidemic ) from those that ` reside within ' a population ( endemic ) .
Another important pioneer was Hungarian physician Ignaz Semmelweis , who in 1847 brought down infant mortality at a Vienna hospital by instituting a disinfection procedure .	In 1847 Hungarian physician Ignaz Semmelweis brought down infant mortality at a Vienna hospital by instituting a disinfection procedure .
The term epidemiology is now widely applied to cover the description and causation of not only epidemic disease , but of disease in general , and even many non-disease health-related conditions , such as high blood pressure and obesity .	The term has expanded considerably in scope since to cover the description and causation of not only epidemic disease , but of disease in general , and even many non-disease health-related conditions , such as high blood pressure and obesity .
Case control studies select subjects based on their disease status .	Cohort studies select subjects based on their exposure status .
Epidemiological studies can only go to prove that an agent could have caused , but not that it did cause , an effect in any particular case : In United States law , epidemiology alone can not prove that a causal association does not exist in general .	Epidemiological studies can only go to prove that an agent could have caused disease in population , but not that it did cause , an effect in any particular case .
