sent_id;sentence;entity_count;BERN_extracted_ngram;BERN_entity_type;msh_id;MESHtoCUIs
593;If it was any other attending doctor, I'd say that he made a mistake... and gave her too much epinephrine.;1;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
597;Order a chest C.T. and start the sister on prednisone 40 milligrams T.I.D.;1;prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
611;Prednisone.;1;Prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
612;It's a steroid to help with the inflammation.;1;steroid;drug;D013256;['C0038317', 'C0007401']
647;Let me guess-- inflammatory bowel.;1;inflammatory bowel;disease;D015212;['C0021390']
650;''Bloody diarrhea, gas, pain.;1;diarrhea;disease;C565627;['C1857276']
651;Took sulfasalazine, but it didn't work''.;1;sulfasalazine;drug;D012460;['C0036078', 'C1564232', 'C1564231', 'C1564234', 'C1564230', 'C1564235', 'C0731586', 'C0699547', 'C1564233', 'C4082693', 'C4505433']
652;Then-Then I-- - ''Next, tried steroid enemas.;1;steroid;drug;D013256;['C0038317', 'C0007401']
653;Oral corticosteroids--5-A.S.A., 6-mercaptopurine''.;1;corticosteroids;drug;D000305;['C0001617']
653;Oral corticosteroids--5-A.S.A., 6-mercaptopurine''.;2;6-mercaptopurine;drug;D015122;['C0000618', 'C0729098', 'C0729100', 'C0722911', 'C0917847', 'C1563962', 'C0886849', 'C4279938']
664;''Cogaritis''?;1;Cogaritis;disease;Unknown;[]
668;Studies have shown that cigarette smoking... is one of the most effective ways to control inflammatory bowel.;1;inflammatory bowel;disease;D015212;['C0021390']
713;It could be something else-- thyrotoxicosis or a carcinoid.;1;thyrotoxicosis;disease;D006111;['C0018213']
727;Let's get her on some Ativan.;1;Ativan;drug;D008140;['C0024002', 'C0701356', 'C0699194', 'C1450494', 'C1450490', 'C0699195', 'C1450484', 'C1450485', 'C1450483', 'C1450487', 'C1450496', 'C1450486', 'C1450497', 'C1450498', 'C1450493', 'C1450495', 'C1450491', 'C1450492', 'C1450488']
728;The smells, religious visions-- it's symptomatic of temporal lobe swelling.;1;temporal lobe swelling;disease;Unknown;[]
733;Patient tested positive for herpetic encephalitis.;1;herpetic encephalitis;disease;D020803;['C0019385', 'C0001338', 'C0276226']
736;Prednisone compromises the immune system.;1;Prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
739;Two doses of prednisone wouldn't do that.;1;prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
746;Mixed connective tissue disease.;1;Mixed connective tissue disease;disease;D008947;['C0026272']
747;It'd explain why she was feeling better on the prednisone.;1;prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
749;On the other hand, it explains the symptoms-- swollen hands, pulmonary problems, cardiac problems.;1;swollen hands;disease;Unknown;[]
749;On the other hand, it explains the symptoms-- swollen hands, pulmonary problems, cardiac problems.;2;pulmonary problems;disease;Unknown;[]
749;On the other hand, it explains the symptoms-- swollen hands, pulmonary problems, cardiac problems.;3;cardiac problems;disease;D017202;['C0151744']
753;But the treatment is corticosteroids prednisone and we can't go there because of the encephalitis.;1;corticosteroids;drug;D000305;['C0001617']
753;But the treatment is corticosteroids prednisone and we can't go there because of the encephalitis.;2;prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
753;But the treatment is corticosteroids prednisone and we can't go there because of the encephalitis.;3;encephalitis;disease;D004660;['C0014038', 'C0393484']
754;Then we'll treat it with something that modulates the immune system but doesn't suppress it-- hyperbaric oxygen chamber.;1;oxygen;drug;Unknown;[]
755;There's no protocol for putting a patient in a high-pressure oxygen room to treat auto-immune problems.;1;oxygen;drug;Unknown;[]
755;There's no protocol for putting a patient in a high-pressure oxygen room to treat auto-immune problems.;2;auto-immune problems;disease;Unknown;[]
758;Prep the nun and discontinue the prednisone.;1;prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
764;Hyperbaric treatments could cause oxygen toxicity-- lung and eye damage.;1;oxygen toxicity;disease;Unknown;[]
764;Hyperbaric treatments could cause oxygen toxicity-- lung and eye damage.;2;oxygen;drug;Unknown;[]
764;Hyperbaric treatments could cause oxygen toxicity-- lung and eye damage.;3;lung and eye damage;disease;Unknown;[]
775;The pressure will force the oxygen into your system, saturate your blood.;1;oxygen;drug;Unknown;[]
777;And that will help with this mixed connective tissue disease?;1;connective tissue disease;disease;D003240;['C0009782']
779;The last treatment with prednisone caused the seizures, right?;1;prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
781;That you reacted so strongly to the prednisone let us know... that you had an underlying problem with your immune system.;1;prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
784;I would've thought it was Vixen.;1;Vixen;drug;Unknown;[]
795;She's a hypochondriac.;1;hypochondriac;disease;D006998;['C0020604']
797;Sore throats, joint pains.;1;Sore throats;disease;D010612;['C0031350', 'C0242429']
797;Sore throats, joint pains.;2;joint pains;disease;D018771;['C0003862', 'C0162296']
806;Mm-hmm.;1;Mm-hmm;gene;Unknown;[]
825;That's from the oxygen.;1;oxygen;drug;Unknown;[]
827;Mixed connective tissue disease?;1;Mixed connective tissue disease;disease;D008947;['C0026272']
831;O2 sat's down to 83.;1;O2;drug;Unknown;[]
832;Pulmonary problems, breathing problems.;1;Pulmonary;disease;Unknown;[]
833;Irritation from the oxygen is typical.;1;oxygen;drug;Unknown;[]
834;She comes in with a rash, and you put her into cardiac arrest.;1;rash;disease;D005076;['C0015230']
834;She comes in with a rash, and you put her into cardiac arrest.;2;cardiac arrest;disease;D006323;['C0600228', 'C0018790']
837;Maybe from the herpetic encephalitis caused by you giving her prednisone.;1;herpetic encephalitis;disease;D020803;['C0019385', 'C0001338', 'C0276226']
837;Maybe from the herpetic encephalitis caused by you giving her prednisone.;2;prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
851;Pneumonitis from the hyperbaric chamber.;1;Pneumonitis;disease;D011014;['C0032285', 'C0032300', 'C0887898', 'C3714636']
852;Put her on 40% oxygen until her O2 sats increase.;1;oxygen;drug;Unknown;[]
852;Put her on 40% oxygen until her O2 sats increase.;2;O2;drug;Unknown;[]
853;B.U.N. and creatinine's rising.;1;creatinine;drug;Unknown;[]
855;Could be from the hypotensive episode.;1;hypotensive;disease;Unknown;[]
857;She still has the rash and joint pain she came in with.;1;rash;disease;D005076;['C0015230']
857;She still has the rash and joint pain she came in with.;2;joint pain;disease;D018771;['C0003862', 'C0162296']
868;So I shouldn't read too much into the fact that you were looking for it... in the drawer with the epinephrine syringes in it?;1;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
872;Prescribing cigarettes for inflammatory bowel?;1;inflammatory bowel;disease;D015212;['C0021390']
874;You know why they have ribbons for breast cancer, colorectal cancer, prostate cancer-- and not for lung cancer?;1;breast cancer;disease;D001943;['C1458155', 'C0006142', 'C1257931', 'C0678222']
874;You know why they have ribbons for breast cancer, colorectal cancer, prostate cancer-- and not for lung cancer?;2;colorectal cancer;disease;D015179;['C1527249', 'C0009402', 'C0009404']
874;You know why they have ribbons for breast cancer, colorectal cancer, prostate cancer-- and not for lung cancer?;3;prostate cancer;disease;D011471;['C0033578', 'C0376358']
874;You know why they have ribbons for breast cancer, colorectal cancer, prostate cancer-- and not for lung cancer?;4;lung cancer;disease;D008175;['C0024121', 'C0242379']
876;It's because people blame lung cancer patients.;1;lung cancer;disease;D008175;['C0024121', 'C0242379']
880;The reason people die from lung cancer is guilt.;1;lung cancer;disease;D008175;['C0024121', 'C0242379']
919;I've found that when you want to know the truth about someone, that someone is probably the last person you should ask.;1;someone;species;Unknown;[]
919;I've found that when you want to know the truth about someone, that someone is probably the last person you should ask.;2;someone;species;Unknown;[]
930;When she had a cardiac arrest, I had to open her blouse to do C.P.R.;1;cardiac arrest;disease;D006323;['C0600228', 'C0018790']
952;B.U.N. and creatinine continuing to rise.;1;creatinine;drug;Unknown;[]
953;She's starting to run a fever, and the rash is spreading.;1;fever;disease;D005334;['C0015967']
959;It could be a metabolic disorder.;1;metabolic disorder;disease;Unknown;[]
970;Unfortunately, if you then get injected with even .1 c.c. of epinephrine-- instant cardiac arrest.;1;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
970;Unfortunately, if you then get injected with even .1 c.c. of epinephrine-- instant cardiac arrest.;2;cardiac arrest;disease;D006323;['C0600228', 'C0018790']
973;And if you take the cardiac arrest out of the equation--;1;cardiac arrest;disease;D006323;['C0600228', 'C0018790']
